year,catch
1981,922980
1982,550643
1983,553344
1984,615569
1985,678214
1986,847145
1987,654718
1988,552264
1989,630316
1990,558128
1991,364008.107
1992,474592.001
1993,475198.158
1994,457696.315
1995,505175.648
1996,621104.234
1997,639680.54
1998,1131954.705
1999,1261033
2000,1412449.112
2001,1771805.137
2002,1556954.547
2003,2365319.424
2004,2400794.59
2005,2018344.223
2006,1956239.04
2007,1612269.453
2008,1251851.317
2009,634978.4701
2010,539538.7829
2011,103771.1084
2012,375691.651
2013,613862.8035
2014,1147650.429
2015,1390655.582
2016,1180786.368
2017,1559435.677
