"","year","catch","index1"
"1",1981,922980,NA
"2",1982,550643,NA
"3",1983,553344,NA
"4",1984,615569,NA
"5",1985,678214,NA
"6",1986,847145,NA
"7",1987,654718,NA
"8",1988,552264,NA
"9",1989,630316,NA
"10",1990,558128,NA
"11",1991,364008.107,NA
"12",1992,474592.001,NA
"13",1993,475198.158,NA
"14",1994,457696.315,NA
"15",1995,505175.648,NA
"16",1996,621104.234,NA
"17",1997,639680.54,NA
"18",1998,1131954.705,NA
"19",1999,1261033,NA
"20",2000,1412449.112,NA
"21",2001,1771805.137,NA
"22",2002,1556954.547,NA
"23",2003,2365319.424,NA
"24",2004,2400794.59,42623
"25",2005,2018344.223,29260
"26",2006,1956239.04,35974
"27",2007,1612269.453,30817
"28",2008,1251851.317,22287
"29",2009,634978.4701,11675
"30",2010,539538.7829,-1234
"31",2011,103771.1084,11085
"32",2012,375691.651,16477
"33",2013,613862.8035,22227
"34",2014,1147650.429,33638
"35",2015,1390655.582,15876
"36",2016,1180786.368,33848
"37",2017,1559435.677,34897
