year,1,2,3,4,5,6,7
1978,412,26,0,0,0,0,0
1979,16,81,0,0,0,0,0
1980,1171,0,0,0,0,0,0
1981,54,907,0,0,0,0,0
1982,1808,8,0,0,0,0,0
1983,843,25,0,0,0,0,0
1984,1088,11,0,0,0,0,0
1985,5188,114,0,0,0,0,0
1986,970,14,0,0,0,0,0
1987,14358,12,0,0,0,0,0
1988,231,1059,2,0,0,0,0
1989,6243,6,0,0,0,0,0
1990,4181,41,0,0,0,0,0
1991,2518,14,2,0,0,0,0
1992,7385,143,3,0,0,0,0
1993,279,84,1,0,0,0,0
1994,2743,6,0,0,0,0,0
1995,625,56,0,0,0,0,0
1996,191,50,0,0,0,0,0
1997,1521,34,0,0,0,0,0
1998,790,972,0,0,0,0,0
1999,230,5,0,0,0,0,0
2000,2882,33,0,0,0,0,0
2001,176,115,0,0,0,0,0
2002,1051,199,0,0,0,0,0
2003,69,26,1,0,0,0,0
2004,232.158,20.529,0,0,0,0,0
2005,107.69,19.749,0.001,0,0,0,0
2006,1209.756,46.597,23.96,1.729,2.603,0.798,0.15
2007,565.796,1489.406,50.425,38.243,2.534,3.071,0
2008,67.892,101.5,281.361,0.813,0.209,0,0
2009,604.774,149.774,109.21,94.466,0,4.825,0
2010,352.331,392.361,65.292,7.21,2.986,0,0
2011,316.337,281.259,534.632,42.411,0.268,1.767,0
2012,374.263,93.277,382.846,50.254,0.122,0,0
2013,2029.548,321.021,130.74,102.53,14.52,0,1.716
2014,704.925,316.42,255.448,50.697,19.472,0.512,0
2015,160.72,307.179,216.794,25.414,6.353,0.721,0
2016,1007.843,209.183,95.16,46.057,6.369,0,0
2017,168.03,294.263,375.719,91.55,17.384,1.838,0
