year,1,2,3,4,5,6,7
1978,152.44,8.346,0,0,0,0,0
1979,4.416,34.83,0,0,0,0,0
1980,422.731,0,0,0,0,0,0
1981,7.29,295.682,0,0,0,0,0
1982,567.712,3.136,0,0,0,0,0
1983,187.989,9.35,0,0,0,0,0
1984,324.224,4.785,0,0,0,0,0
1985,923.464,39.444,0,0,0,0,0
1986,258.99,4.27,0,0,0,0,0
1987,2383.428,4.44,0,0,0,0,0
1988,68.376,299.697,0,0,0,0,0
1989,2072.676,3.54,0,0,0,0,0
1990,551.892,18.614,0,0,0,0,0
1991,616.91,4.914,0,0,0,0,0
1992,1624.7,147.29,7.146,0,0,0,0
1993,66.681,68.208,3.723,0,0,0,0
1994,658.32,2.19,0,0,0,0,0
1995,126.875,14.336,0,0,0,0,0
1996,43.166,19.45,0,0,0,0,0
1997,488.241,11.152,0,0,0,0,0
1998,181.7,356.724,0,0,0,0,0
1999,67.62,1.495,0,0,0,0,0
2000,806.96,13.893,0,0,0,0,0
2001,43.648,47.955,0,0,0,0,0
2002,276.413,203.179,0,0,0,0,0
2003,18.768,14.82,0.39,0,0,0,0
2004,59.896764,11.927349,0,0,0,0,0
2005,30.69165,9.894249,0,0,0,0,0
2006,313.326804,60.156727,63.47004,6.049771,16.24272,4.453638,1.6683
2007,112.027608,1400.04164,152.0818,170.296079,12.715612,32.635517,0
2008,14.93624,99.064,575.664606,3.290211,1.658833,0,0
2009,157.846014,196.503488,245.50408,314.004984,0,31.1116,0
2010,89.139743,514.777632,148.082256,23.20178,9.68957,0,0
2011,67.063444,287.727957,1179.932824,126.936123,1.310788,7.364856,0
2012,56.513713,111.652569,834.60428,161.918388,1.041514,0,0
2013,225.279828,303.364845,277.03806,312.7165,73.02108,0,10.75932
2014,102.214125,355.65608,616.90692,155.437002,78.024304,2.422272,0
2015,55.28768,305.335926,502.96208,86.636326,28.042142,4.400263,0
2016,206.607815,232.402313,212.01648,173.128263,28.246515,0,0
2017,43.85583,298.088419,816.813106,319.1433,76.437448,14.178332,0
