year,1,2,3,4,5,6,7
1978,723.302,1761.254,998.977,694.767,285.573,97.037,74.663
1979,929.051,1612.219,2124.557,682.128,342.366,133.859,69.347
1980,1194.781,3293.763,2000.505,795.905,190.746,77.44,36.892
1981,460.646,7015.919,3220.006,903.66,181.649,28.593,20.175
1982,1826.929,1673.346,3205.573,1188.604,367.385,110.516,33.198
1983,2335.042,4515.236,1118.313,1400.318,467.586,147.876,59.587
1984,2142.863,2360.394,2563.793,447.717,555.143,184.622,58.5
1985,1355.141,5069.357,1268.636,1091.353,140.003,167.308,78.576
1986,792.337,1485.833,2054.834,410.801,190.766,40.118,29.888
1987,7873.276,4836.607,987.699,904.632,136.644,56.266,26.463
1988,1008.015,8336.113,2193.366,278.278,210.211,38.58,20.322
1989,2016.824,1081.694,3858.209,708.653,112.865,68.874,33.492
1990,512.71,4024.15,432.26,923.699,169.714,23.363,10.82
1991,1517.814,1727.732,1805.094,187.556,265.636,70.486,22.757
1992,1407.281,1867.658,575.156,720.385,68.894,58.047,23.599
1993,327.881,3596.114,1049.694,131.368,182.899,23.905,35.992
1994,942.075,1206.984,1544.826,279.956,56.326,51.462,20.386
1995,752.68,2750.063,699.526,630.301,69.983,15.094,10.548
1996,340.695,2331.062,1209.577,247.025,203.787,30.826,12.886
1997,1413.97,1066.606,989.114,280.844,65.631,62.05,7.024
1998,310.485,3318.233,292.826,174.329,56.766,15.987,8.554
1999,131.936,884.45,1046.768,63.714,47.745,24.027,9.287
2000,764.54,532.114,210.522,231.131,15.326,12.306,12.976
2001,95.516,1241.089,154.693,62.576,51.718,2.76,3.58
2002,336.548,340.305,521.68,40.526,13.308,13.752,3.886
2003,62.186,516.147,85.409,106.931,6.203,1.712,1.468
2004,44.11,92.246,85.46,10.837,25.724,2.363,0.984
2005,31.007,121.09,43.243,37.499,7.011,5.693,0.455
2006,17.881,95.957,76.054,22.281,13.331,1.639,1.271
2007,6.159,187.483,69.897,37.143,2.968,3.937,2.746
2008,0.108,34.205,129.899,24.955,15.836,1.201,2.657
2009,2.369,12.467,10.969,59.086,7.974,1.991,0.304
2010,0,43.477,60.728,37.989,31.843,1.494,0.355
2011,0,10.711,39.744,34.333,12.034,13.304,1.52
2012,2.734,1.386,40.67,51.288,5.365,3.548,4.98
2013,0.084,7.807,8.524,43.03,10.218,2.045,1.025
2014,0.166,3.43,66.398,30.648,22.777,2.193,0.112
2015,0.417,52.653,54.871,40.544,28.534,26.685,1.094
2016,2.268,32.977,112.467,68.578,22.252,11.238,13.992
2017,0.796,21.747,61.772,53.897,51.808,14.854,2.907
