year,1,2,3,4,5,6,7
1978,455.68026,2418.201742,3385.533053,3655.863954,2026.426008,842.863382,735.953191
1979,643.832343,2213.576687,6008.247196,3310.367184,2202.440478,1041.958456,668.227692
1980,745.543344,4528.924125,6005.51601,4199.990685,1415.716812,638.95744,344.239252
1981,253.3553,8180.561554,9141.597034,4448.71818,1365.637182,266.315202,208.3674
1982,1264.234868,2456.471928,8773.653301,5644.680396,2245.824505,798.699132,327.199488
1983,1361.329486,5711.77354,3349.347435,6158.598564,2948.12973,1195.429584,580.615728
1984,1575.004305,3309.272388,8122.096224,2406.478875,3664.498943,1588.856932,605.475
1985,851.028548,5997.049331,3294.647692,5338.898876,962.100616,1396.017952,767.373216
1986,562.55927,1799.343763,5722.71269,1912.278655,1208.693376,332.297394,282.172608
1987,4180.709556,6345.628384,2748.766317,4137.786768,841.863684,449.509074,266.270706
1988,812.46009,9853.285566,6330.054276,1431.74031,1470.005523,316.51032,199.216566
1989,1419.844096,1404.038812,9356.156825,3356.889261,793.102355,517.93248,321.322248
1990,314.29123,5130.79125,1216.8119,3984.837486,1191.561994,210.897801,126.28022
1991,971.40096,1891.86654,4725.736092,815.118376,1719.9931,573.333124,229.299532
1992,965.394766,2414.881794,1499.431692,3074.60318,426.45386,455.320668,250.102202
1993,254.107775,4732.486024,3086.10036,610.335728,1142.021356,186.50681,302.656728
1994,606.6963,1559.423328,4478.450574,1318.59276,359.866814,433.464426,171.425874
1995,456.12408,3157.072324,1998.545782,3123.771756,473.854893,128.887666,100.25874
1996,227.243565,2846.226702,3311.821826,1248.9584,1404.500004,249.320688,138.640474
1997,841.31215,1290.59326,2543.012094,1349.45542,456.266712,485.29305,67.64112
1998,187.843425,3520.645213,662.958064,785.526474,346.499664,128.167779,82.221048
1999,91.167776,918.94355,2296.608992,298.691232,309.67407,198.270804,87.659993
2000,526.76806,670.995754,517.252554,953.646506,102.163116,97.426602,108.894592
2001,62.467464,1226.195932,414.422547,285.847168,303.06748,21.36516,33.60188
2002,224.814064,387.9477,1215.5144,196.186366,82.1769,98.904384,37.103528
2003,41.726806,524.405352,197.465608,412.112074,38.58266,13.8244,12.975652
2004,26.86299,94.736642,187.49924,47.639452,154.421172,19.513654,9.523152
2005,24.061432,141.91748,113.469632,154.420882,34.409988,38.444829,4.6592
2006,11.729936,112.173733,170.056744,85.157982,82.278932,12.777644,14.1081
2007,2.931684,182.983408,175.581264,159.157755,19.265288,30.444821,24.19226
2008,0.060156,40.464515,388.657808,120.43283,100.24188,9.556357,22.507447
2009,2.340572,24.447787,34.354908,281.190274,47.078496,16.268461,2.628384
2010,0,66.128517,162.204488,151.082253,167.780767,9.179136,2.83077
2011,0,15.359574,127.1808,139.288981,70.182288,86.8086,15.03432
2012,1.80444,2.407482,113.75399,247.874904,36.88974,25.886208,37.4496
2013,0.083412,10.711204,25.282184,175.26119,62.748738,14.63811,10.095225
2014,0.160854,4.87746,139.037412,93.353808,106.983569,12.072465,0.807072
2015,0.347778,138.108819,161.704837,155.68896,155.681504,148.395285,9.647986
2016,1.671516,46.530547,272.957409,271.431724,117.201284,74.238228,108.382032
2017,0.647944,25.487484,128.918164,244.638483,291.67904,76.379268,26.863587
