year,catch
1968,9826.43
1969,9889.34
1970,7133.87
1971,9609.42
1972,10779.94
1973,13040.64
1974,11999.59
1975,10720.16
1976,10628.04
1977,8255.27
1978,5662.05
1979,7548.09
1980,10599.14
1981,13958.08
1982,13694.07
1983,10387.16
1984,8384.85
1985,10544.33
1986,10006.06
1987,13021.91
1988,14276.98
1989,12952.54
1990,7537.94
1991,7258.45
1992,7832.71
1993,7709.97
1994,5543.64
1995,4753.16
1996,5104.06
1997,5978.56
1998,5347.25
1999,4943.34
2000,1973.14
2001,2316.45
2002,2740.7
2003,1500.41
2004,1326.44
2005,1114.1
2006,1025.03
2007,847.16
2008,723.47
2009,554.36
2010,850.31
2011,412.71
2012,875.65
2013,358.02
2014,396.53
2015,308.02
2016,142.23
2017,143.945
