IRISH	SEA	COD	LANDINGS
1	22		
1968	2017		
0	6		
5			
8541	1968		
7991	1969		
6426	1970		
9246	1971		
9234	1972		
11819	1973		
10251	1974		
9863	1975		
10247	1976		
8054	1977		
5662	1978		
7548	1979		
10599	1980		
13958	1981		
13381	1982		
10015	1983		
8383	1984		
10483	1985		
9852	1986		
12894	1987		
14168	1988		
12751	1989		
7379	1990		
7095	1991		
7735	1992		
7555	1993		
5402	1994		
4587	1995		
4964	1996		
5859	1997		
5318	1998		
4784	1999		
1274	2000		
2252	2001		
2695	2002		
1285	2003		
1072	2004		
910	2005		
840	2006		
702	2007		
662	2008		
466	2009		
464	2010		
365	2011		
198	2012		
206	2013		
213	2014		
161	2015		
82	2016		
84	2017		
