"","year","catch","index1","index2","index3","index4"
"1",1968,9826.43,NA,NA,NA,NA
"2",1969,9889.34,NA,NA,NA,NA
"3",1970,7133.87,NA,NA,NA,NA
"4",1971,9609.42,NA,NA,NA,NA
"5",1972,10779.94,NA,NA,NA,NA
"6",1973,13040.64,NA,NA,NA,NA
"7",1974,11999.59,NA,NA,NA,NA
"8",1975,10720.16,NA,NA,NA,NA
"9",1976,10628.04,NA,NA,NA,NA
"10",1977,8255.27,NA,NA,NA,NA
"11",1978,5662.05,NA,NA,NA,NA
"12",1979,7548.09,NA,NA,NA,NA
"13",1980,10599.14,NA,NA,NA,NA
"14",1981,13958.08,NA,NA,NA,NA
"15",1982,13694.07,NA,NA,NA,NA
"16",1983,10387.16,NA,NA,NA,NA
"17",1984,8384.85,NA,NA,NA,NA
"18",1985,10544.33,NA,NA,NA,NA
"19",1986,10006.06,NA,NA,NA,NA
"20",1987,13021.91,NA,NA,NA,NA
"21",1988,14276.98,NA,NA,NA,NA
"22",1989,12952.54,NA,NA,NA,NA
"23",1990,7537.94,NA,NA,NA,NA
"24",1991,7258.45,1215.67,NA,NA,NA
"25",1992,7832.71,700.43,NA,NA,NA
"26",1993,7709.97,1708.37,846.09,NA,NA
"27",1994,5543.64,1240.12,1620.236,NA,57.4
"28",1995,4753.16,543.34,1118.693,NA,6.9
"29",1996,5104.06,1419.39,1557.281,NA,66.3
"30",1997,5978.56,546.13,1042.65,NA,5.7
"31",1998,5347.25,100.44,1007.477,NA,0.1
"32",1999,4943.34,303.67,562.526,NA,26.2
"33",2000,1973.14,616.7,800.496,NA,6.1
"34",2001,2316.45,538.1,996.378,NA,9.6
"35",2002,2740.7,190.85,1250.146,NA,3.4
"36",2003,1500.41,602.68,1296.522,NA,3.2
"37",2004,1326.44,834.02,487.29,NA,25.8
"38",2005,1114.1,138.25,364.243,2.935,11.4
"39",2006,1025.03,89.97,361.568,3.895,9
"40",2007,847.16,34.56,324.493,2.639,0
"41",2008,723.47,219.72,281.171,1.299,0.8
"42",2009,554.36,174.78,245,1.826,23.6
"43",2010,850.31,152.44,1247.992,1.807,5.7
"44",2011,412.71,118.09,818.944,2.366,1.4
"45",2012,875.65,377.985,498.238,3.56,10.6
"46",2013,358.02,142.28,567.387,4.502,42.6
"47",2014,396.53,101.28,609.535,0,8.2
"48",2015,308.02,325.56,879.11,4.113,80.4
"49",2016,142.23,229.47,684.32,9.264,0
"50",2017,143.945,490.7,585.4,10.992,10.6
