"","year","catch","index1","index2"
"1",1971,5782,NA,NA
"2",1972,4737,NA,NA
"3",1973,4015,NA,NA
"4",1974,2898,NA,NA
"5",1975,3993,NA,NA
"6",1976,4818,NA,NA
"7",1977,3059,NA,NA
"8",1978,3647,NA,NA
"9",1979,4650,NA,NA
"10",1980,7243,NA,NA
"11",1981,10597,NA,NA
"12",1982,8766,NA,NA
"13",1983,9641,NA,NA
"14",1984,6631,NA,NA
"15",1985,8317,NA,NA
"16",1986,10475,NA,NA
"17",1987,10228,NA,NA
"18",1988,17191,NA,NA
"19",1989,19809,NA,NA
"20",1990,12749,NA,NA
"21",1991,9336,NA,NA
"22",1992,9747,NA,NA
"23",1993,10425,NA,NA
"24",1994,10620,NA,NA
"25",1995,11709,NA,NA
"26",1996,12681,NA,NA
"27",1997,12035,NA,NA
"28",1998,11431,NA,NA
"29",1999,8594,NA,NA
"30",2000,6536,1.89231603970958,NA
"31",2001,8308,2.89579146656402,NA
"32",2002,9236,4.59533586871799,NA
"33",2003,6420,2.03172903211848,2.17
"34",2004,3672,0.884244802741091,1.72
"35",2005,3062,1.32243794915152,2.22
"36",2006,3776,1.77758636863695,2.2
"37",2007,4830,6.63597921952398,2.81
"38",2008,3961,3.48942150945059,1.79
"39",2009,3292,2.06339767794756,2.04
"40",2010,3229,3.39328429613683,8.39
"41",2011,7261,12.7305903151574,7.94
"42",2012,7692,5.68042024372207,2.74
"43",2013,6290,2.53132948274641,0.99
"44",2014,3879,2.28224924053472,4.38
"45",2015,4154,3.53274835705655,1.9
"46",2016,3299,1.59000106663416,3.42
"47",2017,2237,1.01461923503114,1.42
