Cod in Divisions VIIe-k, landings in tonnes,WGCSE18	
1	1
1971	2017
1	10
5	
5782	1971
4737	1972
4015	1973
2898	1974
3993	1975
4818	1976
3059	1977
3647	1978
4650	1979
7243	1980
10597	1981
8766	1982
9641	1983
6631	1984
8317	1985
10475	1986
10228	1987
17191	1988
19809	1989
12749	1990
9336	1991
9747	1992
10425	1993
10620	1994
11709	1995
12681	1996
12035	1997
11431	1998
8594	1999
6536	2000
8308	2001
9236	2002
6420	2003
3672	2004
3062	2005
3776	2006
4830	2007
3961	2008
3292	2009
3229	2010
7261	2011
7692	2012
6290	2013
3879	2014
4154	2015
3299	2016
2237	2017
