year,catch
1959,22348.327
1960,31990.04
1961,23818.82
1962,22200.9
1963,23205.72
1964,21454.88
1965,21498.13
1966,18723.15
1967,23045.56
1968,28240.87
1969,29831.41
1970,24320.67
1971,18761.91
1972,15004.33
1973,21934.99
1974,24256.65
1975,37878.54
1976,41231.22
1977,49809.06
1978,26677.776
1979,23480.433
1980,19380.961
1981,22063.28
1982,21424.896
1983,39333.425
1984,38181.473
1985,41602.858
1986,35943.151
1987,22184.348
1988,23040.471
1989,22578.833
1990,13828.32
1991,8254.729
1992,6269.107
1993,5972.888
1994,8920.558
1995,22799.45
1996,40667.377
1997,33936.037
1998,23354.538
1999,18980.872
2000,20947.957
2001,28498.639
2002,38813.853
2003,25164.535
2004,12825.037
2005,10069.797
2006,9816.971
2007,7478.714
2008,7247.216
2009,9912.427
2010,12698.856
2011,9695.189
2012,7202.887
2013,4471.314
2014,5718.804
2015,7286.075
2016,5911.545
2017,5324.729
