"","year","catch","index1","index2"
"1",1959,22348.327,NA,NA
"2",1960,31990.04,NA,NA
"3",1961,23818.82,NA,NA
"4",1962,22200.9,NA,NA
"5",1963,23205.72,NA,NA
"6",1964,21454.88,NA,NA
"7",1965,21498.13,NA,NA
"8",1966,18723.15,NA,NA
"9",1967,23045.56,NA,NA
"10",1968,28240.87,NA,NA
"11",1969,29831.41,NA,NA
"12",1970,24320.67,NA,NA
"13",1971,18761.91,NA,NA
"14",1972,15004.33,NA,NA
"15",1973,21934.99,NA,NA
"16",1974,24256.65,NA,NA
"17",1975,37878.54,NA,NA
"18",1976,41231.22,NA,NA
"19",1977,49809.06,NA,NA
"20",1978,26677.776,NA,NA
"21",1979,23480.433,NA,NA
"22",1980,19380.961,NA,NA
"23",1981,22063.28,NA,NA
"24",1982,21424.896,NA,NA
"25",1983,39333.425,NA,NA
"26",1984,38181.473,NA,NA
"27",1985,41602.858,NA,NA
"28",1986,35943.151,NA,NA
"29",1987,22184.348,NA,NA
"30",1988,23040.471,NA,NA
"31",1989,22578.833,NA,NA
"32",1990,13828.32,NA,NA
"33",1991,8254.729,NA,NA
"34",1992,6269.107,NA,NA
"35",1993,5972.888,NA,NA
"36",1994,8920.558,27.24112341465,NA
"37",1995,22799.45,64.03429033282,NA
"38",1996,40667.377,121.8122798243,66.9148757706
"39",1997,33936.037,92.91647527448,53.263271577605
"40",1998,23354.538,82.81707670678,35.4273982898
"41",1999,18980.872,59.75976635855,24.41057133575
"42",2000,20947.957,43.478931986,25.109372840445
"43",2001,28498.639,68.1315691867,44.1462203769
"44",2002,38813.853,102.93645716506,58.00151077855
"45",2003,25164.535,66.7218433497,22.01606568405
"46",2004,12825.037,35.98388742046,22.89988070815
"47",2005,10069.797,44.16226078438,22.79382816275
"48",2006,9816.971,12.6899614766,14.3678634409
"49",2007,7478.714,10.8154847443,7.56839348495
"50",2008,7247.216,22.75935029256,8.0953444347
"51",2009,9912.427,35.4919301274,24.94230065535
"52",2010,12698.856,38.7329008608,24.4140724004
"53",2011,9695.189,39.1525142663,17.317297289965
"54",2012,7202.887,20.3629508776,10.163787696705
"55",2013,4471.314,45.70118455395,12.5342558172
"56",2014,5718.804,12.6800931364,14.08299685295
"57",2015,7286.075,14.60001907966,27.30432394355
"58",2016,5911.545,14.02627504128,22.735090741
"59",2017,5324.729,26.77536221642,31.6028199474
