FAROE	PLATEAU	COD	(ICES	SUBDIVISION	VB1)	Surveys_revised.TXT			
102									
SUMMER	SURVEY								
1996	2017								
1	1	0.6	0.7						
1	9
200	38.07976992	706.999827	6576.495907	3705.097453	1298.062599	701.5022484	233.1226529	48.53954154	75.07515536
200	70.32758132	512.6759425	1500.665519	6754.634319	1466.594412	178.3873058	137.8080265	30.13899104	1.422218361
200	393.3613063	524.9356637	505.0673435	979.4218015	3675.165558	902.6495955	49.98692771	36.98503193	17.90642982
200	112.5715324	373.3251	1256.844697	753.1387197	675.3063858	1422.494067	237.9701691	40.41805796	10.04553819
200	441.1233069	1364.066642	1153.33619	673.8497692	309.6131138	436.8626597	600.7748035	35.41600187	6.832081119
200	203.8893573	3422.134138	2458.72139	1537.750556	415.9245945	234.7881266	282.9871773	242.0187054	31.03003028
200	734.1532432	2326.005857	5562.934516	1816.477685	810.8185715	147.6808349	83.3215752	69.49875969	49.41111322
200	63.96237871	354.0045439	1038.834215	2209.181096	565.9005173	123.3967337	17.61141879	11.90358382	18.41864959
200	200.9221539	436.9966618	839.882675	1080.234787	1550.245116	344.2095174	80.15980031	25.65002264	21.67540758
200	212.6552791	616.5335482	735.1084642	872.1291393	1166.342491	755.9957661	142.5352558	44.80505451	12.66063434
200	126.2164904	978.399585	684.1625536	349.3289994	312.0487739	256.6416633	123.0439523	28.15185701	15.57881327
200	82.97772676	234.1166146	448.6538104	314.209462	179.6993265	134.4994368	75.85833741	30.94691237	12.71707015
200	177.9028346	68.78323369	370.1146259	328.0376326	401.2075437	160.0885253	52.44768853	27.51835882	32.9684438
200	599.084517	428.1758497	1980.571249	817.6989843	551.4270837	393.0720186	132.1371232	47.83357962	38.45972595
200	256.083345	1239.296449	1543.881568	1012.01924	363.4117401	243.5640716	148.8511646	41.54907465	34.15782713
200	7.160686463	301.6776676	1373.591155	1084.208468	380.1036397	160.6174081	104.5646633	37.38903927	14.14673056
200	38.01008324	22.13540386	230.8127995	1081.757467	511.6766067	88.36740194	35.74323825	19.50475022	4.749788631
200	380.0771187	101.7296987	205.8533467	209.3071167	888.4247075	542.4834235	104.2498998	43.88656322	30.83928862
200	12.86366169	642.3056762	861.1909271	357.6342184	358.1918915	401.4614651	124.2611524	36.63205325	22.05832495
200	195.2686017	235.2936231	2230.44683	1696.141344	414.7045981	363.404496	242.2577906	67.24184738	16.10565783
200	203.5158507	583.9554412	839.0254484	1852.672026	690.8129128	146.8160685	142.7581085	72.88960063	14.57269147
200	686.6281724	826.2776652	1001.085447	1589.436497	1644.186902	360.4322124	130.2111691	64.41282037	17.89310401
SPRING	SURVEY	(NOT shifted back to Dec, 0s at age 1 replaced by 0.1)				
1994	2018								
1	1	0.2	0.25						
1	9								
100	7.769204965	612.5270497	336.924338	912.7725533	508.5363361	129.6753837	187.2398303	28.5676454	0.1
100	4.185057972	623.1759653	845.6837721	1528.426282	1525.182216	1191.393562	285.6473884	350.8401424	48.89464711
100	0.1	215.4651419	4043.862586	3984.378919	1892.079249	1371.957515	420.8446371	82.83087463	169.7090598
100	1.84501845	72.54259047	834.4025185	5398.273039	2359.549897	333.9431871	227.0077353	58.76879237	5.314749258
100	1.180811808	69.72726088	425.1842917	1572.115873	4919.265617	1135.969041	82.29807421	40.73411381	35.23258727
100	9.997318005	704.6697116	674.9181532	991.3467621	1225.188105	2079.198483	252.1279404	25.16617403	13.36398852
100	2.032595326	315.9608048	1432.44047	746.0615858	441.0125216	506.7032337	836.7177473	63.84899394	3.115246134
100	1.429889299	938.4212996	2387.799233	1993.76919	456.1781427	324.4389616	578.6495156	128.6121615	3.858525371
100	0.230627306	383.0002296	4564.066506	2892.146635	1579.665203	331.9341111	231.7603217	178.9411061	131.9009767
100	0.1	90.23993552	718.9575783	3914.969463	1260.432467	528.7282087	67.37036706	51.65322774	39.73308765
100	0.230627306	609.5293794	575.8401224	844.6106615	1175.080517	292.9159065	66.0499762	22.22754635	11.90400539
100	0.1	383.0726795	438.162472	1151.674356	1440.241391	844.4929549	140.6442825	14.02155713	3.816385408
100	1.07346528	167.4650029	156.6915628	177.2543613	360.0677562	291.9716462	94.98727743	15.49338646	3.99168909
100	0.1	41.09427017	270.8811875	286.6419871	155.1505011	170.377431	105.1062391	37.82111623	14.37574223
100	5.551348686	176.6169603	474.5399177	851.9113594	479.1786088	151.5211576	83.90260935	39.36729675	13.34577067
100	71.49171977	307.8115189	475.518201	977.6774166	1159.092759	427.2779335	73.7438027	31.63666843	24.94299284
100	34.99720981	697.639405	1318.79466	745.6238452	538.1306489	381.0078433	98.93569685	40.97660789	17.18416913
100	0.1	148.4387413	1318.9699	1240.312378	562.4316073	300.1780848	237.7541235	85.15854393	21.9080478
100	0.1	1.375751396	273.7949047	1303.766052	326.7258472	73.61221487	27.00500494	23.74209551	6.173217144
100	3.225138425	67.98267935	377.6271906	1699.781856	2053.207395	295.5778448	32.62339419	22.36737133	17.7255857
100	0.98400984	130.8909713	113.4359764	159.5790672	419.7344714	333.0489414	74.75831989	22.0108338	13.56672241
100	0.1	22.40757577	533.2709722	225.6304636	193.9137409	305.2235308	138.8554513	32.55694492	8.043228476
100	6.211422445	81.73989162	280.0598897	697.2557775	151.7706837	73.42496228	77.32053771	27.18853187	7.655807303
100	26.63360696	107.5882646	526.8446086	695.4402717	1087.846741	136.0341	55.93701775	31.32841968	9.883191352
100	22.06521361	587.3531164	924.2286007	1004.510267	731.5712224	715.6653415	155.7523346	51.30145156	35.3183514
