year,catch
1963,128102.1357
1964,130035.2741
1965,209068.73
1966,257987.6652
1967,274999.4966
1968,304444.7924
1969,204484.1347
1970,242642.9553
1971,410498.3233
1972,385791.0634
1973,267842.8129
1974,252714.276
1975,241132.3168
1976,305328.805
1977,347181.6797
1978,327061.2804
1979,428086.4376
1980,587442.7478
1981,390753.9406
1982,356376.1499
1983,279031.5442
1984,378275.345
1985,245641.6438
1986,339691.8666
1987,243840.2193
1988,193767.2719
1989,201155.1782
1990,151592.4457
1991,119677.908
1992,148984.6658
1993,141383.223
1994,208172.8836
1995,168055.5626
1996,138777.4097
1997,155599.8101
1998,184807.2844
1999,107733.4299
2000,82922.21512
2001,61986.76125
2002,65036.36245
2003,34437.04722
2004,36471.4759
2005,38104.04022
2006,37576.93998
2007,54641.11221
2008,51794.90584
2009,54026.16675
2010,49105.77217
2011,40686.81556
2012,40763.89765
2013,40757.48654
2014,45192.27158
2015,49899.87986
2016,50310.4274
2017,46368.627
