"","year","catch","index1","index2"
"1",1993,4556,NA,NA
"2",1994,6017,NA,NA
"3",1995,6688,4.27749360613811,NA
"4",1996,11065,14.8924302788845,NA
"5",1997,13710,17.2282749675746,NA
"6",1998,8862,10.3923166472643,NA
"7",1999,5556,4.56513026052104,NA
"8",2000,10002,15.1882352941176,NA
"9",2001,12696,17.1404833836858,NA
"10",2002,13561,9.09072781655035,NA
"11",2003,17748,8.83060109289618,707.51
"12",2004,15527,7.29478672985782,518.04
"13",2005,11978,8.59237875288684,310.75
"14",2006,8077,10.1713933415536,177.09
"15",2007,9520,10.7091087169442,670.8
"16",2008,18642,11.7625820568928,426.18
"17",2009,18688,18.3785211267606,1564.22
"18",2010,26809,15.918458781362,824.67
"19",2011,27257,18.2714126807564,318.03
"20",2012,28567,18.2784552845528,114.12
"21",2013,15509,10.045,706.42
"22",2014,13031,5.83023255813954,280.55
"23",2015,15239,5.26651982378855,479.39
"24",2016,17931,5.72234273318872,301.39
"25",2017,16072,6.71058823529412,204.19
