"","year","catch","index1","index2"
"1",1965,334788.3475,NA,NA
"2",1966,375787.1518,NA,NA
"3",1967,273404.2798,0.72353,NA
"4",1968,347266.6509,59.89451,NA
"5",1969,980697.0024,52.45594,NA
"6",1970,845757.5655,4.32813,NA
"7",1971,503958.7406,6.56093,NA
"8",1972,408157.2403,7.90536,NA
"9",1973,344929.2113,14.14888,NA
"10",1974,396270.8228,14.89759,NA
"11",1975,494727.9725,15.98346,NA
"12",1976,402849.4298,8.52731,NA
"13",1977,240339.7309,3.61602,NA
"14",1978,146705.9592,5.64118,NA
"15",1979,149064.281,7.56258,NA
"16",1980,202450.9158,13.1774,NA
"17",1981,226484.5892,10.79539,NA
"18",1982,256108.4377,12.73586,NA
"19",1983,253229.5465,9.24449,NA
"20",1984,247089.4837,14.6264,NA
"21",1985,247098.4564,12.07715,NA
"22",1986,223727.1376,11.67859,NA
"23",1987,194994.605,13.48429,NA
"24",1988,179974.0868,9.0313,NA
"25",1989,127718.7348,6.08158,NA
"26",1990,86747.88838,4.43089,NA
"27",1991,97264.32277,8.52075,9.7986
"28",1992,135184.5338,14.93165,35.37898
"29",1993,180218.0419,19.2395,13.63854
"30",1994,169436.235,8.415,22.80352
"31",1995,168927.7374,17.62359,17.55678
"32",1996,204683.0054,12.00973,13.56732
"33",1997,170009.4613,17.1078,8.27617
"34",1998,161929.0544,10.03444,7.97837
"35",1999,123489.0492,6.45975,72.46223
"36",2000,126823.0893,39.30028,36.75292
"37",2001,173365.9748,32.11252,15.34767
"38",2002,155333.3681,18.56214,10.07475
"39",2003,74350.26944,9.08165,8.35316
"40",2004,72513.07809,6.89225,5.54696
"41",2005,64115.16283,2.29165,15.89312
"42",2006,66967.2,12.47485,7.85108
"43",2007,67425.31092,11.2677,6.63839
"44",2008,47786.98908,4.26446,4.85416
"45",2009,47952.50092,4.57621,11.80777
"46",2010,45377.5511,9.56531,7.59431
"47",2011,49689.92149,10.13053,5.00747
"48",2012,43194.22447,5.08063,2.83809
"49",2013,47127.39804,2.15693,2.73349
"50",2014,46283.96955,3.22501,9.20173
"51",2015,41558.8786,4.63814,6.10471
"52",2016,43152.19802,5.55966,6.80019
"53",2017,40793.93293,5.91276,5.21146
