year,catch
1965,334788.3475
1966,375787.1518
1967,273404.2798
1968,347266.6509
1969,980697.0024
1970,845757.5655
1971,503958.7406
1972,408157.2403
1973,344929.2113
1974,396270.8228
1975,494727.9725
1976,402849.4298
1977,240339.7309
1978,146705.9592
1979,149064.281
1980,202450.9158
1981,226484.5892
1982,256108.4377
1983,253229.5465
1984,247089.4837
1985,247098.4564
1986,223727.1376
1987,194994.605
1988,179974.0868
1989,127718.7348
1990,86747.88838
1991,97264.32277
1992,135184.5338
1993,180218.0419
1994,169436.235
1995,168927.7374
1996,204683.0054
1997,170009.4613
1998,161929.0544
1999,123489.0492
2000,126823.0893
2001,173365.9748
2002,155333.3681
2003,74350.26944
2004,72513.07809
2005,64115.16283
2006,66967.2
2007,67425.31092
2008,47786.98908
2009,47952.50092
2010,45377.5511
2011,49689.92149
2012,43194.22447
2013,47127.39804
2014,46283.96955
2015,41558.8786
2016,43152.19802
2017,40793.93293
