"Haddock in the Northern Shelf (IV, IIIa, VIa) (WGNSSK 2018): survey indices"						
102						
North	Sea	IBTS	Q1			
1967	2018					
1	1	0	0.25			
1	5					
100	54.456	5.355	4.165	8.031	0.346	
100	5937.871	31.304	14.121	5.666	0.489	
100	3516.359	1528.474	148.943	40.104	11.714	
100	54.865	155.251	152.278	62.872	7.547	
100	528.371	29.919	31.761	64.984	1.058	
100	463.624	276.598	35.53	4.808	9.976	
100	415.22	884.084	107.096	7.08	1.408	
100	1139.104	136.296	192.534	20.718	1.107	
100	1181.478	356.69	19.748	34.66	5.77	
100	98.528	539.275	184.708	13.951	16.269	
100	141.973	67.89	133.611	16.939	1.189	
100	352.763	106.405	28.338	66.208	10.404	
100	468.371	212.925	52.779	6.749	15.434	
100	856.56	365.727	82.616	10.521	2.316	
100	267.958	624.983	156.605	25.622	4.371	
100	542.129	253.065	412.319	58.268	7.805	
100	302.278	403.079	89.463	116.447	13.182	
100	1072.285	221.275	127.77	20.41	20.9	
100	230.968	833.257	107.598	32.317	3.575	
100	573.023	266.912	303.546	17.888	6.49	
100	912.559	328.062	45.201	58.262	4.345	
100	101.691	677.641	97.149	12.684	13.965	
100	219.06	97.372	273.008	16.604	2.114	
100	217.448	139.114	32.997	50.367	3.163	
100	680.231	134.076	25.032	4.26	8.476	
100	1141.396	331.044	17.035	3.026	0.664	
100	1242.121	519.521	152.384	8.848	1.076	
100	227.919	491.051	97.656	23.308	1.566	
100	1355.485	201.069	176.165	24.354	5.286	
100	267.411	813.268	65.869	46.691	7.734	
100	848.966	354.766	466.823	24.987	15.238	
100	357.597	420.926	103.531	112.632	8.758	
100	211.139	222.907	127.063	48.217	36.649	
100	3734.2	107.125	48.605	24.504	15.594	
100	893.46	2220.593	76.321	14.493	6.385	
100	57.309	473.459	1309.38	9.18	6.886	
100	89.981	39.261	241.523	532.045	5.355	
100	71.745	79.256	36.962	176.352	324.91	
100	70.189	51.885	38.458	14.057	54.576	
100	1158.194	46.081	28.477	9.896	4.837	
100	109.44	963.393	35.962	14.956	3.019	
100	61.357	107.39	241.221	14.886	1.592	
100	75.068	141.444	102.986	135.595	2.528	
100	674.962	71.132	68.015	51.48	90.942	
100	46.068	781.507	101.666	35.942	47.87	
100	14.103	66.523	391.036	21.248	15.153	
100	58.249	24.585	32.557	93.814	6.488	
100	24.067	104.034	18.351	49.981	126.068	
100	388.241	32.612	29.972	3.882	9.107	
100	111.384	413.503	17.101	12.026	1.952	
100	218.515	138.465	222.582	8.644	3.07	
100	47.057	155.745	54.938	67.806	1.016	
North	Sea	IBTS	Q3			
1991	2017					
1	1	0.5	0.75			
0	5					
100	718.479	233.55	22.921	2.842	0.507	1.561
100	2741.14	595.235	189.015	10.529	1.583	0.396
100	577.382	605.99	140.146	37.604	2.36	0.372
100	1781.191	195.331	262.643	32.423	8.383	0.381
100	520.855	1019.607	106.642	97.383	8.06	3.131
100	627.502	247.469	428.471	30.426	20.215	2.649
100	195.255	347.567	123.793	149.048	6.672	5.282
100	276.401	257.14	164.853	53.69	42.66	3.093
100	6904.539	176.457	94.108	47.947	13.268	9.904
100	1092.754	2504.185	44.3	19.502	10.287	4.264
100	34.743	360.422	1099.293	30.29	6.371	3.648
100	137.709	45.969	237.732	573.754	9.826	2.485
100	163.931	69.348	31.171	199.259	368.665	2.942
100	183.977	69.539	40.556	23.119	82.685	154.82
100	1412.973	67.605	45.54	16.254	9.845	37.095
100	191.608	547.284	27.543	11.709	3.612	3.352
100	111.475	149.743	385.791	10.354	5.35	1.126
100	126.428	86.627	89.934	174.968	5.206	2.253
100	909.334	77.703	79.994	38.131	73.972	1.643
100	30.294	557.39	59.017	34.214	25.186	53.33
100	30.64	77.035	344.508	27.159	12.209	9.196
100	68.068	31.515	40.248	132.237	7.344	4.397
100	86.249	58.345	25.17	18.291	82.779	2.515
100	747.522	48.207	58.51	5.216	9.093	51.625
100	104.274	463.428	22.807	15.993	1.662	2.307
100	352.014	94.977	220.721	8.166	3.731	0.41
100	146.171	167.605	72.398	130.786	2.896	1.29
