year,catch
1980,734950.194
1981,754045.203
1982,716987.091
1983,672283.365
1984,641928.319
1985,614370.703
1986,602200.719
1987,654991.481
1988,680490.871
1989,585920.226
1990,626107.417
1991,675665.374
1992,760689.619
1993,824567.829
1994,819086.678
1995,756276.543
1996,563471.455
1997,573028.876
1998,666315.507
1999,640452.285
2000,738761.878
2001,737543.542
2002,773900.171
2003,679219.119
2004,685185.218
2005,550450.058
2006,481247.076
2007,590035.306
2008,623360.527
2009,740450.738
2010,878144.387
2011,948250.485
2012,897387.627
2013,934764.5
2014,1398120.414
2015,1215904.099
2016,1096470.1
