"","year","catch","index1","index2","index3"
"1",1980,734950.194,NA,NA,NA
"2",1981,754045.203,NA,NA,NA
"3",1982,716987.091,NA,NA,NA
"4",1983,672283.365,NA,NA,NA
"5",1984,641928.319,NA,NA,NA
"6",1985,614370.703,NA,NA,NA
"7",1986,602200.719,NA,NA,NA
"8",1987,654991.481,NA,NA,NA
"9",1988,680490.871,NA,NA,NA
"10",1989,585920.226,NA,NA,NA
"11",1990,626107.417,NA,NA,NA
"12",1991,675665.374,NA,NA,NA
"13",1992,760689.619,NA,3874476.93,NA
"14",1993,824567.829,NA,-1,NA
"15",1994,819086.678,NA,-1,NA
"16",1995,756276.543,NA,3766378.516,NA
"17",1996,563471.455,NA,-1,NA
"18",1997,573028.876,NA,-1,NA
"19",1998,666315.507,0.015720899,4198626.531,NA
"20",1999,640452.285,0.017996206,-1,NA
"21",2000,738761.878,0.012743674,-1,NA
"22",2001,737543.542,0.022164525,3233833.244,NA
"23",2002,773900.171,0.023618634,-1,NA
"24",2003,679219.119,0.013230785,-1,NA
"25",2004,685185.218,0.024607411,3106808.703,NA
"26",2005,550450.058,0.038156211,-1,NA
"27",2006,481247.076,0.037598707,-1,NA
"28",2007,590035.306,0.020352249,3782966.707,NA
"29",2008,623360.527,0.018292615,-1,NA
"30",2009,740450.738,0.015170405,-1,NA
"31",2010,878144.387,0.027764032,4810751.571,11696742
"32",2011,948250.485,0.036979005,-1,-9
"33",2012,897387.627,0.02420564,-1,11739138
"34",2013,934764.5,0.023257095,4831948.353,22248434
"35",2014,1398120.414,0.025778066,-1,23223124
"36",2015,1215904.099,0.023169671,-1,19501543
"37",2016,1096470.1,-1,3524054.85,19486660
