ReleaseY	RecaptureY	Yearclass	Nscan	R	r	Type
2011	2012	2010	15855111	120	0	2
2011	2012	2009	12934644	2589	1.44	2
2011	2012	2008	31718929	5408	4.17	2
2011	2012	2007	42781111	1986	2.87	2
2011	2012	2006	56313858	3170	5.71	2
2011	2012	2005	34938696	1702	3.1	2
2011	2012	2004	16167774	1297	2.73	2
2011	2012	2003	9117361	825	2.05	2
2011	2012	2002	4775104	768	2.48	2
2011	2012	2001	852640	326	0.79	2
2011	2012	2000	867542	202	0.37	2
2011	2012	1999	903558	51	0.07	2
2011	2012	1998	710265	85	0.15	2
2011	2012	1997	44597	94	0.07	2
2011	2012	1996	0	21	0	2
2011	2013	2010	71487998	120	0	2
2011	2013	2009	26879058	2589	2.09	2
2011	2013	2008	45354923	5408	4.54	2
2011	2013	2007	48842271	1986	2.75	2
2011	2013	2006	44224643	3170	5.62	2
2011	2013	2005	32446630	1702	2.59	2
2011	2013	2004	12876615	1297	3.2	2
2011	2013	2003	4289895	825	1.37	2
2011	2013	2002	1353536	768	0.94	2
2011	2013	2001	684889	326	0.6	2
2011	2013	2000	440845	202	0.26	2
2011	2013	1999	0	51	0	2
2011	2013	1998	0	85	0.04	2
2011	2013	1997	0	94	0	2
2011	2013	1996	0	21	0	2
2011	2014	2010	151758114	120	0.14	2
2011	2014	2009	64107735	2589	3.79	2
2011	2014	2008	89922593	5408	7.81	2
2011	2014	2007	83564962	1986	3.62	2
2011	2014	2006	72772295	3170	5.75	2
2011	2014	2005	30659230	1702	3.07	2
2011	2014	2004	10189060	1297	2.28	2
2011	2014	2003	5340079	825	0.9	2
2011	2014	2002	1939909	768	0.5	2
2011	2014	2001	553177	326	0.14	2
2011	2014	2000	225500	202	0	2
2011	2014	1999	0	51	0	2
2011	2014	1998	0	85	0	2
2011	2014	1997	0	94	0	2
2011	2014	1996	0	21	0	2
2011	2015	2010	155107651	120	0	2
2011	2015	2009	84515138	2589	4.24	2
2011	2015	2008	102646028	5408	7.59	2
2011	2015	2007	94536757	1986	2.9	2
2011	2015	2006	53756155	3170	3.85	2
2011	2015	2005	29799324	1702	2.2	2
2011	2015	2004	9488129	1297	1.43	2
2011	2015	2003	5431572	825	0.86	2
2011	2015	2002	1337498	768	0.59	2
2011	2015	2001	117520	326	0.26	2
2011	2015	2000	60868	202	0.04	2
2011	2015	1999	60868	51	0	2
2011	2015	1998	0	85	0.04	2
2011	2015	1997	0	94	0	2
2011	2015	1996	0	21	0	2
2011	2016	2010	136078812	120	0	2
2011	2016	2009	61026351	2589	2.25	2
2011	2016	2008	68769696	5408	4.59	2
2011	2016	2007	53969549	1986	1.77	2
2011	2016	2006	45583879	3170	2.55	2
2011	2016	2005	18606149	1702	1.54	2
2011	2016	2004	11029991	1297	0.92	2
2011	2016	2003	2066918	825	0.75	2
2011	2016	2002	2507229	768	0.73	2
2011	2016	2001	939476	326	0.6	2
2011	2016	2000	347985	202	0.26	2
2011	2016	1999	191397	51	0	2
2011	2016	1998	0	85	0.04	2
2011	2016	1997	0	94	0	2
2011	2016	1996	0	21	0	2
2012	2012	2011	3200722	260	0	2
2012	2012	2010	15855111	1099	0.83	2
2012	2012	2009	12622462	1466	1.01	2
2012	2012	2008	30202618	4336	3.61	2
2012	2012	2007	40640436	4422	4.26	2
2012	2012	2006	51051366	5249	5.98	2
2012	2012	2005	31861477	4907	4.99	2
2012	2012	2004	14874449	3327	3.41	2
2012	2012	2003	8715985	2565	2.66	2
2012	2012	2002	4373727	1504	1.43	2
2012	2012	2001	674250	1538	1.55	2
2012	2012	2000	867542	708	0.62	2
2012	2012	1999	903558	291	0.3	2
2012	2012	1998	710265	116	0.07	2
2012	2012	1997	0	233	0.18	2
2012	2012	1996	0	80	0.09	2
2012	2012	1995	0	23	0	2
2012	2012	1994	0	10	0	2
2012	2012	1993	0	2	0	2
2012	2012	1990	0	1	0	2
2012	2013	2011	21315762	260	0.04	2
2012	2013	2010	71487998	1099	2.54	2
2012	2013	2009	26879058	1466	2.29	2
2012	2013	2008	45354923	4336	8.69	2
2012	2013	2007	48842271	4422	8.98	2
2012	2013	2006	44224643	5249	10.02	2
2012	2013	2005	32446630	4907	8.74	2
2012	2013	2004	12876615	3327	6.29	2
2012	2013	2003	4289895	2565	3.2	2
2012	2013	2002	1353536	1504	2.31	2
2012	2013	2001	684889	1538	2.24	2
2012	2013	2000	440845	708	0.72	2
2012	2013	1999	0	291	0.45	2
2012	2013	1998	0	116	0.11	2
2012	2013	1997	0	233	0.26	2
2012	2013	1996	0	80	0.09	2
2012	2013	1995	0	23	0.04	2
2012	2013	1994	0	10	0	2
2012	2013	1993	0	2	0	2
2012	2013	1990	0	1	0	2
2012	2014	2011	124602433	260	0.04	2
2012	2014	2010	151758114	1099	1.95	2
2012	2014	2009	64107735	1466	2.41	2
2012	2014	2008	89922593	4336	8.25	2
2012	2014	2007	83564962	4422	8.49	2
2012	2014	2006	72772295	5249	10.37	2
2012	2014	2005	30659230	4907	8.24	2
2012	2014	2004	10189060	3327	6.35	2
2012	2014	2003	5340079	2565	3.49	2
2012	2014	2002	1939909	1504	1.83	2
2012	2014	2001	553177	1538	1.61	2
2012	2014	2000	225500	708	0.63	2
2012	2014	1999	0	291	0.07	2
2012	2014	1998	0	116	0.07	2
2012	2014	1997	0	233	0.16	2
2012	2014	1996	0	80	0.04	2
2012	2014	1995	0	23	0	2
2012	2014	1994	0	10	0	2
2012	2014	1993	0	2	0	2
2012	2014	1990	0	1	0	2
2012	2015	2011	131060338	260	0.04	2
2012	2015	2010	155107651	1099	1.9	2
2012	2015	2009	84515138	1466	3.77	2
2012	2015	2008	102646028	4336	10.41	2
2012	2015	2007	94536757	4422	9.63	2
2012	2015	2006	53756155	5249	11.82	2
2012	2015	2005	29799324	4907	8.25	2
2012	2015	2004	9488129	3327	6.37	2
2012	2015	2003	5431572	2565	4.3	2
2012	2015	2002	1337498	1504	2.42	2
2012	2015	2001	117520	1538	2.35	2
2012	2015	2000	60868	708	1.06	2
2012	2015	1999	60868	291	0.34	2
2012	2015	1998	0	116	0	2
2012	2015	1997	0	233	0.27	2
2012	2015	1996	0	80	0.09	2
2012	2015	1995	0	23	0	2
2012	2015	1994	0	10	0	2
2012	2015	1993	0	2	0	2
2012	2015	1990	0	1	0	2
2012	2016	2011	141402259	260	0.04	2
2012	2016	2010	136078812	1099	1.29	2
2012	2016	2009	61026351	1466	2.38	2
2012	2016	2008	68769696	4336	6.71	2
2012	2016	2007	53969549	4422	5.83	2
2012	2016	2006	45583879	5249	5.35	2
2012	2016	2005	18606149	4907	5.28	2
2012	2016	2004	11029991	3327	2.61	2
2012	2016	2003	2066918	2565	1.2	2
2012	2016	2002	2507229	1504	0.49	2
2012	2016	2001	939476	1538	0.78	2
2012	2016	2000	347985	708	0.04	2
2012	2016	1999	191397	291	0	2
2012	2016	1998	0	116	0	2
2012	2016	1997	0	233	0	2
2012	2016	1996	0	80	0	2
2012	2016	1995	0	23	0	2
2012	2016	1994	0	10	0	2
2012	2016	1993	0	2	0	2
2012	2016	1990	0	1	0	2
2013	2013	2012	244044	8	0	2
2013	2013	2011	20874916	1018	0.67	2
2013	2013	2010	67961236	475	1.24	2
2013	2013	2009	22029760	538	0.77	2
2013	2013	2008	37860554	1658	2.71	2
2013	2013	2007	35176068	2836	4.34	2
2013	2013	2006	29676749	2698	3.76	2
2013	2013	2005	17457891	5697	6.69	2
2013	2013	2004	6263936	3292	2.78	2
2013	2013	2003	1203978	2042	1.62	2
2013	2013	2002	471846	984	0.71	2
2013	2013	2001	244044	1151	0.64	2
2013	2013	2000	0	211	0.03	2
2013	2013	1999	0	80	0.03	2
2013	2013	1998	0	73	0	2
2013	2013	1996	0	32	0	2
2013	2014	2012	6603602	8	0	2
2013	2014	2011	124602433	1018	1.16	2
2013	2014	2010	151758114	475	0.9	2
2013	2014	2009	64107735	538	1.43	2
2013	2014	2008	89922593	1658	6.42	2
2013	2014	2007	83564962	2836	12.7	2
2013	2014	2006	72772295	2698	11.65	2
2013	2014	2005	30659230	5697	22.67	2
2013	2014	2004	10189060	3292	11.55	2
2013	2014	2003	5340079	2042	6.99	2
2013	2014	2002	1939909	984	3.42	2
2013	2014	2001	553177	1151	3.51	2
2013	2014	2000	225500	211	1.12	2
2013	2014	1999	0	80	0.17	2
2013	2014	1998	0	73	0.23	2
2013	2014	1996	0	32	0.08	2
2013	2015	2012	21251878	8	0	2
2013	2015	2011	131060338	1018	2.93	2
2013	2015	2010	155107651	475	0.78	2
2013	2015	2009	84515138	538	2.6	2
2013	2015	2008	102646028	1658	8.3	2
2013	2015	2007	94536757	2836	13.06	2
2013	2015	2006	53756155	2698	12.26	2
2013	2015	2005	29799324	5697	25.78	2
2013	2015	2004	9488129	3292	14.62	2
2013	2015	2003	5431572	2042	8.55	2
2013	2015	2002	1337498	984	4.47	2
2013	2015	2001	117520	1151	4.5	2
2013	2015	2000	60868	211	0.59	2
2013	2015	1999	60868	80	0.21	2
2013	2015	1998	0	73	0.29	2
2013	2015	1996	0	32	0.08	2
2013	2016	2012	57848131	8	0	2
2013	2016	2011	141402259	1018	2.43	2
2013	2016	2010	136078812	475	0.98	2
2013	2016	2009	61026351	538	1.49	2
2013	2016	2008	68769696	1658	4.6	2
2013	2016	2007	53969549	2836	8.44	2
2013	2016	2006	45583879	2698	8.1	2
2013	2016	2005	18606149	5697	16.07	2
2013	2016	2004	11029991	3292	8.09	2
2013	2016	2003	2066918	2042	4.86	2
2013	2016	2002	2507229	984	2.2	2
2013	2016	2001	939476	1151	2.36	2
2013	2016	2000	347985	211	0.1	2
2013	2016	1999	191397	80	0.14	2
2013	2016	1998	0	73	0.08	2
2013	2016	1996	0	32	0.08	2
2014	2014	2013	1191597	17	0	2
2014	2014	2012	6275528	1102	0.54	2
2014	2014	2011	121158455	2083	2.13	2
2014	2014	2010	143557864	4013	8.26	2
2014	2014	2009	54928417	6903	14.97	2
2014	2014	2008	75171178	12344	25.43	2
2014	2014	2007	67502046	11207	21.69	2
2014	2014	2006	52612028	8272	14.51	2
2014	2014	2005	23447163	3530	6.12	2
2014	2014	2004	7730491	3049	4.44	2
2014	2014	2003	3536864	1014	1.15	2
2014	2014	2002	1447799	1166	1.37	2
2014	2014	2001	225500	344	0.28	2
2014	2014	2000	225500	31	0.03	2
2014	2014	1999	0	90	0.08	2
2014	2014	1997	0	20	0	2
2014	2015	2013	10878048	17	0	2
2014	2015	2012	21251878	1102	3.54	2
2014	2015	2011	131060338	2083	7.67	2
2014	2015	2010	155107651	4013	17.11	2
2014	2015	2009	84515138	6903	32.91	2
2014	2015	2008	102646028	12344	62.93	2
2014	2015	2007	94536757	11207	63.26	2
2014	2015	2006	53756155	8272	53.09	2
2014	2015	2005	29799324	3530	22.83	2
2014	2015	2004	9488129	3049	18.89	2
2014	2015	2003	5431572	1014	6.48	2
2014	2015	2002	1337498	1166	7.84	2
2014	2015	2001	117520	344	2.22	2
2014	2015	2000	60868	31	0.22	2
2014	2015	1999	60868	90	0.89	2
2014	2015	1997	0	20	0.11	2
2014	2016	2013	26020197	17	0	2
2014	2016	2012	57848131	1102	3.15	2
2014	2016	2011	141402259	2083	8.41	2
2014	2016	2010	136078812	4013	19.7	2
2014	2016	2009	61026351	6903	38.4	2
2014	2016	2008	68769696	12344	66.75	2
2014	2016	2007	53969549	11207	59.63	2
2014	2016	2006	45583879	8272	40.01	2
2014	2016	2005	18606149	3530	16.53	2
2014	2016	2004	11029991	3049	13.93	2
2014	2016	2003	2066918	1014	3.32	2
2014	2016	2002	2507229	1166	4.17	2
2014	2016	2001	939476	344	0.88	2
2014	2016	2000	347985	31	0	2
2014	2016	1999	191397	90	0.07	2
2014	2016	1997	0	20	0.06	2
2015	2015	2013	10878048	463	1.85	2
2015	2015	2012	17187480	830	2.41	2
2015	2015	2011	102455983	2956	10.97	2
2015	2015	2010	115120836	5275	18.27	2
2015	2015	2009	65168174	5272	14.52	2
2015	2015	2008	73866658	8470	21.44	2
2015	2015	2007	71618270	5621	12.52	2
2015	2015	2006	42214765	6500	12.84	2
2015	2015	2005	27849271	5149	10.33	2
2015	2015	2004	5911244	1513	2.98	2
2015	2015	2003	3481518	1073	2.12	2
2015	2015	2002	1337498	294	0.66	2
2015	2015	2001	117520	217	0.43	2
2015	2015	2000	60868	136	0.34	2
2015	2015	1999	60868	24	0	2
2015	2015	1998	0	24	0	2
2015	2015	1997	0	91	0.32	2
2015	2016	2013	26020197	463	1.3	2
2015	2016	2012	57848131	830	3.35	2
2015	2016	2011	141402259	2956	14.4	2
2015	2016	2010	136078812	5275	26.31	2
2015	2016	2009	61026351	5272	27.2	2
2015	2016	2008	68769696	8470	44.02	2
2015	2016	2007	53969549	5621	29.37	2
2015	2016	2006	45583879	6500	31.42	2
2015	2016	2005	18606149	5149	23.83	2
2015	2016	2004	11029991	1513	5.45	2
2015	2016	2003	2066918	1073	4.25	2
2015	2016	2002	2507229	294	1.26	2
2015	2016	2001	939476	217	1.53	2
2015	2016	2000	347985	136	0.2	2
2015	2016	1999	191397	24	0	2
2015	2016	1998	0	24	0	2
2015	2016	1997	0	91	0.11	2
2016	2016	2014	26361004	804	0.69	2
2016	2016	2013	23181428	1874	4.98	2
2016	2016	2012	49997622	1484	4.81	2
2016	2016	2011	109077828	5070	17.33	2
2016	2016	2010	105934066	6436	21.16	2
2016	2016	2009	45913733	3202	9.94	2
2016	2016	2008	45998895	5700	15.9	2
2016	2016	2007	31614244	5455	15.63	2
2016	2016	2006	25853393	4966	13.22	2
2016	2016	2005	7387623	5668	13.94	2
2016	2016	2004	4356448	1602	3.49	2
2016	2016	2003	1089801	974	1.67	2
2016	2016	2002	1116764	489	0.74	2
2016	2016	2001	303629	195	0.48	2
2016	2016	2000	0	24	0	2
2016	2016	1997	0	15	0	2
