"","year","catch","index1"
"1",1981,5469.337,NA
"2",1982,4030.38,NA
"3",1983,4339.401,NA
"4",1984,4934.036,NA
"5",1985,5666.364,NA
"6",1986,5434.03,NA
"7",1987,6932.243,NA
"8",1988,5753.329,NA
"9",1989,4989.717,NA
"10",1990,3707.789,NA
"11",1991,3130.734,NA
"12",1992,3941.272,NA
"13",1993,2658.422,10.06578453
"14",1994,2801.345,8.460855964
"15",1995,2591.762,8.922772966
"16",1996,2517.511,8.958445763
"17",1997,3245.552,10.313097403
"18",1998,4028.403,10.585216826
"19",1999,3396.745,11.007313397
"20",2000,2678.413,14.801924501
"21",2001,2573.118,12.028490611
"22",2002,2708.278,15.666579824
"23",2003,2668.226,17.378172901
"24",2004,2172.615,20.80735806
"25",2005,2491.96,13.299911948
"26",2006,2188.171,13.361371122
"27",2007,2549.461,16.522600815
"28",2008,1830.478,14.823309549
"29",2009,1587.683,13.87777509
"30",2010,2938.925,15.588756024
"31",2011,1197.512,15.588756024
"32",2012,1510.693,16.92734987
"33",2013,1028.159,16.041089009
"34",2014,1229.918,22.161173866
"35",2015,1012.411,19.511695852
"36",2016,1119.493,18.587686161
"37",2017,1438.168,14.324394737
