year,catch
1981,5469.337
1982,4030.38
1983,4339.401
1984,4934.036
1985,5666.364
1986,5434.03
1987,6932.243
1988,5753.329
1989,4989.717
1990,3707.789
1991,3130.734
1992,3941.272
1993,2658.422
1994,2801.345
1995,2591.762
1996,2517.511
1997,3245.552
1998,4028.403
1999,3396.745
2000,2678.413
2001,2573.118
2002,2708.278
2003,2668.226
2004,2172.615
2005,2491.96
2006,2188.171
2007,2549.461
2008,1830.478
2009,1587.683
2010,2938.925
2011,1197.512
2012,1510.693
2013,1028.159
2014,1229.918
2015,1012.411
2016,1119.493
2017,1438.168
