CELTIC	SEA	PLAICE.2017	WG.	TUNING	DATA:	Current	commercial	data	for	ages	1 to 8		zeros replaced by 0.001						
103																			
UK E+W BEAM TRAWL VIIF.															
1990	2016															
1	1	0	1																
1	8																	
1	0.001	0.119	5.392	12.600	3.656	2.103	0.868	0.725										
1	0.558	1.337	4.402	8.372	5.158	1.715	0.894	0.834											
1	0.113	2.810	1.923	2.254	3.289	1.930	0.528	0.162											
1	0.060	2.499	8.514	1.528	0.947	1.498	0.923	0.443											
1	0.577	1.451	2.393	2.245	0.424	0.415	0.347	0.446											
1	0.043	1.224	1.298	1.715	1.289	0.430	0.252	0.278											
1	0.001	3.121	2.251	0.569	0.569	0.535	0.159	0.184											
1	0.023	1.556	4.291	0.909	0.319	0.256	0.169	0.026											
1	0.095	1.901	2.600	2.221	0.618	0.127	0.151	0.095											
1	0.026	0.726	2.102	1.720	0.844	0.252	0.078	0.062											
1	0.019	0.380	0.833	0.858	0.568	0.405	0.156	0.057											
1	0.088	1.343	0.876	0.867	0.558	0.318	0.186	0.076											
1	0.019	0.747	1.557	0.637	0.294	0.279	0.143	0.079											
1	0.064	1.109	1.727	1.349	0.393	0.199	0.135	0.094											
1	0.036	0.495	1.402	1.051	0.711	0.136	0.104	0.080											
1	0.076	0.635	0.483	0.671	0.396	0.269	0.102	0.061											
1	0.045	0.782	1.368	0.353	0.338	0.233	0.120	0.030											
1	0.036	0.661	1.755	0.853	0.227	0.142	0.099	0.043											
1	0.017	0.907	1.340	1.506	0.433	0.158	0.117	0.075											
1	0.027	0.941	2.733	1.375	0.968	0.271	0.090	0.054											
1	0.017	0.585	0.947	1.601	0.620	0.508	0.146	0.009
1       0.081	1.279	1.602	0.841	1.002	0.357	0.300	0.092
1       0.050	0.611	1.534	1.030	0.497	0.398	0.192	0.085
1       0.019	0.317	1.374	0.759	0.342	0.112	0.162	0.062
1       0.001	0.010	0.156	1.564	0.688	0.125	0.073	0.063
1       0.001	0.124	0.330	0.468	0.964	0.358	0.096	0.055
1       0.001	0.000	0.361	0.448	0.382	0.765	0.317	0.131																										
UK E+W OTTER TRAWL VIIF																
1989	2015																		
1	1	0	1																
1	8																		
1	0.083	9.357	26.291	6.366	2.370	0.766	0.518	0.041											
1	0.008	0.521	7.857	10.452	2.774	1.074	0.333	0.350											
1	0.478	1.257	4.334	7.290	3.415	1.529	0.413	0.460											
1	0.401	7.613	1.625	1.391	2.059	0.946	0.156	0.045											
1	0.156	3.051	5.074	1.065	0.479	0.754	0.491	0.335											
1	0.674	1.878	3.274	2.407	0.433	0.498	0.225	0.273											
1	0.879	6.533	3.137	2.500	0.948	0.276	0.138	0.121											
1	0.001	6.056	3.492	0.725	0.574	0.422	0.169	0.186											
1	0.069	2.893	5.925	0.953	0.208	0.121	0.069	0.017											
1	0.077	1.509	2.128	1.664	0.387	0.097	0.135	0.039											
1	0.253	2.124	3.085	1.997	0.961	0.228	0.051	0.025											
1	0.176	3.279	4.055	2.327	0.882	0.458	0.141	0.035											
1	0.453	3.655	1.617	1.326	0.809	0.420	0.194	0.065											
1	0.001	1.081	2.017	0.696	0.360	0.264	0.120	0.048											
1	0.086	1.723	2.326	1.335	0.302	0.187	0.129	0.086											
1	0.047	0.671	2.231	1.622	0.905	0.140	0.078	0.047											
1	0.171	1.153	0.616	0.628	0.331	0.171	0.057	0.034											
1	0.076	1.396	2.542	0.736	0.703	0.487	0.260	0.065											
1	0.025	0.676	1.892	0.939	0.276	0.175	0.125	0.063											
1	0.042	1.251	1.758	1.645	0.520	0.197	0.098	0.056											
1	0.015	0.472	1.584	0.731	0.472	0.122	0.046	0.030											
1	0.035	0.744	0.903	1.311	0.496	0.407	0.089	0.018
1       0.001	0.152	0.229	0.171	0.229	0.114	0.076	0.057
1       0.037	0.258	0.995	0.847	0.368	0.276	0.111	0.037
1       0.001	0.071	0.179	0.107	0.143	0.071	0.036	0.036
1       0.001	0.064	0.129	0.514	0.193	0.129	0.000	0.001
1       0.001	0.380	0.506	0.759	1.266	0.506	0.253	0.001																														
UK E+W BT Survey																	
1995	2016																		
1	1	0.75	0.85																
1	5																		
1	239.59	90.48	17.23	2.96	6.84
1	223.69	288.11	30.78	0.99	2.62
1	225.37	102.14	34.54	4.25	1.77
1	237.2	126.22	46.99	8.92	2
1	152.59	79.62	29.03	19.67	7
1	339.63	63.17	31.25	6.56	5.5
1	211.44	156.14	15.81	8.74	4.23
1	136.74	175.12	80.45	5.93	6.13
1	98.37	80.48	60.95	21.83	2.72
1	258.51	33.41	27.08	13.42	2.19
1	192.5	75.22	20.87	8.06	10.93
1	85.78	101.97	34.16	9.57	1.79
1	150.4	92.25	47.26	15.11	1.67
1	140.69	217.04	46.79	15.7	4.82
1	161.81	55.96	78.58	21.45	10.89
1	331.76	88.54	26.41	39.94	6.68
1	362.26	300.14	55.04	21.86	21.37
1	142.13	430.79	100.57	22.36	9.02
1	329.79	139.06	185.39	46.85	5.77
1	371.76	202.3	64.65	105.7	23.8
1	28.36	454.08	162.34	52.37	76.66
1       12.52   163.1   268.26  102.3   27.5
