"","year","catch","index1","index2","index3","index4"
"1",1977,753.07,NA,NA,NA,NA
"2",1978,852.62,NA,NA,NA,NA
"3",1979,843.976,NA,NA,NA,NA
"4",1980,1354.751,NA,NA,NA,NA
"5",1981,1371.309,NA,NA,NA,NA
"6",1982,1286.94,NA,NA,NA,NA
"7",1983,1146.538,NA,NA,NA,NA
"8",1984,1209.963,NA,NA,NA,NA
"9",1985,1743.795,NA,NA,NA,NA
"10",1986,1691.512,NA,NA,NA,NA
"11",1987,1894.647,NA,NA,NA,NA
"12",1988,2110.874,NA,NA,NA,NA
"13",1989,2149.637,NA,NA,45.792,NA
"14",1990,2080.079,NA,25.464,23.369,NA
"15",1991,1484.164,NA,23.27,19.176,NA
"16",1992,1185.381,NA,13.009,14.236,NA
"17",1993,1114.3792,NA,16.412,11.405,NA
"18",1994,1069.9105,NA,8.298,9.662,NA
"19",1995,1027.5445,357.1,6.529,14.532,NA
"20",1996,952.208,546.19,7.389,11.625,NA
"21",1997,1216.7377,368.07,7.549,10.255,NA
"22",1998,1066.0798,421.33,7.808,6.036,NA
"23",1999,968.0476,287.91,5.81,8.724,NA
"24",2000,717.5048,446.11,3.276,11.353,NA
"25",2001,713.5108,396.36,4.312,8.539,NA
"26",2002,641.7313,404.37,3.755,4.587,NA
"27",2003,594.3276,264.35,5.07,6.174,12.801
"28",2004,783.7583,334.61,4.015,5.741,7.6
"29",2005,707.0672,307.58,2.693,3.161,15.5
"30",2006,856.47096,233.27,3.269,6.265,14.3
"31",2007,1697.3767,306.69,3.816,4.171,16.7
"32",2008,1020.383,425.04,4.553,5.567,17.4
"33",2009,1088.0009,328.69,6.459,3.472,79.1
"34",2010,1104.3682,493.33,4.433,4.003,95.3
"35",2011,1536.4141,760.67,NA,NA,116.2
"36",2012,1298.7717,704.87,NA,NA,110.2
"37",2013,1677.4246,706.86,NA,NA,89.9
"38",2014,1169.5515,768.21,NA,NA,47.9
"39",2015,1149.6931,773.81,NA,NA,103
"40",2016,1013.0812,573.68,NA,NA,84.8
"41",2017,1277.69594,465.96,NA,NA,57.2
