											1	2	3	4	5	6	7	8
1990	1255.6	0	1.5	67.7	158.2	45.9	26.4	10.9	9.1		0	0.119464798	5.391844536	12.599554	3.65562281	2.10258044	0.868110863	0.724753106
1991	1667.4	9.3	22.3	73.4	139.6	86	28.6	14.9	13.9		0.557754588	1.337411539	4.402063092	8.372316181	5.157730599	1.715245292	0.893606813	0.833633201
1992	1419.8	1.6	39.9	27.3	32	46.7	27.4	7.5	2.3		0.112691928	2.810254965	1.922806029	2.253838569	3.289195661	1.929849275	0.528243415	0.161994647
1993	1669	1	41.7	142.1	25.5	15.8	25	15.4	7.4		0.059916117	2.498502097	8.514080288	1.527860995	0.946674655	1.497902936	0.922708209	0.443379269
1994	2218.7	12.8	32.2	53.1	49.8	9.4	9.2	7.7	9.9		0.576914409	1.451300311	2.39329337	2.244557624	0.423671519	0.414657232	0.347050074	0.446207238
1995	2303.5	1	28.2	29.9	39.5	29.7	9.9	5.8	6.4		0.043412199	1.224224007	1.298024745	1.714781854	1.289342305	0.429780768	0.251790753	0.277838072
1996	2390.5	0	74.6	53.8	13.6	13.6	12.8	3.8	4.4		0	3.120686049	2.250575193	0.568918636	0.568918636	0.535452834	0.15896256	0.184061912
1997	2661.3	0.6	41.4	114.2	24.2	8.5	6.8	4.5	0.7		0.022545373	1.555630707	4.291135911	0.909330027	0.319392778	0.255514222	0.169090294	0.026302935
1998	2845.8	2.7	54.1	74	63.2	17.6	3.6	4.3	2.7		0.09487666	1.901047157	2.600323283	2.220816642	0.618455267	0.126502214	0.151099866	0.09487666
1999	3058.5	0.8	22.2	64.3	52.6	25.8	7.7	2.4	1.9		0.026156613	0.725846003	2.102337747	1.719797286	0.84355076	0.251757397	0.078469838	0.062121955
2000	3133.4	0.6	11.9	26.1	26.9	17.8	12.7	4.9	1.8		0.019148529	0.379779154	0.832961001	0.858492373	0.56807302	0.405310525	0.156379651	0.057445586
2001	3172.3	2.8	42.6	27.8	27.5	17.7	10.1	5.9	2.4		0.088264036	1.342874255	0.876335782	0.866878921	0.557954796	0.318380985	0.185984932	0.075654888
2002	2652	0.5	19.8	41.3	16.9	7.8	7.4	3.8	2.1		0.018853695	0.746606335	1.557315234	0.637254902	0.294117647	0.279034691	0.143288084	0.07918552
2003	2668.9	1.7	29.6	46.1	36	10.5	5.3	3.6	2.5		0.063696654	1.109071153	1.727303383	1.348870321	0.39342051	0.198583686	0.134887032	0.09367155
2004	2503.1	0.9	12.4	35.1	26.3	17.8	3.4	2.6	2		0.035955415	0.495385722	1.402261196	1.050697136	0.711118213	0.135831569	0.1038712	0.079900923
2005	1968.3	1.5	12.5	9.5	13.2	7.8	5.3	2	1.2		0.076207895	0.635065793	0.482650003	0.670629477	0.396281055	0.269267896	0.101610527	0.060966316
2006	1330.1	0.6	10.4	18.2	4.7	4.5	3.1	1.6	0.4		0.04510939	0.781896098	1.368318172	0.35335689	0.338320427	0.233065183	0.120291707	0.030072927
2007	1407.4	0.5	9.3	24.7	12	3.2	2	1.4	0.6		0.035526503	0.660792952	1.755009237	0.852636067	0.227369618	0.142106011	0.099474208	0.042631803
2008	1201.7	0.2	10.9	16.1	18.1	5.2	1.9	1.4	0.9		0.016643089	0.907048348	1.339768661	1.506199551	0.432720313	0.158109345	0.116501623	0.0748939
2009	1105.2	0.3	10.4	30.2	15.2	10.7	3	1	0.6		0.027144408	0.941006153	2.732537097	1.375316685	0.968150561	0.271444083	0.090481361	0.054288817
2010	1162	0.2	6.8	11	18.6	7.2	5.9	1.7	0.1		0.017211704	0.585197935	0.946643718	1.600688468	0.619621343	0.507745267	0.146299484	0.008605852
2011	867.9	0.7	11.1	13.9	7.3	8.7	3.1	2.6	0.8		0.081	1.279	1.602	0.841	1.002	0.357	0.300	0.092
2012	1408.4	0.7	8.6	21.6	14.5	7	5.6	2.7	1.2		0.050	0.611	1.534	1.030	0.497	0.398	0.192	0.085
2013	1608	0.3	5.1	22.1	12.2	5.5	1.8	2.6	1		0.019	0.317	1.374	0.759	0.342	0.112	0.162	0.062
2014	959.1	0	0.1	1.5	15	6.6	1.2	0.7	0.6		0.000	0.010	0.156	1.564	0.688	0.125	0.073	0.063
2015	726.4	0	0.9	2.4	3.4	7	2.6	0.7	0.4		0.000	0.124	0.330	0.468	0.964	0.358	0.096	0.055
2016	915.3	0	0	3.3	4.1	3.5	7	2.9	1.2		0.000	0.000	0.361	0.448	0.382	0.765	0.317	0.131
