year,catch
1977,753.07
1978,852.62
1979,843.976
1980,1354.751
1981,1371.309
1982,1286.94
1983,1146.538
1984,1209.963
1985,1743.795
1986,1691.512
1987,1894.647
1988,2110.874
1989,2149.637
1990,2080.079
1991,1484.164
1992,1185.381
1993,1114.3792
1994,1069.9105
1995,1027.5445
1996,952.208
1997,1216.7377
1998,1066.0798
1999,968.0476
2000,717.5048
2001,713.5108
2002,641.7313
2003,594.3276
2004,783.7583
2005,707.0672
2006,856.47096
2007,1697.3767
2008,1020.383
2009,1088.0009
2010,1104.3682
2011,1536.4141
2012,1298.7717
2013,1677.4246
2014,1169.5515
2015,1149.6931
2016,1013.0812
2017,1277.69594
