"","year","catch","index1","index2","index3"
"1",1984,339.371,NA,NA,NA
"2",1985,397.655,NA,NA,NA
"3",1986,643.306,NA,NA,NA
"4",1987,720.024,NA,NA,23.9873595505618
"5",1988,703.778,NA,NA,26.5068493150685
"6",1989,826.978,NA,NA,17.2154340836013
"7",1990,1053.137,NA,NA,29.690800681431
"8",1991,1063.273,NA,NA,41.0718629076838
"9",1992,1390.866,NA,NA,40.938137755102
"10",1993,1441.949,NA,NA,30.7184634448575
"11",1994,1206.353,NA,3.03795197350262,30.539613343442
"12",1995,1327.908,NA,3.13813559322034,32.8448379955725
"13",1996,1077.718,NA,2.26631735291691,30.1755938518864
"14",1997,815.4,NA,2.1755353829179,13.7154209088652
"15",1998,604.647,NA,1.25300252844501,8.03327922077922
"16",1999,635.413,NA,2.88532409499423,23.2091503267974
"17",2000,645.716,NA,1.49139352928738,15.5583482944345
"18",2001,478.827,NA,1.96874119966207,13.8862433862434
"19",2002,864.811,NA,3.07591570496739,43.2616822429907
"20",2003,620.802,NA,3.583550535766,26.2613473483039
"21",2004,830.952,202.303,2.528271112722,33.6149037259315
"22",2005,1005.982,188.105,4.02580787471049,38.3913926106374
"23",2006,853.57,204.57,3.548347361938,26.3809067688378
"24",2007,655.672,203.795,1.79063478508397,14.7164835164835
"25",2008,642.574,152.566,NA,11.2177985948478
"26",2009,650.931,139.134,NA,NA
"27",2010,535.482,122.222,NA,NA
"28",2011,506.868,140.086,NA,NA
"29",2012,357.775,-9,NA,NA
"30",2013,304.835,-9,NA,NA
"31",2014,331.807,121.768,NA,NA
"32",2015,214.089,166.688,NA,NA
"33",2016,346.237,157.581,NA,NA
"34",2017,518.248,170.593,NA,NA
