"","year","catch","index1"
"1",1970,1785,NA
"2",1971,1882,NA
"3",1972,1450,NA
"4",1973,1428,NA
"5",1974,1307,NA
"6",1975,1441,NA
"7",1976,1463,NA
"8",1977,1147,NA
"9",1978,1106,NA
"10",1979,1614,NA
"11",1980,1941,NA
"12",1981,1667,NA
"13",1982,1338,NA
"14",1983,1169,NA
"15",1984,1058,NA
"16",1985,1146,NA
"17",1986,1995,NA
"18",1987,2808,NA
"19",1988,1999,9.05438628050609
"20",1989,1833,7.16984041322951
"21",1990,1583,7.90887732710962
"22",1991,1212,12.2717724995961
"23",1992,1259,9.04072572862382
"24",1993,1023,5.7015671687298
"25",1994,1374,7.01406014796784
"26",1995,1266,4.96809625091267
"27",1996,1002,2.65070950128567
"28",1997,1003,6.11885336973429
"29",1998,911,8.56322021523126
"30",1999,863,6.46011237738484
"31",2000,818,7.42833560839338
"32",2001,1053,5.60299673026253
"33",2002,1090,3.79353036411542
"34",2003,1014,4.14272562775785
"35",2004,709,4.35700453953843
"36",2005,855,2.71468053443229
"37",2006,569,2.42849433351322
"38",2007,492,2.02374527792768
"39",2008,332,2.28131285875484
"40",2009,325,2.53166566140757
"41",2010,277,1.6031237103584
"42",2011,330,1.76617769710052
"43",2012,298,1.30010302703233
"44",2013,148,1.47614361448843
"45",2014,99,1.2777372146916
"46",2015,76,2.01580902193581
"47",2016,35,4.37456049976287
"48",2017,34,3.03164978889559
