"","year","catch","index1","index2","index3","index4"
"1",1971,1861,NA,147.46835443038,NA,NA
"2",1972,1278,NA,116.587677725118,NA,NA
"3",1973,1391,NA,126.164462334675,NA,NA
"4",1974,1105,NA,102.920870950611,NA,NA
"5",1975,919,NA,78.0830280830281,NA,NA
"6",1976,1350,NA,84.6811542572141,NA,NA
"7",1977,961,NA,70.4272086271257,NA,NA
"8",1978,780,NA,68.6014372581537,NA,NA
"9",1979,954,NA,92.3280423280423,NA,NA
"10",1980,1314,NA,86.6643694004135,NA,NA
"11",1981,1212,NA,70.86747668833,NA,NA
"12",1982,1128,NA,71.0114702815433,NA,NA
"13",1983,1373,NA,60.4005722460658,NA,NA
"14",1984,1266,NA,57.2281959378734,NA,NA
"15",1985,1328,NA,58.6564583847864,NA,NA
"16",1986,1600,NA,58.9973313000381,NA,NA
"17",1987,1222,NA,57.3462261616976,NA,NA
"18",1988,1146,4.80302212628171,45.712954333644,NA,NA
"19",1989,992,7.6379897507317,42.8331466965286,NA,NA
"20",1990,1189,7.68702224512583,56.0963496399305,NA,NA
"21",1991,1107,8.56494611457743,103.213296398892,NA,17.6917422200441
"22",1992,981,8.41075169094485,83.4040047114252,NA,15.902738960313
"23",1993,928,5.68644651920546,62.6159258074832,NA,12.991927346115
"24",1994,1009,8.45086743477685,54.993481095176,NA,11.0991088306778
"25",1995,1157,4.15194192503873,51.2235933905041,NA,11.7584463953179
"26",1996,995,4.44380733944954,41.3394919168591,NA,11.8903971845148
"27",1997,927,6.55432341625612,NA,34.2746850873629,8.86046511627907
"28",1998,875,12.4906428981773,NA,36.587240584166,8.08761583824768
"29",1999,1012,27.6578521316784,NA,52.6763485477178,9.96658148220955
"30",2000,1091,23.2983675121425,NA,56.2589158345221,10.7442859933581
"31",2001,1168,12.6399757150567,NA,61.054844257596,12.4493106244931
"32",2002,1345,11.4257285483001,NA,74.7215592680986,20.5435651478817
"33",2003,1547,10.4054236373448,NA,47.7542436532973,20.3144190616556
"34",2004,1398,12.4471214943509,NA,40.2191464821223,17.299969107198
"35",2005,1118,6.19771991365354,NA,31.8331661172424,18.1752614496935
"36",2006,946,5.33762817053427,NA,37.3363504121545,25.255788906839
"37",2007,945,5.28703453858608,NA,32.0317782285328,33.636955107352
"38",2008,800,11.771451699946,NA,32.9662077596996,34.2733188720174
"39",2009,805,8.66837560712358,NA,32.5720876585928,32.5751421608448
"40",2010,876,6.95662439287642,NA,42.9333860446729,24.584487534626
"41",2011,1029,7.68179978413384,NA,43.0593922651934,25.8883248730964
"42",2012,1104,8.57562061521856,NA,41.5634082912651,23.4142521534847
"43",2013,1093,8.77799514301133,NA,41.6666666666667,NA
"44",2014,1042,5.95318402590394,NA,41.4612868047983,NA
"45",2015,830,8.7611305990286,NA,45.0124688279302,NA
"46",2016,831,9.84046141392337,NA,37.9627815866797,NA
"47",2017,776,13.15434430653,NA,36.7354667676576,NA
