"","year","catch","index1","index2","index3"
"1",1981,14325.4428,NA,NA,NA
"2",1982,19365.53142,NA,NA,NA
"3",1983,22256.53497,NA,NA,NA
"4",1984,20476.1541,NA,NA,NA
"5",1985,17719.31738,5576,NA,NA
"6",1986,11127.19891,3472.1,NA,NA
"7",1987,23459.93825,8756,NA,NA
"8",1988,19481.00532,4926.6,NA,NA
"9",1989,13399.15858,2289,NA,NA
"10",1990,10172.484,2791.2,NA,NA
"11",1991,11541.14426,3848.3,NA,NA
"12",1992,15253.23206,7375,NA,NA
"13",1993,11631.13392,13137.6,NA,NA
"14",1994,9355.615165,10789.2,NA,NA
"15",1995,11849.27469,10046,NA,NA
"16",1996,15097.81675,12763.3,3839,NA
"17",1997,11541.69633,10111.2,4361,NA
"18",1998,13842.92459,11755.5,4108.6,NA
"19",1999,8588.009335,11685.8,3119,NA
"20",2000,16295.92342,13540.2,5021.9,NA
"21",2001,6701.800816,6899.5,3586,NA
"22",2002,4618.319234,7638.9,2734.6,NA
"23",2003,2074.147814,8450,4465,8882.8
"24",2004,2970.05508,7827,2901,2291
"25",2005,969.561748,2269,715.3,2158.8
"26",2006,1326.553407,2268.6,581.8,882.1
"27",2007,744.582579,1358.2,990.9,2881.7
"28",2008,759.391318,833.8,451.2,3512.3
"29",2009,907.57998,1529.7,539.3,1251.3
"30",2010,1199.798891,4067.5,2377.966,5537.8
"31",2011,568.796891,2648.532,2178.775,5409.5
"32",2012,1039.333187,4563.544,731.127,5006.3
"33",2013,1173.142695,2418.509,2199.29,3482.5
"34",2014,767.3456,6366.707,3773.643,12533.1
"35",2015,1062.614957,3971.376,5202.863,19832.9
"36",2016,1029.763015,7561.418,8438.648,16760.7
"37",2017,1383.377278,8942.371,NA,5670.6
