year,catch
1981,14325.4428
1982,19365.53142
1983,22256.53497
1984,20476.1541
1985,17719.31738
1986,11127.19891
1987,23459.93825
1988,19481.00532
1989,13399.15858
1990,10172.484
1991,11541.14426
1992,15253.23206
1993,11631.13392
1994,9355.615165
1995,11849.27469
1996,15097.81675
1997,11541.69633
1998,13842.92459
1999,8588.009335
2000,16295.92342
2001,6701.800816
2002,4618.319234
2003,2074.147814
2004,2970.05508
2005,969.561748
2006,1326.553407
2007,744.582579
2008,759.391318
2009,907.57998
2010,1199.798891
2011,568.796891
2012,1039.333187
2013,1173.142695
2014,767.3456
2015,1062.614957
2016,1029.763015
2017,1383.377278
