year,landings,discards,catch
1981,12193.6438,2131.799,14325.4428
1982,13880.39642,5485.135,19365.53142
1983,15962.37897,6294.156,22256.53497
1984,16459.3751,4016.779,20476.1541
1985,12879.09038,4840.227,17719.31738
1986,8457.89591,2669.303,11127.19891
1987,11542.16425,11917.774,23459.93825
1988,11348.54832,8132.457,19481.00532
1989,7522.687583,5876.471,13399.15858
1990,5642.398,4530.086,10172.484
1991,6657.784262,4883.36,11541.14426
1992,6004.682062,9248.55,15253.23206
1993,6871.781918,4759.352,11631.13392
1994,5900.717165,3454.898,9355.615165
1995,6078.45669,5770.818,11849.27469
1996,7157.801745,7940.015,15097.81675
1997,6290.466332,5251.23,11541.69633
1998,4627.205588,9215.719,13842.92459
1999,4612.966335,3975.043,8588.009335
2000,3010.834421,13285.089,16295.92342
2001,2439.204816,4262.596,6701.800816
2002,1767.388234,2850.931,4618.319234
2003,1354.935814,719.212,2074.147814
2004,811.01308,2159.042,2970.05508
2005,340.694748,628.867,969.561748
2006,380.111407,946.442,1326.553407
2007,427.392279,317.1903,744.582579
2008,445.350618,314.0407,759.391318
2009,488.29738,419.2826,907.57998
2010,306.835091,892.9638,1199.798891
2011,230.068591,338.7283,568.796891
2012,312.817587,726.5156,1039.333187
2013,222.070595,951.0721,1173.142695
2014,183.9976,583.348,767.3456
2015,227.275957,835.339,1062.614957
2016,232.936715,796.8263,1029.763015
2017,176.482878,1206.8944,1383.377278
