"","year","catch","index1","index2","index3","index4"
"1",1980,16736,NA,NA,NA,NA
"2",1981,21331,NA,NA,NA,NA
"3",1982,17968,NA,NA,NA,NA
"4",1983,12406,NA,NA,NA,NA
"5",1984,14999,NA,NA,NA,NA
"6",1985,18169,NA,NA,NA,NA
"7",1986,12129,NA,NA,NA,NA
"8",1987,14270,NA,NA,NA,NA
"9",1988,11856,122,NA,NA,NA
"10",1989,13408,114,NA,NA,NA
"11",1990,10656,132,NA,NA,NA
"12",1991,9946,241,NA,NA,NA
"13",1992,12791,611,NA,NA,1473.968
"14",1993,9230,348,2309.458,NA,2430.574
"15",1994,7936,330,2829.163,778,2615.461
"16",1995,7044,2036,3840.994,225,2093.018
"17",1996,7966,363,3102.985,397,3169.494
"18",1997,4205,663,3889.003,205,2693.716
"19",1998,3533,1092,3565.527,59,1900.018
"20",1999,2762,687,3850.66,91,2925.382
"21",2000,2880,442,3630.628,40,1909.115
"22",2001,1745,780,7321.614,167,3235.237
"23",2002,1487,376,4330.566,19,2543.092
"24",2003,997,685,7017.484,148,1906.909
"25",2004,1038,1247,5544.984,101,857.088
"26",2005,397,1143,3065.953,135,1231.851
"27",2006,1837,1238,3050.472,118,1081.401
"28",2007,1547,428,3295.808,82,1152.107
"29",2008,1206,852,6315.457,99,1381.885
"30",2009,1360,760,2838.301,173,1347.949
"31",2010,1184,357,2855.135,78,783.374
"32",2011,977,1343,4052.957,122.2,1376.024
"33",2012,1399,868,1893.882,123.9,1349.732
"34",2013,981,1763,7680.415,197.6,1361.296
"35",2014,1974,374,5156.521,54.9,3287.725
"36",2015,1549,323,3815.675,59.5,2375.294
