"","year","catch","index1","index2"
"1",1978,188196.7775,NA,NA
"2",1979,243626.4713,NA,NA
"3",1980,223298.3563,NA,NA
"4",1981,192190.2598,NA,NA
"5",1982,140263.8338,NA,NA
"6",1983,161344.2192,4.70277,NA
"7",1984,145633.8661,7.57054,NA
"8",1985,100358.819,7.93062,NA
"9",1986,161534.9399,9.70369,NA
"10",1987,138817.4881,13.8682,NA
"11",1988,133215.1223,16.73608,NA
"12",1989,123556.176,25.05238,NA
"13",1990,152601.8963,16.87993,NA
"14",1991,126741.763,22.8227,14.97727
"15",1992,108556.1181,19.76671,24.16648
"16",1993,116910.7989,19.67524,18.32025
"17",1994,101650.45,16.10074,16.06867
"18",1995,105493.1467,14.36463,17.74932
"19",1996,76123.46897,13.25853,13.10679
"20",1997,61434.30496,8.70902,27.24021
"21",1998,47475.83098,8.98731,32.0745
"22",1999,60845.07004,11.59662,39.80619
"23",2000,63806.37699,15.7014,33.13293
"24",2001,45242.27601,16.30151,46.18137
"25",2002,46449.59209,12.48124,15.10275
"26",2003,45640.26704,8.48548,11.20892
"27",2004,33558.09295,5.95791,10.63078
"28",2005,28882.37,3.55142,5.19975
"29",2006,36769.24003,4.00274,5.29327
"30",2007,26974.71103,3.06054,10.39512
"31",2008,28246.45901,5.69507,12.44706
"32",2009,28416.39101,6.39727,16.25423
"33",2010,34442.41499,9.18378,9.5359
"34",2011,30662.39799,7.91838,9.08725
"35",2012,30212.30697,10.13612,8.44779
"36",2013,26661.81,5.73971,5.52181
"37",2014,28364.137,6.37767,18.31511
"38",2015,36253.09997,6.40382,27.12183
"39",2016,33393.57397,7.49048,16.11073
"40",2017,29345.72,10.06734,14.38553
