year,catch
1978,188196.7775
1979,243626.4713
1980,223298.3563
1981,192190.2598
1982,140263.8338
1983,161344.2192
1984,145633.8661
1985,100358.819
1986,161534.9399
1987,138817.4881
1988,133215.1223
1989,123556.176
1990,152601.8963
1991,126741.763
1992,108556.1181
1993,116910.7989
1994,101650.45
1995,105493.1467
1996,76123.46897
1997,61434.30496
1998,47475.83098
1999,60845.07004
2000,63806.37699
2001,45242.27601
2002,46449.59209
2003,45640.26704
2004,33558.09295
2005,28882.37
2006,36769.24003
2007,26974.71103
2008,28246.45901
2009,28416.39101
2010,34442.41499
2011,30662.39799
2012,30212.30697
2013,26661.81
2014,28364.137
2015,36253.09997
2016,33393.57397
2017,29345.72
