"","Stock","Method","Index","FixN2","Use.r","Use.k","Use.q","Resilience","Prior.r.low","Prior.r.hi","Prior.k.low","Prior.k.hi","Prior.log.k","Prior.log.k.sd","Prior.q.low","Prior.q.hi","Prior.log.q","Prior.log.q.sd","r","r.low","r.high","k","k.low","k.high","msy","msy.low","msy.high","fmsy","fmsy.low","fmsy.high","bmsy","bmsy.low","bmsy.high","b.end","b.end.low","b.end.hi","bbmsy","bbmsy.low","bbmsy.hi","f.end","f.end.low","f.end.hi","ffmsy","ffmsy.low","ffmsy.hi","Converge","Prior.Warn","Fit.Warn"
"36","Whg_7_bk","CMSY","1","Y","Y","Y","Y","Medium","0.2","0.8","0.023791875","0.38067","-1.59834497964871","0.535016540874068","124702.380952381","498809.523809524","12.6499759568033","0.229072682968539",0.410655752752345,0.30912795312868,0.545528625159293,0.173512602557116,0.0988114964174223,0.3046874537651,0.0178134871037777,0.00923762458357216,0.0343508571847317,0.205327876376173,0.15456397656434,0.272764312579647,0.086756301278558,0.0494057482087111,0.15234372688255,0.0120778442548327,0.00213130268366359,0.0323112031119503,0.139215758127505,0.0245665462018762,0.372436383706645,0.128251364011438,0.0479400285601591,0.726785553207936,2.24334302038268,0.838555825868552,12.7127638031092,"","",""
"361","Whg_7_bk","BSM","1","Y","Y","Y","Y","Medium","0.2","0.8","0.023791875","0.38067","-1.59834497964871","0.535016540874068","124702.380952381","498809.523809524","12.6499759568033","0.229072682968539",0.417091607760506,0.218017244286995,0.797943345413714,0.120178965667548,0.0783525601751684,0.184333272028792,0.0125314095023181,0.00610318640536197,0.0257302028292668,0.208545803880253,0.109008622143498,0.398971672706857,0.0600894828337738,0.0391762800875842,0.092166636014396,0.00179572480218067,0.00132305996038823,0.00409856033644281,0.0298841780207728,0.0220181618811436,0.0682076154288213,0.862604335652627,0.377937586090143,1.170770823981,69.2052226597609,30.3212651685462,93.9288758569202,"","",""
"1","Whg_7_bk","SPICT","1","N","N","N","N","Medium","0.2","0.8","0.023791875","0.38067","-1.59834497964871","0.535016540874068","124702.380952381","498809.523809524","12.6499759568033","0.229072682968539",6.43358678425833,NA,NA,0.00425053467368926,NA,NA,0.01611339,NA,NA,20.57037042,NA,NA,0.00078333,NA,NA,0.00392588,NA,NA,5.01178459,NA,NA,0.43160896,NA,NA,0.02098207,0.01311182,0.03357637,"Convergence: 1  MSG: false convergence (8)","",""
"11","Whg_7_bk","SPICT","1","Y","N","N","N","Medium","0.2","0.8","0.023791875","0.38067","-1.59834497964871","0.535016540874068","124702.380952381","498809.523809524","12.6499759568033","0.229072682968539",28.128151389905,NA,NA,0.00208613952224076,NA,NA,0.01467755,0.01359698,0.015844,14.07206083,NA,NA,0.00104303,NA,NA,0.00196762,NA,NA,1.88644539,1.45642882,2.4434261,0.80343021,NA,NA,0.057094,0.0366902,0.08884457,"Convergence: 0  MSG: relative convergence (4)","",""
"12","Whg_7_bk","SPICT","1","Y","Y","N","N","Medium","0.2","0.8","0.023791875","0.38067","-1.59834497964871","0.535016540874068","124702.380952381","498809.523809524","12.6499759568033","0.229072682968539",0.696249933599083,0.00508725387309816,1.38741261332507,0.124881084819696,-0.12734300029485,0.377105169934242,0.02153737,0.00643771,0.07205331,0.34686331,0.12819763,0.93850528,0.06209308,0.00824329,0.46772004,0.12153206,0.01584922,0.93190975,1.95725606,1.72600078,2.2194957,0.01346945,0.00171522,0.10577431,0.03883215,0.01083631,0.13915581,"Convergence: 0  MSG: relative convergence (4)","",""
"13","Whg_7_bk","SPICT","1","Y","Y","Y","N","Medium","0.2","0.8","0.023791875","0.38067","-1.59834497964871","0.535016540874068","124702.380952381","498809.523809524","12.6499759568033","0.229072682968539",0.594869029407062,0.252446667298184,0.937291391515941,0.183544296241776,0.00947811351748756,0.357610478966065,0.02702986,0.01279133,0.05711784,0.29623721,0.16625163,0.52785338,0.09124609,0.03535757,0.23547572,0.17902561,0.06835344,0.46888887,1.96200857,1.7218218,2.23570036,0.00917372,0.00324565,0.02592924,0.03096749,0.01312282,0.0730777,"Convergence: 0  MSG: relative convergence (4)","",""
"14","Whg_7_bk","SPICT","1","Y","Y","N","Y","Medium","0.2","0.8","0.023791875","0.38067","-1.59834497964871","0.535016540874068","124702.380952381","498809.523809524","12.6499759568033","0.229072682968539",0.856878162018087,0.329483315702644,1.38427300833353,0.107864610996266,-0.139516156099994,0.355245378092525,0.02266233,0.00252677,0.20325578,0.42544373,0.22869614,0.79145353,0.05327217,0.00541837,0.52375968,0.00198376,0.00089052,0.00441909,0.03723813,0.00360662,0.38448196,0.77931479,0.38375525,1.58260127,1.83176935,1.37170105,2.44614448,"Convergence: 0  MSG: relative convergence (4)","",""
"15","Whg_7_bk","SPICT","1","Y","Y","Y","Y","Medium","0.2","0.8","0.023791875","0.38067","-1.59834497964871","0.535016540874068","124702.380952381","498809.523809524","12.6499759568033","0.229072682968539",0.835621039992917,0.334025876469643,1.33721620351619,0.19367988354958,-0.00876980486252865,0.396129571961689,0.03958677,0.01211134,0.12939219,0.41449119,0.22629054,0.75921402,0.09551749,0.03361333,0.27142779,0.00200389,0.00091189,0.00440356,0.02097925,0.00569831,0.07723842,0.76803607,0.38425307,1.5351326,1.85296114,1.41906083,2.41953332,"Convergence: 0  MSG: relative convergence (4)","",""
"16","Whg_7_bk","SPICT","1","N","Y","N","N","Medium","0.2","0.8","0.023791875","0.38067","-1.59834497964871","0.535016540874068","124702.380952381","498809.523809524","12.6499759568033","0.229072682968539",0.801370656304598,NA,NA,0.0346572360494299,NA,NA,0.01683201,NA,NA,2.75702677,NA,NA,0.00610383,NA,NA,0.03172883,NA,NA,5.19818267,NA,NA,0.05335051,NA,NA,0.01935074,0.01633093,0.02292896,"Convergence: 1  MSG: false convergence (8)","",""
"17","Whg_7_bk","SPICT","1","N","Y","Y","N","Medium","0.2","0.8","0.023791875","0.38067","-1.59834497964871","0.535016540874068","124702.380952381","498809.523809524","12.6499759568033","0.229072682968539",0.41605862238455,0.30412828553583,0.52798895923327,0.0722241463679401,0.0426833471363148,0.101764945599565,0.01864776,0.01728956,0.02011265,1.5687313,1.04281634,2.3598766,0.01188576,0.00717026,0.01970241,0.06722961,0.04254163,0.10624464,5.65631505,4.71146802,6.79064354,0.02505572,0.01334909,0.0470286,0.01597196,0.01042904,0.0244609,"Convergence: 1  MSG: false convergence (8)","",""
