"","Stock","Method","Index","FixN2","Use.r","Use.k","Use.q","Resilience","Prior.r.low","Prior.r.hi","Prior.k.low","Prior.k.hi","Prior.log.k","Prior.log.k.sd","Prior.q.low","Prior.q.hi","Prior.log.q","Prior.log.q.sd","r","r.low","r.high","k","k.low","k.high","msy","msy.low","msy.high","fmsy","fmsy.low","fmsy.high","bmsy","bmsy.low","bmsy.high","b.end","b.end.low","b.end.hi","bbmsy","bbmsy.low","bbmsy.hi","f.end","f.end.low","f.end.hi","ffmsy","ffmsy.low","ffmsy.hi","Converge","Prior.Warn","Fit.Warn"
"27","Had_6_b","CMSY","1","Y","Y","Y","Y","Medium","0.2","0.8","23.5840205","377.344328","5.3006355487362","0.535016540874068","2918.17227585541","11672.6891034216","8.89500349823245","0.229072682968539",0.465333930974313,0.312547131618141,0.692809645044392,149.034465384533,81.3994330971198,272.867648180704,17.3376984070101,8.92464933595971,33.6815234679599,0.232666965487157,0.15627356580907,0.346404822522196,74.5172326922666,40.6997165485599,136.433824090352,15.7802063478519,1.96394265662267,43.0023288167283,0.211765866467685,0.0263555500609255,0.577078982445776,0.31723701133233,0.116413823105613,2.5489876107731,3.21931274457606,1.18136437736176,25.8670584074188,"","",""
"271","Had_6_b","BSM","1","Y","Y","Y","Y","Medium","0.2","0.8","23.5840205","377.344328","5.3006355487362","0.535016540874068","2918.17227585541","11672.6891034216","8.89500349823245","0.229072682968539",0.43779593808411,0.252322331279763,0.759604916579645,124.282298457336,75.3114753071148,205.096097863577,13.6025713600947,8.6777316745783,21.3223863729873,0.218897969042055,0.126161165639881,0.379802458289822,62.141149228668,37.6557376535574,102.548048931788,2.90417336784011,1.36358482578799,35.2522046472635,0.0467351087626861,0.021943347406889,0.567292447674919,1.72374884896183,0.142007160973083,3.67125345290277,84.2478843593392,6.94057193022277,179.431787026432,"","",""
"1","Had_6_b","SPICT","1","Y","Y","N","N","Medium","0.2","0.8","23.5840205","377.344328","5.3006355487362","0.535016540874068","2918.17227585541","11672.6891034216","8.89500349823245","0.229072682968539",0.419577936855193,0.36756733275659,0.471588540953796,90.7205636731778,73.6931456007729,107.747981745583,8.23569716,NA,NA,0.19738066,0.17304732,0.22513569,41.94071325,35.06096539,50.17042196,68.38943648,0,1505253833063194135622066682244206008244604646084204882400024066060286820884862242400846604808864208248422426868806282202862866088648884228826242824442004024840006464684000608820028860242024462668688264844000664420208062484026402446488242000604646282088024200200462280280082808864804664406448662086262862422,1.63062168,0,1505253833063194135622066682244206008244604646084204882400024066060286820884862242400846604808864208248422426868806282202862866088648884228826242824442004024840006464684000608820028860242024462668688264844000664420208062484026402446488242000604646282088024200200462280280082808864804664406448662086262862422,0.05623625,0,1505253833063194135622066682244206008244604646084204882400024066060286820884862242400846604808864208248422426868806282202862866088648884228826242824442004024840006464684000608820028860242024462668688264844000664420208062484026402446488242000604646282088024200200462280280082808864804664406448662086262862422,0.28491268,0,1505253833063194135622066682244206008244604646084204882400024066060286820884862242400846604808864208248422426868806282202862866088648884228826242824442004024840006464684000608820028860242024462668688264844000664420208062484026402446488242000604646282088024200200462280280082808864804664406448662086262862422,"Convergence: 1  MSG: false convergence (8)","",""
"11","Had_6_b","SPICT","1","Y","Y","Y","N","Medium","0.2","0.8","23.5840205","377.344328","5.3006355487362","0.535016540874068","2918.17227585541","11672.6891034216","8.89500349823245","0.229072682968539",0.359843958252185,0.120368312391343,0.599319604113028,149.345756721923,-30.0566222087354,328.748135652581,9.5911679,NA,NA,0.15663788,0.06539768,0.37517275,62.9661308,23.94920841,165.54758553,100.80541112,0.13236134,76772.64836781,1.60094657,0.00214483,1194.98252301,0.03825167,0.00004621,31.6618817,0.24420447,0.00030235,197.23981169,"Convergence: 1  MSG: false convergence (8)","",""
"12","Had_6_b","SPICT","1","Y","Y","N","Y","Medium","0.2","0.8","23.5840205","377.344328","5.3006355487362","0.535016540874068","2918.17227585541","11672.6891034216","8.89500349823245","0.229072682968539",1.08835545814595,0.229798827698702,1.9469120885932,46.5898738623973,12.5686833623594,80.6110643624353,11.83315505,7.24004051,19.34016229,0.53284426,0.23868024,1.18955391,22.23018294,10.43091913,47.37655692,5.12740741,1.46973546,17.88778152,0.23065071,0.082511,0.64475944,0.74453026,0.22925541,2.41793772,1.39727555,0.63262901,3.08613569,"Convergence: 0  MSG: relative convergence (4)","",""
"13","Had_6_b","SPICT","1","Y","Y","Y","Y","Medium","0.2","0.8","23.5840205","377.344328","5.3006355487362","0.535016540874068","2918.17227585541","11672.6891034216","8.89500349823245","0.229072682968539",0.854842211312311,0.187965655794055,1.52171876683057,172.378261379589,-19.3035570118165,364.060079770994,28.46788045,6.5067382,124.55091811,0.39205992,0.16610325,0.92539415,73.7344445,23.30434414,233.29419928,4.95537097,1.77732107,13.81613138,0.06720565,0.01373715,0.32878717,0.75968841,0.3086105,1.87008051,1.93768447,1.24542204,3.01473799,"Convergence: 0  MSG: both X-convergence and relative convergence (5)","",""
"14","Had_6_b","SPICT","1","N","Y","N","N","Medium","0.2","0.8","23.5840205","377.344328","5.3006355487362","0.535016540874068","2918.17227585541","11672.6891034216","8.89500349823245","0.229072682968539",0.40846782971047,NA,NA,122.694145774457,NA,NA,7.9833184,NA,NA,0.12265898,NA,NA,65.68695516,NA,NA,96.23973854,0.00217885,4250899.59114113,1.46512711,0.00003317,64715.24514702,0.03985951,0.00000073,2191.09170753,0.32496204,0.00000591,17860.75947965,"Convergence: 1  MSG: false convergence (8)","",""
"15","Had_6_b","SPICT","1","N","Y","Y","N","Medium","0.2","0.8","23.5840205","377.344328","5.3006355487362","0.535016540874068","2918.17227585541","11672.6891034216","8.89500349823245","0.229072682968539",0.553646115528718,NA,NA,176.524989410339,169.085322683452,183.964656137226,8.07086833,NA,NA,0.0896616,0.08367719,0.09607401,97.31681036,90.93670659,104.14454111,151.47126265,0,5053108349291062272,1.55647582,0,51877571948878168,0.02534923,0,2967178438379059,0.28272114,0,33069850077729484,"Convergence: 1  MSG: false convergence (8)","",""
"16","Had_6_b","SPICT","1","N","Y","N","Y","Medium","0.2","0.8","23.5840205","377.344328","5.3006355487362","0.535016540874068","2918.17227585541","11672.6891034216","8.89500349823245","0.229072682968539",0.640105484845082,0.0265404993720152,1.25367047031815,82.2487614018256,-120.673436148397,285.170958952048,20.9114223,3.43722933,127.22095073,0.84610278,0.34522425,2.07369531,24.70817918,2.23432762,273.2339311,0.74793588,0.16996831,3.29124931,0.03027078,0.00149055,0.61475397,5.19878698,1.33273219,20.27968277,6.14439179,1.58750716,23.78165676,"Convergence: 0  MSG: relative convergence (4)","",""
"17","Had_6_b","SPICT","1","N","Y","Y","Y","Medium","0.2","0.8","23.5840205","377.344328","5.3006355487362","0.535016540874068","2918.17227585541","11672.6891034216","8.89500349823245","0.229072682968539",0.551381084179256,0.117120944126641,0.985641224231871,187.828080061849,-6.07974956845686,381.735909692155,39.66393559,13.18065871,119.35881369,0.71401221,0.36995337,1.37804781,55.50070462,19.01174495,162.02238249,0.66440642,0.15049856,2.93315697,0.01197113,0.00190969,0.07504251,5.83476127,1.49690317,22.74324733,8.17179484,2.78619988,23.9674947,"Convergence: 0  MSG: relative convergence (4)","",""
