"","Stock","Method","Index","FixN2","Use.r","Use.k","Use.q","Resilience","Prior.r.low","Prior.r.hi","Prior.k.low","Prior.k.hi","Prior.log.k","Prior.log.k.sd","Prior.q.low","Prior.q.hi","Prior.log.q","Prior.log.q.sd","r","r.low","r.high","k","k.low","k.high","msy","msy.low","msy.high","fmsy","fmsy.low","fmsy.high","bmsy","bmsy.low","bmsy.high","b.end","b.end.low","b.end.hi","bbmsy","bbmsy.low","bbmsy.hi","f.end","f.end.low","f.end.hi","ffmsy","ffmsy.low","ffmsy.hi","Converge","Prior.Warn","Fit.Warn"
"47","Sol_7_fg","CMSY","1","Y","Y","Y","Y","Medium","0.2","0.8","2.32625","37.22","2.98432369247059","0.535016540874068","1.94019507059957","7.76078028239828","1.57907925174984","0.229072682968539",0.497828320173962,0.346542435110286,0.715159274183424,9.39399193239204,6.74028893131884,13.0924779820351,1.16914880585762,1.07130185502901,1.2759325710318,0.248914160086981,0.173271217555143,0.357579637091712,4.69699596619602,3.37014446565942,6.54623899101753,2.86529842411954,0.272902599116296,3.71338243559272,0.610027865627502,0.0581015187324747,0.790586677595148,0.270826938467483,0.208973897372393,2.84350534774245,1.08803347456346,0.839542022436043,11.4236383609065,"","",""
"471","Sol_7_fg","BSM","1","Y","Y","Y","Y","Medium","0.2","0.8","2.32625","37.22","2.98432369247059","0.535016540874068","1.94019507059957","7.76078028239828","1.57907925174984","0.229072682968539",0.541412402385287,0.40028798186193,0.732291257142253,9.09278701826244,6.61787870479629,12.4932443532942,1.23073691598381,1.10604596840032,1.36948499397007,0.270706201192644,0.200143990930965,0.366145628571126,4.54639350913122,3.30893935239814,6.24662217664709,3.50915805181632,2.33953083509809,4.40320276053165,0.771855327693993,0.514590483731612,0.96850454138825,0.221135665177106,0.176235354627709,0.331690434833471,0.816884372071472,0.651020751838239,1.22527830309077,"","",""
"1","Sol_7_fg","SPICT","1","N","N","N","N","Medium","0.2","0.8","2.32625","37.22","2.98432369247059","0.535016540874068","1.94019507059957","7.76078028239828","1.57907925174984","0.229072682968539",0.511930098187057,NA,NA,5.64677571820359,NA,NA,1.13403682,NA,NA,0.5872645,NA,NA,1.93104819,NA,NA,1.90213857,NA,NA,0.98502905,NA,NA,0.42095898,NA,NA,0.71681326,NA,NA,"Convergence: 1  MSG: false convergence (8)","",""
"11","Sol_7_fg","SPICT","1","Y","N","N","N","Medium","0.2","0.8","2.32625","37.22","2.98432369247059","0.535016540874068","1.94019507059957","7.76078028239828","1.57907925174984","0.229072682968539",1.07522963089681,0.422386828332431,1.72807243346119,4.28234296267117,1.88144940839885,6.6832365169435,1.14922663,1.07420908,1.22948304,0.53733506,0.29281659,0.98604035,2.13875362,1.21943343,3.75114124,2.40112487,1.16606495,4.94432202,1.12267484,0.65698773,1.91845103,0.33468031,0.15909983,0.70402912,0.62285218,0.35773907,1.08443519,"Convergence: 0  MSG: relative convergence (4)","",""
"12","Sol_7_fg","SPICT","1","Y","Y","N","N","Medium","0.2","0.8","2.32625","37.22","2.98432369247059","0.535016540874068","1.94019507059957","7.76078028239828","1.57907925174984","0.229072682968539",0.803653638050079,0.2833685667879,1.32393870931226,5.59638072393997,2.25312771200109,8.93963373587884,1.12283943,1.0517303,1.19875637,0.40162069,0.21017008,0.76746975,2.79577212,1.53812322,5.08173965,3.16667785,1.17021274,8.56925262,1.13266666,0.58787146,2.18233721,0.25360554,0.0922892,0.69689377,0.63145536,0.32669728,1.22050563,"Convergence: 1  MSG: false convergence (8)","",""
"13","Sol_7_fg","SPICT","1","Y","Y","Y","N","Medium","0.2","0.8","2.32625","37.22","2.98432369247059","0.535016540874068","1.94019507059957","7.76078028239828","1.57907925174984","0.229072682968539",0.58527178274117,0.26793991819192,0.902603647290421,7.55856345730642,3.71774750690706,11.3993794077058,1.10461193,1.03972682,1.17354624,0.29248923,0.17006951,0.50302931,3.77659149,2.27178896,6.27815503,4.52338084,2.52619501,8.09952288,1.19774163,0.77710807,1.846056,0.17751725,0.09680485,0.32552475,0.60691894,0.36618407,1.00591651,"Convergence: 0  MSG: both X-convergence and relative convergence (5)","",""
"14","Sol_7_fg","SPICT","1","Y","Y","N","Y","Medium","0.2","0.8","2.32625","37.22","2.98432369247059","0.535016540874068","1.94019507059957","7.76078028239828","1.57907925174984","0.229072682968539",0.948615157933736,0.612958895406765,1.28427142046071,4.81489347215878,3.21650648910762,6.41328045520994,1.14046911,1.08780771,1.19567988,0.47410879,0.3328814,0.67525293,2.40550171,1.72469769,3.35504507,2.54399669,1.53896005,4.20538477,1.05757426,0.63526791,1.76061673,0.31566961,0.18550803,0.53715896,0.66581682,0.38838769,1.14141628,"Convergence: 1  MSG: false convergence (8)","",""
"15","Sol_7_fg","SPICT","1","Y","Y","Y","Y","Medium","0.2","0.8","2.32625","37.22","2.98432369247059","0.535016540874068","1.94019507059957","7.76078028239828","1.57907925174984","0.229072682968539",0.828234888402154,0.546118461895906,1.1103513149084,5.46849879718906,3.74252068065276,7.19447691372535,1.13114366,1.0802633,1.18442047,0.4139629,0.29446125,0.58196209,2.73247656,1.99252114,3.74722657,2.7163162,1.62568124,4.53863496,0.99408582,0.6002656,1.64628227,0.29550644,0.17189584,0.50800565,0.71384764,0.41693369,1.22220502,"Convergence: 0  MSG: relative convergence (4)","",""
"16","Sol_7_fg","SPICT","1","N","Y","N","N","Medium","0.2","0.8","2.32625","37.22","2.98432369247059","0.535016540874068","1.94019507059957","7.76078028239828","1.57907925174984","0.229072682968539",0.499419841642569,NA,NA,5.5407675691533,NA,NA,1.14303684,NA,NA,0.64036462,NA,NA,1.78497525,NA,NA,1.98085671,NA,NA,1.10973903,NA,NA,0.40424032,NA,NA,0.63126586,0.56934132,0.69992563,"Convergence: 1  MSG: false convergence (8)","",""
"17","Sol_7_fg","SPICT","1","N","Y","Y","N","Medium","0.2","0.8","2.32625","37.22","2.98432369247059","0.535016540874068","1.94019507059957","7.76078028239828","1.57907925174984","0.229072682968539",0.448964740830072,NA,NA,7.67932649924521,NA,NA,1.14678315,1.13361527,1.16010399,0.37981213,NA,NA,3.01942041,NA,NA,3.93609409,3.1096757,4.98213904,1.3035926,0.96906949,1.75359319,0.20602394,0.15887792,0.26716024,0.54243643,0.39549657,0.74396925,"Convergence: 1  MSG: false convergence (8)","",""
