"","Stock","Method","Index","FixN2","Use.r","Use.k","Use.q","Resilience","Prior.r.low","Prior.r.hi","Prior.k.low","Prior.k.hi","Prior.log.k","Prior.log.k.sd","Prior.q.low","Prior.q.hi","Prior.log.q","Prior.log.q.sd","r","r.low","r.high","k","k.low","k.high","msy","msy.low","msy.high","fmsy","fmsy.low","fmsy.high","bmsy","bmsy.low","bmsy.high","b.end","b.end.low","b.end.hi","bbmsy","bbmsy.low","bbmsy.hi","f.end","f.end.low","f.end.hi","ffmsy","ffmsy.low","ffmsy.hi","Converge","Prior.Warn","Fit.Warn"
"47","Cod_7_ek","CMSY","1","Y","Y","Y","Y","Medium","0.2","0.8","20.72875","331.66","5.17158778904244","0.535016540874068","0.120731498861929","0.482925995447717","-1.19789548484921","0.229072682968539",0.398519041084514,0.247709150823012,0.641144768286722,94.6018311492193,72.3305575123802,123.730643929484,9.42515775860649,8.54647903594357,10.3941750048197,0.199259520542257,0.123854575411506,0.320572384143361,47.3009155746096,36.1652787561901,61.8653219647421,8.68893166117093,1.27648195293188,18.2247782377703,0.183694788052581,0.0269864110963864,0.385294407441726,0.257453975613216,0.122744977788749,1.75247287661369,3.51684875605844,1.67670948339639,23.9389663393827,"","",""
"471","Cod_7_ek","BSM","1","Y","Y","Y","Y","Medium","0.2","0.8","20.72875","331.66","5.17158778904244","0.535016540874068","0.120731498861929","0.482925995447717","-1.19789548484921","0.229072682968539",0.407250756002912,0.285897613808022,0.580113894816598,93.2001056580417,70.5257449266457,123.164380662761,9.48895337219719,8.25105997727598,10.9125659427649,0.203625378001456,0.142948806904011,0.290056947408299,46.6000528290209,35.2628724633229,61.5821903313803,7.82456911174402,2.77692924196497,18.7171436316217,0.167909018053111,0.0595906887091681,0.401654987394463,0.285894337190076,0.119516099466197,0.805566078600219,4.18089857618665,1.74779498957824,11.7805413851367,"","",""
"1","Cod_7_ek","SPICT","1","N","N","N","N","Medium","0.2","0.8","20.72875","331.66","5.17158778904244","0.535016540874068","0.120731498861929","0.482925995447717","-1.19789548484921","0.229072682968539",0.205983440048724,0.19748283860597,0.214484041491478,120.262682563161,NA,NA,7.8985709,NA,NA,0.18722621,0.18533104,0.18914076,42.21582816,42.01944408,42.41313007,5.64094816,2.68766297,11.83939229,0.13362164,0.0636772,0.28039459,0.4544095,0.20739281,0.99563718,2.42706134,1.10748227,5.31893552,"Convergence: 1  MSG: false convergence (8)","",""
"11","Cod_7_ek","SPICT","1","Y","N","N","N","Medium","0.2","0.8","20.72875","331.66","5.17158778904244","0.535016540874068","0.120731498861929","0.482925995447717","-1.19789548484921","0.229072682968539",0.231642671034519,0.229505625785361,0.233779716283677,130.815588302554,125.000668574854,136.630508030253,7.03290033,6.83061087,7.24118062,0.11191968,0.10973763,0.11414512,62.92520466,60.22590147,65.74548964,9.32397936,4.93194963,17.62722605,0.14817559,0.07813291,0.28100841,0.28392148,0.14210395,0.56727071,2.53683247,1.26503409,5.0872297,"Convergence: 1  MSG: false convergence (8)","",""
"12","Cod_7_ek","SPICT","1","Y","Y","N","N","Medium","0.2","0.8","20.72875","331.66","5.17158778904244","0.535016540874068","0.120731498861929","0.482925995447717","-1.19789548484921","0.229072682968539",0.274058887646226,0.194657208225727,0.353460567066725,105.469286551096,81.5841760268108,129.354397075382,6.25252946,5.42994526,7.19972722,0.12849375,0.10613305,0.15556552,48.9144035,35.86187069,66.71762581,9.17799496,2.16582776,38.89302411,0.18763379,0.03715845,0.94746798,0.28430005,0.06059143,1.33395968,2.2125594,0.4318146,11.33685392,"Convergence: 1  MSG: false convergence (8)","",""
"13","Cod_7_ek","SPICT","1","Y","Y","N","Y","Medium","0.2","0.8","20.72875","331.66","5.17158778904244","0.535016540874068","0.120731498861929","0.482925995447717","-1.19789548484921","0.229072682968539",0.594386854337996,0.302966138430187,0.885807570245805,70.686869687289,27.8998722271943,113.473867147384,9.21373365,5.72717153,14.82282961,0.28212855,0.16902068,0.47092768,32.79406274,17.67954466,60.83021772,3.84398573,1.70560836,8.66331722,0.1172159,0.04625182,0.29706006,0.6799544,0.28578531,1.61778081,2.41008721,1.11740977,5.19820077,"Convergence: 0  MSG: relative convergence (4)","",""
"14","Cod_7_ek","SPICT","1","Y","Y","Y","Y","Medium","0.2","0.8","20.72875","331.66","5.17158778904244","0.535016540874068","0.120731498861929","0.482925995447717","-1.19789548484921","0.229072682968539",0.512251225902439,0.271331006439711,0.753171445365167,104.348550196142,-2.86020717310645,211.557307565391,11.24018644,4.72282588,26.75131254,0.23876936,0.1447462,0.39386737,47.42102727,17.90560082,125.5894091,4.3134982,2.02118031,9.20564417,0.09096172,0.02968127,0.2787628,0.60534586,0.27226077,1.34592876,2.53527449,1.21683894,5.28222475,"Convergence: 0  MSG: relative convergence (4)","",""
"15","Cod_7_ek","SPICT","1","N","Y","N","N","Medium","0.2","0.8","20.72875","331.66","5.17158778904244","0.535016540874068","0.120731498861929","0.482925995447717","-1.19789548484921","0.229072682968539",0.324698821817393,0.275033072794362,0.374364570840424,74.6464769994881,63.9835155623283,85.3094384366479,6.36989588,5.88499076,6.89475569,0.2169179,0.18477997,0.25464543,29.48103698,25.13523313,34.57821683,6.3240073,3.7661864,10.61898273,0.21451102,0.12254494,0.3754947,0.40400298,0.23414054,0.69709589,1.86246951,1.02849539,3.37268665,"Convergence: 1  MSG: false convergence (8)","",""
"16","Cod_7_ek","SPICT","1","N","Y","Y","N","Medium","0.2","0.8","20.72875","331.66","5.17158778904244","0.535016540874068","0.120731498861929","0.482925995447717","-1.19789548484921","0.229072682968539",0.293145080073346,NA,NA,89.9530948372463,NA,NA,6.64512935,NA,NA,0.17911854,NA,NA,37.25060419,NA,NA,9.35335048,4.91244189,17.80889569,0.25109258,0.13621714,0.46284548,0.27630441,0.14002201,0.54522946,1.54257848,0.7797134,3.05182437,"Convergence: 1  MSG: false convergence (8)","",""
"17","Cod_7_ek","SPICT","1","N","Y","N","Y","Medium","0.2","0.8","20.72875","331.66","5.17158778904244","0.535016540874068","0.120731498861929","0.482925995447717","-1.19789548484921","0.229072682968539",0.439760209895875,0.077196006694238,0.802324413097513,74.8711365936285,34.9609056134568,114.7813675738,9.27988441,6.12250513,14.06552593,0.29222111,0.18584525,0.4594854,31.7763779,17.89332919,56.43098506,3.07197325,1.16742263,8.08363603,0.09667475,0.03110529,0.30046361,0.85008544,0.29903281,2.41660856,2.90904868,1.07272992,7.88881157,"Convergence: 0  MSG: relative convergence (4)","",""
