"","Stock","Method","Index","FixN2","Use.r","Use.k","Use.q","Resilience","Prior.r.low","Prior.r.hi","Prior.k.low","Prior.k.hi","Prior.log.k","Prior.log.k.sd","Prior.q.low","Prior.q.hi","Prior.log.q","Prior.log.q.sd","r","r.low","r.high","k","k.low","k.high","msy","msy.low","msy.high","fmsy","fmsy.low","fmsy.high","bmsy","bmsy.low","bmsy.high","b.end","b.end.low","b.end.hi","bbmsy","bbmsy.low","bbmsy.hi","f.end","f.end.low","f.end.hi","ffmsy","ffmsy.low","ffmsy.hi","Converge","Prior.Warn","Fit.Warn"
"36","Had_7_bk","CMSY","1","Y","Y","Y","Y","Medium","0.2","0.8","0.000023791875","0.00038067","-8.50610025863085","0.535016540874067","124702380.952381","498809523.809524","19.5577312357855","0.229072682968539",0.382892885975112,0.206645606259451,0.709460824181665,0.000168533449525343,0.000101104702507527,0.000280931775718312,0.0000161325647180248,0.0000088432439874416,0.0000294303362828002,0.191446442987556,0.103322803129726,0.354730412090832,0.0000842667247626714,0.0000505523512537636,0.000140465887859156,0.0000122336861129575,0.00000213251194545272,0.0000319263638144296,0.145178137009744,0.0253066907662393,0.378872727097759,0.126617602061847,0.0485178960248491,0.72637342234027,2.27779989183925,0.872817495498673,13.0671666174297,"","",""
"361","Had_7_bk","BSM","1","Y","Y","Y","Y","Medium","0.2","0.8","0.000023791875","0.00038067","-8.50610025863085","0.535016540874067","124702380.952381","498809523.809524","19.5577312357855","0.229072682968539",0.415433248368981,0.218717913082063,0.789074755782117,0.000119628249065124,0.0000745266231429198,0.000192024237391558,0.0000124243880264545,0.00000590126851391502,0.0000261580061079945,0.20771662418449,0.109358956541032,0.394537377891058,0.0000598141245325618,0.0000372633115714599,0.0000960121186957792,0.00000179522196107313,0.00000131853436827506,0.00000422576267960456,0.0300133450936968,0.0220438630269891,0.0706482409067798,0.862845950856155,0.366561048843603,1.17478924878268,69.2018352383115,29.3988715850004,94.2202625547832,"","",""
"1","Had_7_bk","SPICT","1","N","N","N","N","Medium","0.2","0.8","0.000023791875","0.00038067","-8.50610025863085","0.535016540874067","124702380.952381","498809523.809524","19.5577312357855","0.229072682968539",6.43338792794144,NA,NA,0.00000425074200548944,NA,NA,0.00001611,NA,NA,20.56992355,NA,NA,0.00000078,NA,NA,0.00000393,NA,NA,5.01181962,4.31281715,5.82411334,0.43158823,0.33975524,0.54824291,0.02098152,0.01289578,0.03413706,"Convergence: 1  MSG: false convergence (8)","",""
"11","Had_7_bk","SPICT","1","Y","N","N","N","Medium","0.2","0.8","0.000023791875","0.00038067","-8.50610025863085","0.535016540874067","124702380.952381","498809523.809524","19.5577312357855","0.229072682968539",28.1281513994617,NA,NA,0.00000208613952148439,NA,NA,0.00001468,0.0000136,0.00001584,14.07206084,NA,NA,0.00000104,NA,NA,0.00000197,NA,NA,1.88644539,1.45642882,2.4434261,0.80343021,NA,NA,0.057094,0.0366902,0.08884457,"Convergence: 0  MSG: relative convergence (4)","",""
"12","Had_7_bk","SPICT","1","Y","Y","N","N","Medium","0.2","0.8","0.000023791875","0.00038067","-8.50610025863085","0.535016540874067","124702380.952381","498809523.809524","19.5577312357855","0.229072682968539",0.696249933598885,0.00508725342969918,1.38741261376807,0.000124881084820344,-0.000127343000523931,0.000377105170164619,0.00002154,0.00000644,0.00007205,0.34686331,0.12819763,0.93850528,0.00006209,0.00000824,0.00046772,0.00012153,0.00001585,0.00093191,1.95725606,1.72600078,2.2194957,0.01346945,0.00171522,0.10577431,0.03883215,0.01083631,0.13915581,"Convergence: 0  MSG: relative convergence (4)","",""
"13","Had_7_bk","SPICT","1","Y","Y","Y","N","Medium","0.2","0.8","0.000023791875","0.00038067","-8.50610025863085","0.535016540874067","124702380.952381","498809523.809524","19.5577312357855","0.229072682968539",0.594869029407059,0.252446667330891,0.937291391483227,0.000183544296241885,0.00000947811352837932,0.00035761047895539,0.00002703,0.00001279,0.00005712,0.29623721,0.16625163,0.52785338,0.00009125,0.00003536,0.00023548,0.00017903,0.00006835,0.00046889,1.96200857,1.7218218,2.23570036,0.00917372,0.00324565,0.02592924,0.03096749,0.01312282,0.0730777,"Convergence: 0  MSG: relative convergence (4)","",""
"14","Had_7_bk","SPICT","1","Y","Y","N","Y","Medium","0.2","0.8","0.000023791875","0.00038067","-8.50610025863085","0.535016540874067","124702380.952381","498809523.809524","19.5577312357855","0.229072682968539",0.856878162017708,0.329483315696003,1.38427300833941,0.000107864610995824,-0.000139516155688177,0.000355245377679824,0.00002266,0.00000253,0.00020326,0.42544373,0.22869614,0.79145353,0.00005327,0.00000542,0.00052376,0.00000198,0.00000089,0.00000442,0.03723813,0.00360662,0.38448196,0.77931479,0.38375525,1.58260127,1.83176935,1.37170105,2.44614448,"Convergence: 0  MSG: relative convergence (4)","",""
"15","Had_7_bk","SPICT","1","Y","Y","Y","Y","Medium","0.2","0.8","0.000023791875","0.00038067","-8.50610025863085","0.535016540874067","124702380.952381","498809523.809524","19.5577312357855","0.229072682968539",0.835621039992954,0.334025876585064,1.33721620340084,0.000193679883549483,-0.00000876980484574818,0.000396129571944715,0.00003959,0.00001211,0.00012939,0.41449119,0.22629054,0.75921402,0.00009552,0.00003361,0.00027143,0.000002,0.00000091,0.0000044,0.02097925,0.00569831,0.07723842,0.76803607,0.38425307,1.5351326,1.85296114,1.41906083,2.41953332,"Convergence: 0  MSG: relative convergence (4)","",""
"16","Had_7_bk","SPICT","1","N","Y","N","N","Medium","0.2","0.8","0.000023791875","0.00038067","-8.50610025863085","0.535016540874067","124702380.952381","498809523.809524","19.5577312357855","0.229072682968539",0.801370196294004,NA,NA,0.0000346572318922193,NA,NA,0.00001683,NA,NA,2.75702545,NA,NA,0.0000061,NA,NA,0.00003173,NA,NA,5.1981828,NA,NA,0.05335051,NA,NA,0.01935075,0.01640006,0.02283232,"Convergence: 1  MSG: false convergence (8)","",""
"17","Had_7_bk","SPICT","1","N","Y","Y","N","Medium","0.2","0.8","0.000023791875","0.00038067","-8.50610025863085","0.535016540874067","124702380.952381","498809523.809524","19.5577312357855","0.229072682968539",0.416062624219785,0.290910024555247,0.541215223884322,0.0000722242008178877,0.0000404638625669902,0.000103984539068785,0.00001865,0.0000171,0.00002034,1.56874159,1.05114119,2.34121753,0.00001189,0.00000715,0.00001977,0.00006723,0.00004144,0.00010906,5.6563037,4.76296829,6.7171918,0.0250557,0.01306714,0.04804325,0.01597184,0.01041503,0.02449344,"Convergence: 1  MSG: false convergence (8)","",""
"18","Had_7_bk","SPICT","1","N","Y","N","Y","Medium","0.2","0.8","0.000023791875","0.00038067","-8.50610025863085","0.535016540874067","124702380.952381","498809523.809524","19.5577312357855","0.229072682968539",0.522443124576361,0.0518791757794436,0.993007073373278,0.000875512845360024,-0.00426411545667349,0.00601514114739354,0.00013931,0.00000055,0.03546177,0.37627162,0.1928526,0.73413751,0.00037026,0.00000113,0.12147497,0.00000131,0.00000052,0.0000033,0.0035259,0.000008,1.55462608,1.1904061,0.50460843,2.80825009,3.16368827,1.32220426,7.56987689,"Convergence: 0  MSG: relative convergence (4)","",""
"19","Had_7_bk","SPICT","1","N","Y","Y","Y","Medium","0.2","0.8","0.000023791875","0.00038067","-8.50610025863085","0.535016540874067","124702380.952381","498809523.809524","19.5577312357855","0.229072682968539",0.611319252049234,0.153942413762436,1.06869609033603,0.000219656467250211,0.00000066766836463554,0.000438645266135786,0.00003943,0.00001341,0.00011591,0.41122322,0.2284551,0.74020906,0.00009589,0.00003616,0.00025425,0.00000142,0.00000057,0.00000355,0.01482487,0.00387036,0.05678464,1.09616681,0.47113396,2.55040345,2.6656248,1.41986723,5.00438029,"Convergence: 0  MSG: relative convergence (4)","",""
"110","Had_7_bk","SPICT","All","N","N","N","N","Medium","0.2","0.8","0.000023791875","0.00038067","-8.50610025863085","0.535016540874067","124702380.952381","498809523.809524","19.5577312357855","0.229072682968539",1.52831603332451,NA,NA,0.0000198856414520139,NA,NA,0.00001638,NA,NA,3.65607331,NA,NA,0.00000448,NA,NA,0.00001777,0.00001571,0.0000201,3.96607534,3.03778309,5.17803712,0.09160943,0.06159589,0.13624754,0.02505678,0.01584865,0.03961488,"Convergence: 1  MSG: false convergence (8)","",""
"111","Had_7_bk","SPICT","All","Y","N","N","N","Medium","0.2","0.8","0.000023791875","0.00038067","-8.50610025863085","0.535016540874067","124702380.952381","498809523.809524","19.5577312357855","0.229072682968539",26.7180627064622,12.2751227848434,41.161002628081,0.00000222091282680541,0.000000977579590952841,0.00000346424606265799,0.00001485,0.00001333,0.00001654,13.37677865,7.82264544,22.87438547,0.00000111,0.00000063,0.00000194,0.00000206,0.00000113,0.00000378,1.8585628,1.45222127,2.37860149,0.75262326,0.37364583,1.5159858,0.05626342,0.03598357,0.0879727,"Convergence: 0  MSG: relative convergence (4)","",""
"112","Had_7_bk","SPICT","All","Y","Y","N","N","Medium","0.2","0.8","0.000023791875","0.00038067","-8.50610025863085","0.535016540874067","124702380.952381","498809523.809524","19.5577312357855","0.229072682968539",0.715192696259822,0.0744290287367686,1.35595636378287,0.00014473553734147,-0.000132237391313428,0.000421708465996369,0.00002472,0.00000654,0.00009351,0.35133707,0.14168788,0.87119474,0.0000704,0.00001034,0.00047919,0.00014004,0.00002,0.00098048,1.98933884,1.57551785,2.51185284,0.0115878,0.00163443,0.0821554,0.03298199,0.00825965,0.13170201,"Convergence: 0  MSG: relative convergence (4)","",""
"113","Had_7_bk","SPICT","All","Y","Y","Y","N","Medium","0.2","0.8","0.000023791875","0.00038067","-8.50610025863085","0.535016540874067","124702380.952381","498809523.809524","19.5577312357855","0.229072682968539",0.652458111432624,0.242616704505809,1.06229951835944,0.0001882017623752,0.0000113414418384314,0.000365062082911969,0.00002932,0.00001246,0.00006899,0.32031344,0.16866217,0.60832076,0.00009157,0.00003572,0.00023474,0.00018251,0.0000688,0.00048417,1.99313656,1.57654477,2.51981004,0.00892223,0.00315588,0.02522474,0.02785469,0.01076181,0.07209604,"Convergence: 0  MSG: relative convergence (4)","",""
"114","Had_7_bk","SPICT","All","Y","Y","N","Y","Medium","0.2","0.8","0.000023791875","0.00038067","-8.50610025863085","0.535016540874067","124702380.952381","498809523.809524","19.5577312357855","0.229072682968539",8.67502280893545,5.91272963397823,11.4373159838927,0.00000651439450685861,0.00000465109498969665,0.00000837769402402056,0.00001433,0.00001224,0.00001677,4.42475996,3.27244609,5.98283368,0.00000324,0.00000245,0.00000427,0.00000614,0.00000437,0.00000863,1.89600038,1.55103622,2.31768762,0.25840069,0.1538401,0.43402805,0.0583988,0.03695188,0.09229356,"Convergence: 0  MSG: relative convergence (4)","",""
"115","Had_7_bk","SPICT","All","Y","Y","Y","Y","Medium","0.2","0.8","0.000023791875","0.00038067","-8.50610025863085","0.535016540874067","124702380.952381","498809523.809524","19.5577312357855","0.229072682968539",0.491930349918863,0.291290621222196,0.692570078615531,0.000185638504598488,-0.0000136909259541057,0.000384967935151082,0.00001685,0.00000561,0.00005059,0.21826819,0.14582217,0.32670618,0.00007896,0.00002671,0.00023338,0.00000853,0.00000531,0.00001371,0.10807878,0.03276155,0.35654671,0.19208568,0.10766023,0.34271621,0.88004429,0.46877027,1.6521482,"Convergence: 0  MSG: both X-convergence and relative convergence (5)","",""
"116","Had_7_bk","SPICT","All","N","Y","Y","N","Medium","0.2","0.8","0.000023791875","0.00038067","-8.50610025863085","0.535016540874067","124702380.952381","498809523.809524","19.5577312357855","0.229072682968539",0.473040994283895,0.372701578917442,0.573380409650349,0.0000787642585585288,NA,NA,0.00001871,NA,NA,0.98133882,NA,NA,0.00001906,NA,NA,0.00007206,NA,NA,3.78043065,NA,NA,0.02257459,NA,NA,0.02300387,NA,NA,"Convergence: 1  MSG: false convergence (8)","",""
"117","Had_7_bk","SPICT","All","N","Y","N","Y","Medium","0.2","0.8","0.000023791875","0.00038067","-8.50610025863085","0.535016540874067","124702380.952381","498809523.809524","19.5577312357855","0.229072682968539",0.52992484121898,0.0604488546973827,0.999400827740577,0.0000890474818711544,-0.0000370169706740419,0.000215111934416351,0.00000868,0.00000251,0.00003001,0.23438115,0.14906494,0.36852746,0.00003788,0.0000094,0.00015265,0.00000861,0.00000535,0.00001386,0.2273695,0.05173543,0.99925508,0.18928141,0.10546287,0.33971628,0.80757949,0.40643889,1.60463148,"Convergence: 0  MSG: relative convergence (4)","",""
"118","Had_7_bk","SPICT","All","N","Y","Y","Y","Medium","0.2","0.8","0.000023791875","0.00038067","-8.50610025863085","0.535016540874067","124702380.952381","498809523.809524","19.5577312357855","0.229072682968539",0.47642344026512,0.0731646253164167,0.879682255213824,0.000185483729817981,-0.0000130476870104211,0.000384015146646383,0.00001655,0.00000515,0.00005318,0.21730444,0.14337361,0.32935783,0.0000779,0.00002526,0.00024024,0.00000852,0.00000529,0.00001372,0.10931883,0.03224453,0.37062426,0.1923523,0.10766348,0.34365792,0.88517425,0.4638007,1.68937531,"Convergence: 0  MSG: relative convergence (4)","",""
