,Stock,Method,Index,FixN2,Use.r,Use.k,Use.q,Resilience,Prior.r.low,Prior.r.hi,Prior.k.low,Prior.k.hi,Prior.log.k,Prior.log.k.sd,Prior.q.low,Prior.q.hi,Prior.log.q,Prior.log.q.sd,r,r.low,r.high,k,k.low,k.high,msy,msy.low,msy.high,fmsy,fmsy.low,fmsy.high,bmsy,bmsy.low,bmsy.high,b.end,b.end.low,b.end.high,bbmsy,bbmsy.low,bbmsy.high,f.end,f.end.low,f.end.high,ffmsy,ffmsy.low,ffmsy.high,Converge,Prior.Warn,Fit.Warn
25,Ple_7_hk,CMSY,1,Y,Y,Y,Y,Medium,0.2,0.8,0.54625,8.74,1.535387631,0.535016541,5744.473008,22977.89203,9.572284187,0.229072683,0.436049286,0.269213644,0.706275423,4.008847097,2.111695884,7.610402221,0.437013729,0.203973573,0.936302662,0.218024643,0.134606822,0.353137712,2.004423548,1.055847942,3.80520111,0.306914709,0.052602632,0.781090828,0.15311869,0.026243272,0.389683522,0.172686412,0.067853825,1.007554156,2.586392195,1.016273369,15.09053415,,,
251,Ple_7_hk,BSM,1,Y,Y,Y,Y,Medium,0.2,0.8,0.54625,8.74,1.535387631,0.535016541,5744.473008,22977.89203,9.572284187,0.229072683,0.420015042,0.280163952,0.629676423,2.980319371,2.159698239,4.11275214,0.312944741,0.23790649,0.41165086,0.210007521,0.140081976,0.314838212,1.490159685,1.079849119,2.05637607,0.109129664,0.05834304,0.194826079,0.073233537,0.039152207,0.130741746,0.4856608,0.272037503,0.908420269,15.78912989,8.844105754,29.53329902,,,
1,Ple_7_hk,SPICT,1,N,N,N,N,Medium,0.2,0.8,0.54625,8.74,1.535387631,0.535016541,5744.473008,22977.89203,9.572284187,0.229072683,0.053861705,-0.099574328,0.207297738,2.097984111,-8.377845574,12.5738138,0.03337116,0.00002043,54.50026983,0.05199873,0.00060627,4.45986811,0.64251966,0.0036966,111.6786735,0.36622916,0.00146218,91.72863039,0.56998903,0.00001955,16615.67875,0.12017629,0.00046973,30.7463319,2.31113893,0.01882081,283.8008683,Convergence: 0  MSG: relative convergence (4),,
11,Ple_7_hk,SPICT,1,Y,N,N,N,Medium,0.2,0.8,0.54625,8.74,1.535387631,0.535016541,5744.473008,22977.89203,9.572284187,0.229072683,0.046359017,-0.410226392,0.502944427,2.28997299,-7.292613486,11.87255947,0.00660177,0,6.75555E+15,0.01457476,0,64458.36543,0.70985543,0.00004996,10086.79821,0.46634758,0.00437295,49.73300492,0.65696135,0.00000053,821907.01,0.09390717,0.00087921,10.03013939,6.44313844,0.00010476,396266.9629,Convergence: 0  MSG: relative convergence (4),,
12,Ple_7_hk,SPICT,1,Y,Y,N,N,Medium,0.2,0.8,0.54625,8.74,1.535387631,0.535016541,5744.473008,22977.89203,9.572284187,0.229072683,0.448405617,0.064398289,0.832412945,1.987714742,-0.444395056,4.41982454,0.19394499,0.0506008,0.74336096,0.21150759,0.08605485,0.51984824,0.92131861,0.26130769,3.24838503,0.0924493,0.03516762,0.24303246,0.10034455,0.02092325,0.48123631,0.47927034,0.18969493,1.21089191,2.2659723,1.42013322,3.61559773,Convergence: 0  MSG: both X-convergence and relative convergence (5),,
13,Ple_7_hk,SPICT,1,Y,Y,Y,N,Medium,0.2,0.8,0.54625,8.74,1.535387631,0.535016541,5744.473008,22977.89203,9.572284187,0.229072683,0.423426579,0.069532808,0.77732035,4.107139753,-0.300364929,8.514644435,0.38644983,0.09312414,1.60370317,0.20134159,0.08376004,0.48398297,1.92594827,0.64896271,5.71570093,0.09010104,0.0381837,0.21260901,0.04678269,0.01087854,0.20118704,0.4836179,0.21481529,1.08877852,2.4019772,1.64286703,3.51184505,Convergence: 0  MSG: both X-convergence and relative convergence (5),,
14,Ple_7_hk,SPICT,1,Y,Y,N,Y,Medium,0.2,0.8,0.54625,8.74,1.535387631,0.535016541,5744.473008,22977.89203,9.572284187,0.229072683,0.463018015,0.216239122,0.709796908,1.97870684,-0.478493826,4.435907505,0.20038462,0.06237428,0.64375887,0.21892103,0.12797374,0.37450197,0.91935335,0.25575503,3.30476612,0.08897368,0.05271767,0.15016436,0.09677855,0.02462415,0.38036183,0.49741334,0.3052408,0.81057324,2.27211311,1.45081673,3.55833918,Convergence: 0  MSG: relative convergence (4),,
15,Ple_7_hk,SPICT,1,Y,Y,Y,Y,Medium,0.2,0.8,0.54625,8.74,1.535387631,0.535016541,5744.473008,22977.89203,9.572284187,0.229072683,0.427353748,0.21591793,0.638789566,4.11147235,-0.288140816,8.511085515,0.39088243,0.12336665,1.23849576,0.20331714,0.12197085,0.33891589,1.9289841,0.65430448,5.68692368,0.08924981,0.05386197,0.14788783,0.04626778,0.01377279,0.15543026,0.48807536,0.30925367,0.77029826,2.40056177,1.64979141,3.49298509,Convergence: 0  MSG: relative convergence (4),,
16,Ple_7_hk,SPICT,1,N,Y,N,N,Medium,0.2,0.8,0.54625,8.74,1.535387631,0.535016541,5744.473008,22977.89203,9.572284187,0.229072683,0.591899276,0.526157814,0.657640739,2.429136336,NA,NA,NA,NA,NA,NA,NA,NA,1.4195285,NA,NA,0.29172281,0.09261681,0.91886343,0.20550684,0.06434067,0.65639752,0.15112759,0.03593511,0.63557744,NA,NA,NA,Convergence: 1  MSG: false convergence (8),,
17,Ple_7_hk,SPICT,1,N,Y,Y,N,Medium,0.2,0.8,0.54625,8.74,1.535387631,0.535016541,5744.473008,22977.89203,9.572284187,0.229072683,0.543203471,0.139668362,0.94673858,2.933030612,2.194705239,3.671355986,NA,NA,NA,NA,NA,NA,1.73022224,1.07618302,2.78174711,0.36924725,0.25268416,0.53958082,0.2134103,0.14821624,0.30728047,0.12010209,0.07992987,0.1804646,NA,NA,NA,Convergence: 1  MSG: false convergence (8),,
18,Ple_7_hk,SPICT,1,N,Y,N,Y,Medium,0.2,0.8,0.54625,8.74,1.535387631,0.535016541,5744.473008,22977.89203,9.572284187,0.229072683,0.477640947,0.039022826,0.916259069,1.96496588,-0.471438656,4.401370415,0.20113459,0.06284003,0.64377944,0.21852521,0.12710253,0.37570664,0.92458811,0.25964476,3.29243372,0.08977552,0.05103741,0.15791643,0.09709786,0.02511675,0.37536677,0.49210048,0.28374193,0.85346174,2.25191633,1.37560846,3.68646115,Convergence: 0  MSG: relative convergence (4),,
19,Ple_7_hk,SPICT,1,N,Y,Y,Y,Medium,0.2,0.8,0.54625,8.74,1.535387631,0.535016541,5744.473008,22977.89203,9.572284187,0.229072683,0.43755305,0.043936583,0.831169517,4.121690243,-0.314716491,8.558096976,0.39559019,0.11670343,1.34093405,0.20344446,0.12152984,0.34057188,1.95111722,0.62201199,6.12023318,0.08989517,0.05167144,0.15639474,0.04607369,0.01359511,0.15614327,0.48398188,0.28544509,0.82060779,2.37893865,1.4863539,3.80753811,Convergence: 0  MSG: relative convergence (4),,
