,Stock,Method,Index,FixN2,Use.r,Use.k,Use.q,Resilience,Prior.r.low,Prior.r.hi,Prior.k.low,Prior.k.hi,Prior.log.k,Prior.log.k.sd,Prior.q.low,Prior.q.hi,Prior.log.q,Prior.log.q.sd,r,r.low,r.high,k,k.low,k.high,msy,msy.low,msy.high,fmsy,fmsy.low,fmsy.high,bmsy,bmsy.low,bmsy.high,b.end,b.end.low,b.end.high,bbmsy,bbmsy.low,bbmsy.high,f.end,f.end.low,f.end.high,ffmsy,ffmsy.low,ffmsy.high,Converge,Prior.Warn,Fit.Warn
25,Sol_7_hk,CMSY,1,Y,Y,Y,Y,Medium,0.2,0.8,0.3075,4.92,0.960785972,0.535016541,9956.822107,39827.28843,10.12230397,0.229072683,0.434960525,0.298644911,0.633497009,2.047642912,1.105996867,3.791006664,0.222660959,0.107540596,0.461015693,0.217480262,0.149322455,0.316748505,1.023821456,0.552998433,1.895503332,0.418008732,0.033015256,0.803064689,0.40828284,0.032247084,0.784379624,0.272721576,0.141956186,3.452949147,1.535707575,0.799361726,19.44371342,,,
251,Sol_7_hk,BSM,1,Y,Y,Y,Y,Medium,0.2,0.8,0.3075,4.92,0.960785972,0.535016541,9956.822107,39827.28843,10.12230397,0.229072683,0.536036129,0.39925688,0.719673838,1.320100302,1.01456371,1.717649459,0.176905364,0.138045691,0.226703982,0.268018064,0.19962844,0.359836919,0.660050151,0.507281855,0.858824729,0.388214975,0.265490316,0.517433562,0.588159816,0.402227491,0.783930677,0.293651732,0.22031814,0.429394193,1.095641568,0.822027204,1.60210915,,,
1,Sol_7_hk,SPICT,1,N,N,N,N,Medium,0.2,0.8,0.3075,4.92,0.960785972,0.535016541,9956.822107,39827.28843,10.12230397,0.229072683,1.560017216,1.16103751,1.958996921,0.858333317,0.64392262,1.072744013,0.14063458,0.12774115,0.1548294,0.22803428,0.15698299,0.33124373,0.61672687,0.4675121,0.81356617,0.52786231,0.31982977,0.87120914,0.85590939,0.62674101,1.16887336,0.20900056,0.1197439,0.36478881,0.91653134,0.64740771,1.2975281,Convergence: 1  MSG: false convergence (8),,
11,Sol_7_hk,SPICT,1,Y,N,N,N,Medium,0.2,0.8,0.3075,4.92,0.960785972,0.535016541,9956.822107,39827.28843,10.12230397,0.229072683,0.446022253,-0.016017577,0.908062083,1.118602119,0.111507049,2.125697189,0.1243673,0.06171554,0.25062125,0.22272725,0.07895937,0.62826526,0.55838502,0.2270722,1.37310438,0.40138943,0.07962982,2.02328058,0.7188399,0.18101773,2.85458676,0.26978604,0.05221707,1.39388357,1.21128442,0.56830986,2.58170772,Convergence: 0  MSG: relative convergence (4),,
12,Sol_7_hk,SPICT,1,Y,Y,N,N,Medium,0.2,0.8,0.3075,4.92,0.960785972,0.535016541,9956.822107,39827.28843,10.12230397,0.229072683,0.477117519,0.142673914,0.811561124,1.072907597,0.296310288,1.849504906,0.12761697,0.06612755,0.24628301,0.23826956,0.11814073,0.48054877,0.53560018,0.25975512,1.10437687,0.36380015,0.11755803,1.1258317,0.6792383,0.20786839,2.21950376,0.29810833,0.09459857,0.9394283,1.25113895,0.68400077,2.28851887,Convergence: 0  MSG: relative convergence (4),,
13,Sol_7_hk,SPICT,1,Y,Y,Y,N,Medium,0.2,0.8,0.3075,4.92,0.960785972,0.535016541,9956.822107,39827.28843,10.12230397,0.229072683,0.428108645,0.2612912,0.594926089,1.826844721,1.067179143,2.586510299,0.18935106,NA,NA,0.21106911,0.13945585,0.31945714,0.89733128,0.61023961,1.31948733,1.69007909,1.01858673,2.80424556,1.88345054,1.57914827,2.24639193,0.06564181,0.04451434,0.09679683,0.31099678,0.23412046,0.41311638,Convergence: 1  MSG: false convergence (8),,
14,Sol_7_hk,SPICT,1,Y,Y,N,Y,Medium,0.2,0.8,0.3075,4.92,0.960785972,0.535016541,9956.822107,39827.28843,10.12230397,0.229072683,0.637758154,0.393113592,0.882402717,0.974916405,0.111869283,1.837963528,0.15500728,0.07767219,0.30934182,0.31851966,0.21697566,0.46758598,0.48664991,0.20086903,1.17901766,0.23477746,0.15026592,0.36681939,0.48243605,0.19019448,1.22371866,0.46168291,0.28632974,0.74442531,1.44946438,1.03504568,2.02981089,Convergence: 0  MSG: relative convergence (4),,
15,Sol_7_hk,SPICT,1,Y,Y,Y,Y,Medium,0.2,0.8,0.3075,4.92,0.960785972,0.535016541,9956.822107,39827.28843,10.12230397,0.229072683,0.564784778,0.364975768,0.764593788,2.187815939,-0.221481865,4.597113743,0.30787019,0.10562666,0.89734973,0.28199532,0.19791611,0.40179327,1.09175939,0.3630585,3.28304828,0.23441098,0.14974354,0.36695077,0.21470938,0.06440795,0.71575194,0.46011456,0.29100861,0.72748849,1.631639,1.26206445,2.10943731,Convergence: 0  MSG: both X-convergence and relative convergence (5),,
16,Sol_7_hk,SPICT,1,N,Y,N,N,Medium,0.2,0.8,0.3075,4.92,0.960785972,0.535016541,9956.822107,39827.28843,10.12230397,0.229072683,0.918942684,NA,NA,1.121171388,NA,NA,0.12032602,NA,NA,0.1541122,NA,NA,0.7807725,NA,NA,0.85847461,0.71528476,1.03032904,1.09951953,0.99004371,1.22110084,0.12924199,0.09549067,0.17492276,0.83862269,NA,NA,Convergence: 1  MSG: function evaluation limit reached without convergence (9),,
17,Sol_7_hk,SPICT,1,N,Y,Y,N,Medium,0.2,0.8,0.3075,4.92,0.960785972,0.535016541,9956.822107,39827.28843,10.12230397,0.229072683,0.410877088,0.075037697,0.746716479,2.104026795,-0.187025758,4.395079347,0.23630966,0.06059669,0.92153973,0.2392084,0.08141606,0.70281783,0.98788378,0.32601605,2.99345497,0.26619691,0.03170501,2.2350033,0.26946177,0.02808271,2.58556444,0.40542041,0.04824859,3.40664281,1.69484185,0.53721922,5.34695849,Convergence: 0  MSG: relative convergence (4),,
