,Stock,Method,Index,FixN2,Use.r,Use.k,Use.q,Resilience,Prior.r.low,Prior.r.hi,Prior.k.low,Prior.k.hi,Prior.log.k,Prior.log.k.sd,Prior.q.low,Prior.q.hi,Prior.log.q,Prior.log.q.sd,r,r.low,r.high,k,k.low,k.high,msy,msy.low,msy.high,fmsy,fmsy.low,fmsy.high,bmsy,bmsy.low,bmsy.high,b.end,b.end.low,b.end.high,bbmsy,bbmsy.low,bbmsy.high,f.end,f.end.low,f.end.high,ffmsy,ffmsy.low,ffmsy.high,Converge,Prior.Warn,Fit.Warn
36,Whg_7_a,CMSY,1,Y,Y,Y,Y,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,0.404541885,0.313094568,0.522698742,169.111591,98.12652512,291.4474978,17.10318045,9.115755777,32.08936141,0.202270943,0.156547284,0.261349371,84.5557955,49.06326256,145.7237489,11.75210267,2.175825904,30.55006826,0.138986365,0.025732428,0.361300702,0.1318062,0.050703651,0.711913576,2.344229622,0.90178611,12.6616873,,,
361,Whg_7_a,BSM,1,Y,Y,Y,Y,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,0.417458227,0.220395923,0.790719576,119.0569707,72.50096917,195.5085902,12.42532797,5.878796463,26.26196979,0.208729113,0.110197962,0.395359788,59.52848535,36.25048458,97.75429511,1.806352099,1.312380841,4.194659492,0.030344332,0.022046266,0.070464744,0.857529382,0.36927908,1.180297633,67.69528326,29.15171477,93.17532929,,,
1,Whg_7_a,SPICT,1,N,N,N,N,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,6.433239992,1.002926806,11.86355318,4.250844883,0.548203328,7.953486438,16.11375189,NA,NA,20.56947438,8.14169677,51.96745692,0.7833818,0.31058508,1.97590638,3.92616971,1.63245465,9.44271784,5.01182148,4.52786415,5.54750623,0.43157822,0.15792354,1.17942998,0.02098149,0.01291775,0.03407893,Convergence: 1  MSG: false convergence (8),,
11,Whg_7_a,SPICT,1,Y,N,N,N,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,28.12815141,NA,NA,2.08613952,NA,NA,14.67755285,13.59698072,15.84399963,14.07206084,NA,NA,1.04302793,NA,NA,1.96761522,NA,NA,1.88644539,1.45642882,2.4434261,0.80343021,NA,NA,0.057094,0.0366902,0.08884457,Convergence: 0  MSG: relative convergence (4),,
12,Whg_7_a,SPICT,1,Y,Y,N,N,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,0.696249934,0.005087251,1.387412616,124.8810848,-127.3430014,377.1051711,21.53737259,6.4377111,72.05331382,0.34686331,0.12819763,0.93850528,62.09307992,8.24328705,467.7200428,121.5320572,15.84921797,931.9097604,1.95725606,1.72600078,2.2194957,0.01346945,0.00171522,0.10577431,0.03883215,0.01083631,0.13915581,Convergence: 0  MSG: relative convergence (4),,
13,Whg_7_a,SPICT,1,Y,Y,Y,N,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,0.594869029,0.252446667,0.937291392,183.5442962,9.4781135,357.610479,27.02985752,12.79133004,57.1178443,0.29623721,0.16625163,0.52785338,91.24609089,35.35756976,235.4757174,179.0256122,68.35344483,468.8888748,1.96200857,1.7218218,2.23570036,0.00917372,0.00324565,0.02592924,0.03096749,0.01312282,0.0730777,Convergence: 0  MSG: relative convergence (4),,
14,Whg_7_a,SPICT,1,Y,Y,N,Y,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,0.856878162,0.329483316,1.384273008,107.864611,-139.5161554,355.2453774,22.66233295,2.5267736,203.2557786,0.42544373,0.22869614,0.79145353,53.27217059,5.41837087,523.7596741,1.98375619,0.89052023,4.41908955,0.03723813,0.00360662,0.38448196,0.77931479,0.38375525,1.58260127,1.83176935,1.37170105,2.44614448,Convergence: 0  MSG: relative convergence (4),,
15,Whg_7_a,SPICT,1,Y,Y,Y,Y,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,0.83562104,0.334025877,1.337216203,193.6798835,-8.769804816,396.1295719,39.58676777,12.1113354,129.3921877,0.41449119,0.22629054,0.75921402,95.51749217,33.61332752,271.4277932,2.00388515,0.9118877,4.40356383,0.02097925,0.00569831,0.07723842,0.76803607,0.38425307,1.5351326,1.85296114,1.41906083,2.41953332,Convergence: 0  MSG: relative convergence (4),,
16,Whg_7_a,SPICT,1,N,Y,N,N,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,0.801370378,NA,NA,34.65723354,NA,NA,16.83200596,NA,NA,2.75702597,NA,NA,6.10383156,NA,NA,31.72883193,NA,NA,5.19818275,NA,NA,0.05335051,NA,NA,0.01935075,0.0163725,0.02287076,Convergence: 1  MSG: false convergence (8),,
17,Whg_7_a,SPICT,1,N,Y,Y,N,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,0.416062635,0.293078456,0.539046815,72.22417464,40.68564493,103.7627043,18.64793468,17.13182367,20.29821662,1.56874173,1.04177788,2.36226039,11.88579326,7.09986516,19.89785416,67.22966124,41.5309529,108.830331,5.65630411,4.74246863,6.74622831,0.0250557,0.01309222,0.04795124,0.01597185,0.0104162,0.02449069,Convergence: 1  MSG: function evaluation limit reached without convergence (9),,
18,Whg_7_a,SPICT,1,N,Y,N,Y,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,0.522443125,0.051879176,0.993007073,875.5128454,-4264.115456,6015.141147,139.3095758,0.54726984,35461.77137,0.37627162,0.1928526,0.73413751,370.2566018,1.1285448,121474.9749,1.30548915,0.51578106,3.30431278,0.0035259,0.000008,1.55462608,1.1904061,0.50460843,2.80825009,3.16368827,1.32220426,7.56987689,Convergence: 0  MSG: relative convergence (4),,
19,Whg_7_a,SPICT,1,N,Y,Y,Y,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,0.611319252,0.153942414,1.06869609,219.6564672,0.667668388,438.6452661,39.42897196,13.41263694,115.9088878,0.41122322,0.2284551,0.74020906,95.88682747,36.16213536,254.2516804,1.42151015,0.56862633,3.55363619,0.01482487,0.00387036,0.05678464,1.09616681,0.47113396,2.55040345,2.6656248,1.41986723,5.00438029,Convergence: 0  MSG: relative convergence (4),,
110,Whg_7_a,SPICT,All,N,N,N,N,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,1.528316034,NA,NA,19.88564145,NA,NA,16.3840201,NA,NA,3.65607331,NA,NA,4.48010764,NA,NA,17.76844439,15.70574216,20.10205012,3.96607534,3.03778237,5.17803833,0.09160943,0.06159586,0.1362476,0.02505678,0.01584865,0.03961489,Convergence: 1  MSG: false convergence (8),,
111,Whg_7_a,SPICT,All,Y,N,N,N,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,26.71805843,12.27504802,41.16106885,2.22091247,0.977573626,3.464251314,14.85276391,13.33398745,16.54453303,13.37677647,7.82262283,22.87444412,1.11033939,0.63459194,1.9427501,2.06363638,1.12693865,3.7789059,1.85856361,1.45222268,2.37860125,0.75262327,0.3736451,1.51598881,0.05626343,0.03598358,0.0879727,Convergence: 0  MSG: relative convergence (4),,
112,Whg_7_a,SPICT,All,Y,Y,N,N,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,0.715192725,0.074429029,1.35595642,144.7355193,-132.2373591,421.7083976,24.72030048,6.53509115,93.50952302,0.35133709,0.14168789,0.87119478,70.39576871,10.34164303,479.1853905,140.0410363,20.00201214,980.4759495,1.98933883,1.57551787,2.51185282,0.0115878,0.00163443,0.0821554,0.032982,0.00825965,0.13170201,Convergence: 0  MSG: relative convergence (4),,
113,Whg_7_a,SPICT,All,Y,Y,Y,N,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,0.652458111,0.242616705,1.062299518,188.2017626,11.34144183,365.0620834,29.31555905,12.4561443,68.99422341,0.32031344,0.16866217,0.60832076,91.56825124,35.71886146,234.7427743,182.5080294,68.79694064,484.1665991,1.99313656,1.57654477,2.51981004,0.00892223,0.00315588,0.02522474,0.02785469,0.01076181,0.07209604,Convergence: 0  MSG: relative convergence (4),,
114,Whg_7_a,SPICT,All,Y,Y,N,Y,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,8.675022809,5.912729634,11.43731598,6.514394507,4.65109499,8.377694024,14.32715422,12.24167717,16.76791057,4.42475996,3.27244609,5.98283368,3.23756405,2.45286083,4.27330438,6.13842267,4.36609882,8.63018326,1.89600038,1.55103622,2.31768762,0.25840069,0.1538401,0.43402805,0.0583988,0.03695188,0.09229356,Convergence: 0  MSG: relative convergence (4),,
115,Whg_7_a,SPICT,All,Y,Y,Y,Y,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,0.491930365,0.291290632,0.692570099,185.6385468,-13.69091376,384.9680073,16.85007229,5.61176861,50.59455507,0.2182682,0.14582217,0.32670619,78.95787081,26.71276989,233.3844595,8.5336677,5.31147379,13.71059846,0.10807875,0.03276154,0.35654658,0.1920857,0.10766025,0.34271624,0.8800444,0.46877036,1.65214827,Convergence: 0  MSG: relative convergence (4),,
116,Whg_7_a,SPICT,All,N,Y,Y,N,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,0.473040831,0.375221525,0.570860136,78.7642504,42.99175529,114.5367455,18.70590481,15.26772206,22.91834194,0.9813378,0.70976429,1.35682211,19.06156076,11.43565108,31.77283882,72.06088006,43.40174358,119.6442817,3.78042916,2.79155482,5.1196002,0.0225746,0.01055956,0.04826076,0.0230039,0.01294502,0.040879,Convergence: 1  MSG: false convergence (8),,
117,Whg_7_a,SPICT,All,N,Y,N,Y,Medium,0.2,0.8,23.791875,380.67,5.309410299,0.535016541,124.702381,498.8095238,5.742220678,0.229072683,0.52992484,0.060448855,0.999400826,89.04748193,-37.01697081,215.1119347,8.68081014,2.51127501,30.00725302,0.23438115,0.14906494,0.36852746,37.88126943,9.40061065,152.6486553,8.61304541,5.3516357,13.86203311,0.2273695,0.05173543,0.99925508,0.18928141,0.10546287,0.33971628,0.80757949,0.40643889,1.60463148,Convergence: 0  MSG: relative convergence (4),,
