,Stock,Method,Index,FixN2,Use.r,Use.k,Use.q,Resilience,Prior.r.low,Prior.r.hi,Prior.k.low,Prior.k.hi,Prior.log.k,Prior.log.k.sd,Prior.q.low,Prior.q.hi,Prior.log.q,Prior.log.q.sd,r,r.low,r.high,k,k.low,k.high,msy,msy.low,msy.high,fmsy,fmsy.low,fmsy.high,bmsy,bmsy.low,bmsy.high,b.end,b.end.low,b.end.high,bbmsy,bbmsy.low,bbmsy.high,f.end,f.end.low,f.end.high,ffmsy,ffmsy.low,ffmsy.high,Converge,Prior.Warn,Fit.Warn
40,Cod_6_a,CMSY,1,Y,Y,Y,Y,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,0.36880029,0.206284293,0.659350513,201.5622265,133.7900784,303.6647533,18.58405192,12.13506894,28.46024092,0.184400145,0.103142146,0.329675256,100.7811133,66.89503921,151.8323767,14.2298399,2.382308706,38.50392846,0.141195502,0.023638444,0.382055002,0.166068657,0.061373748,0.9919497,3.189154485,1.178611107,19.04923473,,,
401,Cod_6_a,BSM,1,Y,Y,Y,Y,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,0.521500882,0.339723809,0.800541978,133.4374491,91.0371457,195.5855786,17.39693686,14.56536778,20.77897494,0.260750441,0.169861905,0.400270989,66.71872453,45.51857285,97.79278929,2.868706506,1.509510659,7.039014507,0.042997023,0.022624993,0.105502834,0.82376165,0.335718928,1.565494349,36.7373765,14.9720889,69.81650005,,,
1,Cod_6_a,SPICT,1,N,N,N,N,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,26.39090702,24.44081606,28.34099798,2.62764863,2.417675941,2.837621319,22.80732341,21.31669896,24.40218358,21.16324413,20.65193278,21.6872148,1.07768813,1.00161501,1.15953904,1.77171757,0.81091972,3.87089263,1.64399841,0.7562145,3.57402663,0.82459856,0.55571746,1.22357644,0.03896371,0.02630589,0.05771221,Convergence: 1  MSG: false convergence (8),,
11,Cod_6_a,SPICT,1,Y,N,N,N,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,2.05663585,NA,NA,43.51742509,NA,NA,21.25584659,NA,NA,1.03008562,NA,NA,20.63337502,NA,NA,40.80176161,32.61710737,51.04020205,1.97746426,1.57607481,2.48107822,0.04925489,0.03344171,0.07254545,0.0478163,0.03243282,0.07049646,Convergence: 1  MSG: false convergence (8),,
12,Cod_6_a,SPICT,1,Y,Y,N,N,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,0.365897389,0.093874985,0.637919793,141.7213189,69.76232139,213.6803164,12.75499931,7.60962662,21.37949935,0.18162304,0.08603414,0.38341672,70.2324546,42.54894818,115.9276055,3.86988959,1.64241647,9.11829961,0.05510116,0.02579127,0.11771957,0.5260074,0.21231318,1.30318705,2.89614907,1.32616352,6.32477017,Convergence: 0  MSG: relative convergence (4),,
13,Cod_6_a,SPICT,1,Y,Y,Y,N,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,0.569792278,0.133479436,1.00610512,220.7409486,-3.417751147,444.8996484,30.4829205,10.36332731,89.66313752,0.28126518,0.13022902,0.60746905,108.403264,39.42174538,298.0910034,207.1877079,72.49768516,592.1119581,1.91126817,1.48394939,2.46163788,0.0097821,0.00328488,0.0291303,0.03477891,0.01081174,0.11187587,Convergence: 0  MSG: relative convergence (4),,
14,Cod_6_a,SPICT,1,Y,Y,N,Y,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,0.443261635,0.24116814,0.64535513,128.086295,76.84175495,179.3308352,13.99292491,9.7575849,20.06664043,0.22025704,0.13956761,0.34759614,63.53315992,42.72994992,94.46447791,3.31563515,1.77645134,6.18842532,0.05218747,0.02685522,0.10141537,0.60931264,0.30443979,1.21949203,2.76637084,1.32286571,5.78502227,Convergence: 0  MSG: relative convergence (4),,
15,Cod_6_a,SPICT,1,Y,Y,Y,Y,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,0.418238318,0.235315881,0.601160755,143.8560611,60.23191471,227.4802075,14.77234696,8.57574849,25.44643597,0.20746659,0.13387609,0.32150912,71.20922468,40.2442849,125.9993485,3.41618479,1.82239191,6.40384676,0.04797391,0.0221241,0.10402664,0.58957765,0.29400374,1.18230403,2.84179568,1.36002467,5.93798248,Convergence: 0  MSG: relative convergence (4),,
16,Cod_6_a,SPICT,1,N,Y,N,N,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,0.488501301,0.0600921,0.916910502,157.2123389,63.25028349,251.1743944,11.65508163,6.4763193,20.97502013,0.11775844,0.02755985,0.50316132,98.98445592,37.99138205,257.8985545,7.52892109,1.12728482,50.28423331,0.07606165,0.02357758,0.24537612,0.27257061,0.03950476,1.88065294,2.31465875,0.84013957,6.37708938,Convergence: 0  MSG: relative convergence (4),,
17,Cod_6_a,SPICT,1,N,Y,Y,N,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,0.482636018,-0.192833998,1.158106034,187.3052627,-467.326101,841.9366264,9.77289123,0.14418343,662.4159585,0.0740528,0.00000234,2347.680298,131.9879319,0.27968533,62287.1933,12.49073746,0.00021286,732959.462,0.09463545,0.0007035,12.73039003,0.16421867,0.00000277,9729.317476,2.21758889,0.58792204,8.36454526,Convergence: 0  MSG: relative convergence (4),,
