,Stock,Method,Index,FixN2,Use.r,Use.k,Use.q,Resilience,Prior.r.low,Prior.r.hi,Prior.k.low,Prior.k.hi,Prior.log.k,Prior.log.k.sd,Prior.q.low,Prior.q.hi,Prior.log.q,Prior.log.q.sd,r,r.low,r.high,k,k.low,k.high,msy,msy.low,msy.high,fmsy,fmsy.low,fmsy.high,bmsy,bmsy.low,bmsy.high,b.end,b.end.low,b.end.high,bbmsy,bbmsy.low,bbmsy.high,f.end,f.end.low,f.end.high,ffmsy,ffmsy.low,ffmsy.high,Converge,Prior.Warn,Fit.Warn
27,Had_6_b,CMSY,1,Y,Y,Y,Y,Medium,0.2,0.8,23.5840205,377.344328,5.300635549,0.535016541,2918.172276,11672.6891,8.895003498,0.229072683,0.465333931,0.312547132,0.692809645,149.0344654,81.3994331,272.8676482,17.33769841,8.924649336,33.68152347,0.232666965,0.156273566,0.346404823,74.51723269,40.69971655,136.4338241,15.78020635,1.963942657,43.00232882,0.211765866,0.02635555,0.577078982,0.317237011,0.116413823,2.548987611,3.219312745,1.181364377,25.86705841,,,
271,Had_6_b,BSM,1,Y,Y,Y,Y,Medium,0.2,0.8,23.5840205,377.344328,5.300635549,0.535016541,2918.172276,11672.6891,8.895003498,0.229072683,0.437795938,0.252322331,0.759604917,124.2822985,75.31147531,205.0960979,13.60257136,8.677731675,21.32238637,0.218897969,0.126161166,0.379802458,62.14114923,37.65573765,102.5480489,2.904173368,1.363584826,35.25220465,0.046735109,0.021943347,0.567292448,1.723748849,0.142007161,3.671253453,84.24788436,6.94057193,179.431787,,,
1,Had_6_b,SPICT,1,Y,Y,N,N,Medium,0.2,0.8,23.5840205,377.344328,5.300635549,0.535016541,2918.172276,11672.6891,8.895003498,0.229072683,0.419577937,0.367567333,0.471588541,90.72056367,73.6931456,107.7479817,8.23569716,NA,NA,0.19738066,0.17304732,0.22513569,41.94071325,35.06096539,50.17042196,68.38943648,0,1505253833063194135622066682244206008244604646084204882400024066060286820884862242400846604808864208248422426868806282202862866088648884228826242824442004024840006464684000608820028860242024462668688264844000664420208062484026402446488242000604646282088024200200462280280082808864804664406448662086262862422,1.63062168,0,1505253833063194135622066682244206008244604646084204882400024066060286820884862242400846604808864208248422426868806282202862866088648884228826242824442004024840006464684000608820028860242024462668688264844000664420208062484026402446488242000604646282088024200200462280280082808864804664406448662086262862422,0.05623625,0,1505253833063194135622066682244206008244604646084204882400024066060286820884862242400846604808864208248422426868806282202862866088648884228826242824442004024840006464684000608820028860242024462668688264844000664420208062484026402446488242000604646282088024200200462280280082808864804664406448662086262862422,0.28491268,0,1505253833063194135622066682244206008244604646084204882400024066060286820884862242400846604808864208248422426868806282202862866088648884228826242824442004024840006464684000608820028860242024462668688264844000664420208062484026402446488242000604646282088024200200462280280082808864804664406448662086262862422,Convergence: 1  MSG: false convergence (8),,
11,Had_6_b,SPICT,1,Y,Y,Y,N,Medium,0.2,0.8,23.5840205,377.344328,5.300635549,0.535016541,2918.172276,11672.6891,8.895003498,0.229072683,0.359843958,0.120368312,0.599319604,149.3457567,-30.05662221,328.7481357,9.5911679,NA,NA,0.15663788,0.06539768,0.37517275,62.9661308,23.94920841,165.5475855,100.8054111,0.13236134,76772.64837,1.60094657,0.00214483,1194.982523,0.03825167,0.00004621,31.6618817,0.24420447,0.00030235,197.2398117,Convergence: 1  MSG: false convergence (8),,
12,Had_6_b,SPICT,1,Y,Y,N,Y,Medium,0.2,0.8,23.5840205,377.344328,5.300635549,0.535016541,2918.172276,11672.6891,8.895003498,0.229072683,1.088355458,0.229798828,1.946912089,46.58987386,12.56868336,80.61106436,11.83315505,7.24004051,19.34016229,0.53284426,0.23868024,1.18955391,22.23018294,10.43091913,47.37655692,5.12740741,1.46973546,17.88778152,0.23065071,0.082511,0.64475944,0.74453026,0.22925541,2.41793772,1.39727555,0.63262901,3.08613569,Convergence: 0  MSG: relative convergence (4),,
13,Had_6_b,SPICT,1,Y,Y,Y,Y,Medium,0.2,0.8,23.5840205,377.344328,5.300635549,0.535016541,2918.172276,11672.6891,8.895003498,0.229072683,0.854842211,0.187965656,1.521718767,172.3782614,-19.30355701,364.0600798,28.46788045,6.5067382,124.5509181,0.39205992,0.16610325,0.92539415,73.7344445,23.30434414,233.2941993,4.95537097,1.77732107,13.81613138,0.06720565,0.01373715,0.32878717,0.75968841,0.3086105,1.87008051,1.93768447,1.24542204,3.01473799,Convergence: 0  MSG: both X-convergence and relative convergence (5),,
14,Had_6_b,SPICT,1,N,Y,N,N,Medium,0.2,0.8,23.5840205,377.344328,5.300635549,0.535016541,2918.172276,11672.6891,8.895003498,0.229072683,0.40846783,NA,NA,122.6941458,NA,NA,7.9833184,NA,NA,0.12265898,NA,NA,65.68695516,NA,NA,96.23973854,0.00217885,4250899.591,1.46512711,0.00003317,64715.24515,0.03985951,0.00000073,2191.091708,0.32496204,0.00000591,17860.75948,Convergence: 1  MSG: false convergence (8),,
15,Had_6_b,SPICT,1,N,Y,Y,N,Medium,0.2,0.8,23.5840205,377.344328,5.300635549,0.535016541,2918.172276,11672.6891,8.895003498,0.229072683,0.553646116,NA,NA,176.5249894,169.0853227,183.9646561,8.07086833,NA,NA,0.0896616,0.08367719,0.09607401,97.31681036,90.93670659,104.1445411,151.4712627,0,5.05311E+18,1.55647582,0,5.18776E+16,0.02534923,0,2.96718E+15,0.28272114,0,3.30699E+16,Convergence: 1  MSG: false convergence (8),,
16,Had_6_b,SPICT,1,N,Y,N,Y,Medium,0.2,0.8,23.5840205,377.344328,5.300635549,0.535016541,2918.172276,11672.6891,8.895003498,0.229072683,0.640105485,0.026540499,1.25367047,82.2487614,-120.6734361,285.170959,20.9114223,3.43722933,127.2209507,0.84610278,0.34522425,2.07369531,24.70817918,2.23432762,273.2339311,0.74793588,0.16996831,3.29124931,0.03027078,0.00149055,0.61475397,5.19878698,1.33273219,20.27968277,6.14439179,1.58750716,23.78165676,Convergence: 0  MSG: relative convergence (4),,
17,Had_6_b,SPICT,1,N,Y,Y,Y,Medium,0.2,0.8,23.5840205,377.344328,5.300635549,0.535016541,2918.172276,11672.6891,8.895003498,0.229072683,0.551381084,0.117120944,0.985641224,187.8280801,-6.079749568,381.7359097,39.66393559,13.18065871,119.3588137,0.71401221,0.36995337,1.37804781,55.50070462,19.01174495,162.0223825,0.66440642,0.15049856,2.93315697,0.01197113,0.00190969,0.07504251,5.83476127,1.49690317,22.74324733,8.17179484,2.78619988,23.9674947,Convergence: 0  MSG: relative convergence (4),,
