"","Stock","Method","Index","FixN2","Use.r","Use.k","Use.q","Resilience","Prior.r.low","Prior.r.hi","Prior.k.low","Prior.k.hi","Prior.log.k","Prior.log.k.sd","Prior.q.low","Prior.q.hi","Prior.log.q","Prior.log.q.sd","r","r.low","r.high","k","k.low","k.high","msy","msy.low","msy.high","fmsy","fmsy.low","fmsy.high","bmsy","bmsy.low","bmsy.high","b.end","b.end.low","b.end.hi","bbmsy","bbmsy.low","bbmsy.hi","f.end","f.end.low","f.end.hi","ffmsy","ffmsy.low","ffmsy.hi","Converge","Prior.Warn","Fit.Warn"
"37","Ple_7_a","CMSY","1","Y","Y","Y","Y","Medium","0.2","0.8","7.54983416666667","120.797346666667","4.16159176183606","0.535016540874068","2.93107249059184","11.7242899623674","1.99165912567231","0.229072682968539",0.343008517418707,0.208461689089631,0.564395518119359,54.4041037849716,37.3255773408483,79.2970054185019,4.66526774519414,3.11694733382041,6.98270480806361,0.171504258709353,0.104230844544816,0.28219775905968,27.2020518924858,18.6627886704242,39.648502709251,6.5148118804793,0.842169594026342,15.5241568524097,0.239497075670197,0.0309597819074443,0.57069800887697,0.220753572994067,0.0926406511910995,1.70769404428892,2.68721628208868,1.12770752875067,20.7876283876157,"","",""
"371","Ple_7_a","BSM","1","Y","Y","Y","Y","Medium","0.2","0.8","7.54983416666667","120.797346666667","4.16159176183606","0.535016540874068","2.93107249059184","11.7242899623674","1.99165912567231","0.229072682968539",0.590214357307746,0.252351902505738,1.3804254460268,37.0205039765743,7.18816422495782,190.663105598091,5.46250824043566,2.04938351612726,14.5599864749642,0.295107178653873,0.126175951252869,0.6902127230134,18.5102519882871,3.59408211247891,95.3315527990454,11.176647543776,0.54957918889505,13.6309097534557,0.603808503031093,0.0296905298341055,0.736397849261102,0.128676152161646,0.105507851347589,2.61685309243876,0.436031928293307,0.357523838724836,8.86746674335575,"","",""
"1","Ple_7_a","SPICT","1","N","N","N","N","Medium","0.2","0.8","7.54983416666667","120.797346666667","4.16159176183606","0.535016540874068","2.93107249059184","11.7242899623674","1.99165912567231","0.229072682968539",1.30607676659078,1.16390058027463,1.44825295290693,23.5154843334347,23.4206725824007,23.6102960844688,3.89545596,3.65121973,4.15602956,0.24750015,0.22425238,0.27315797,15.7415031,15.08009878,16.43191622,22.15506792,20.27009708,24.21532726,1.40743027,1.27787283,1.55012291,0.05612051,0.0432968,0.07274235,0.22674938,0.17294682,0.29728955,"Convergence: 1  MSG: false convergence (8)","",""
"11","Ple_7_a","SPICT","1","Y","N","N","N","Medium","0.2","0.8","7.54983416666667","120.797346666667","4.16159176183606","0.535016540874068","2.93107249059184","11.7242899623674","1.99165912567231","0.229072682968539",0.59736984632432,0.214027560006346,0.980712132642293,27.2009166500915,10.8918089051307,43.5100243950523,4.02894401,3.36692506,4.8211319,0.29767508,0.15699542,0.56441427,13.53492587,7.41241142,24.7145238,24.18921683,13.01879347,44.94411959,1.78717025,1.55161041,2.05849192,0.05124506,0.02657946,0.09880017,0.17215097,0.1212496,0.24442109,"Convergence: 0  MSG: relative convergence (4)","",""
"12","Ple_7_a","SPICT","1","Y","Y","N","N","Medium","0.2","0.8","7.54983416666667","120.797346666667","4.16159176183606","0.535016540874068","2.93107249059184","11.7242899623674","1.99165912567231","0.229072682968539",0.562571578878446,0.26737428286878,0.857768874888112,28.7297340183622,13.7600816828343,43.6993863538901,4.00889825,3.34760497,4.80082485,0.28036178,0.16588751,0.47383149,14.29923466,8.49649659,24.06499077,25.53318607,14.96442995,43.56621625,1.78563306,1.55292234,2.05321627,0.04858807,0.02699872,0.0874412,0.17330491,0.12194914,0.24628784,"Convergence: 0  MSG: relative convergence (4)","",""
"13","Ple_7_a","SPICT","1","Y","Y","Y","N","Medium","0.2","0.8","7.54983416666667","120.797346666667","4.16159176183606","0.535016540874068","2.93107249059184","11.7242899623674","1.99165912567231","0.229072682968539",0.466161320592559,0.204238323133697,0.728084318051421,35.7697563174465,12.2161119456269,59.3234006892661,4.12836725,3.187746,5.34654145,0.23210367,0.13209553,0.40782691,17.78714989,9.2352382,34.25820689,31.69813344,16.13310946,62.28009956,1.78208053,1.53479703,2.06920586,0.03901985,0.01892408,0.0804556,0.16811388,0.11104292,0.25451669,"Convergence: 0  MSG: relative convergence (4)","",""
"14","Ple_7_a","SPICT","1","Y","Y","N","Y","Medium","0.2","0.8","7.54983416666667","120.797346666667","4.16159176183606","0.535016540874068","2.93107249059184","11.7242899623674","1.99165912567231","0.229072682968539",3.16616036460804,1.67222149251901,4.66009923669706,5.07261949304853,2.78027878457183,7.36496020152524,3.538519,2.76024714,4.53623029,1.8459453,0.57717024,5.90382845,1.81407157,0.28105482,11.70894567,3.90918973,2.45033879,6.23659245,2.15492586,0.49408775,9.39854406,0.27920066,0.16582318,0.47009716,0.15125077,0.06428973,0.35583906,"Convergence: 0  MSG: relative convergence (4)","",""
"15","Ple_7_a","SPICT","1","Y","Y","Y","Y","Medium","0.2","0.8","7.54983416666667","120.797346666667","4.16159176183606","0.535016540874068","2.93107249059184","11.7242899623674","1.99165912567231","0.229072682968539",0.787237001885445,0.425591940307296,1.14888206346359,18.6642897461363,6.33450624902283,30.9940732432498,3.29275007,2.36306326,4.58819838,0.37822798,0.2365623,0.60473037,8.73022541,4.52577441,16.84061753,5.429523,3.62125438,8.14074817,0.62192243,0.30084215,1.28568255,0.19579796,0.12425357,0.30853715,0.5176718,0.29140822,0.91961747,"Convergence: 0  MSG: relative convergence (4)","",""
"16","Ple_7_a","SPICT","1","N","Y","N","N","Medium","0.2","0.8","7.54983416666667","120.797346666667","4.16159176183606","0.535016540874068","2.93107249059184","11.7242899623674","1.99165912567231","0.229072682968539",1.13612632702873,1.08316009472038,1.18909255933708,28.7859859657709,26.7869201643277,30.7850517672141,4.01685595,NA,NA,0.20433782,0.18699244,0.22329214,19.65843744,18.13165493,21.31378321,27.49371952,25.00092242,30.23506894,1.39857095,1.32369227,1.47768538,0.04560444,0.03508774,0.05927329,0.22318162,0.17329784,0.28742444,"Convergence: 1  MSG: false convergence (8)","",""
"17","Ple_7_a","SPICT","1","N","Y","Y","N","Medium","0.2","0.8","7.54983416666667","120.797346666667","4.16159176183606","0.535016540874068","2.93107249059184","11.7242899623674","1.99165912567231","0.229072682968539",0.603475946376895,-0.141206153397695,1.34815804615148,34.2407095869837,5.08127130475241,63.400147869215,3.96491036,2.96921519,5.29450146,0.20255047,0.09956919,0.41204201,19.5756785,8.92134852,42.95395343,31.29163942,13.78553183,71.02857615,1.59849578,1.13310557,2.25503151,0.03964122,0.01654644,0.09497065,0.19571035,0.10547583,0.36314046,"Convergence: 0  MSG: relative convergence (4)","",""
"18","Ple_7_a","SPICT","1","N","Y","N","Y","Medium","0.2","0.8","7.54983416666667","120.797346666667","4.16159176183606","0.535016540874068","2.93107249059184","11.7242899623674","1.99165912567231","0.229072682968539",0.342574817472607,0.145546096926108,0.539603538019106,12.3146822192889,6.27205646096259,18.3573079776152,3.12285496,2.46891874,3.9499976,2.38240195,0.03763407,150.81650837,1.29707596,0.0333151,50.49980051,3.50050014,2.28354431,5.36600107,2.69876264,0.07442589,97.86002746,0.30730292,0.18433893,0.5122905,0.1289887,0.00226206,7.35527055,"Convergence: 0  MSG: relative convergence (4)","",""
"19","Ple_7_a","SPICT","1","N","Y","Y","Y","Medium","0.2","0.8","7.54983416666667","120.797346666667","4.16159176183606","0.535016540874068","2.93107249059184","11.7242899623674","1.99165912567231","0.229072682968539",0.243033936639009,0.0704762214908067,0.415591651787212,18.4981917035104,6.83182368530074,30.1645597217201,2.90822418,2.42317146,3.49037119,1.09815563,0.21844947,5.52047949,2.648308,0.55219253,12.70124984,3.71068411,2.39860733,5.74048798,1.40115278,0.29517043,6.65117134,0.28502985,0.17311999,0.46928154,0.25955324,0.05234655,1.28695933,"Convergence: 0  MSG: both X-convergence and relative convergence (5)","",""
