,Stock,Method,Index,FixN2,Use.r,Use.k,Use.q,Resilience,Prior.r.low,Prior.r.hi,Prior.k.low,Prior.k.hi,Prior.log.k,Prior.log.k.sd,Prior.q.low,Prior.q.hi,Prior.log.q,Prior.log.q.sd,r,r.low,r.high,k,k.low,k.high,msy,msy.low,msy.high,fmsy,fmsy.low,fmsy.high,bmsy,bmsy.low,bmsy.high,b.end,b.end.low,b.end.high,bbmsy,bbmsy.low,bbmsy.high,f.end,f.end.low,f.end.high,ffmsy,ffmsy.low,ffmsy.high,Converge,Prior.Warn,Fit.Warn
41,Ple_7_fg,CMSY,1,Y,Y,Y,Y,Medium,0.2,0.8,2.6419125,42.2706,3.11156925,0.535016541,105.2801272,421.1205087,5.572915407,0.229072683,0.479505459,0.339086514,0.678073222,11.10673679,8.037556784,15.34789805,1.33143523,1.212059735,1.462567992,0.239752729,0.169543257,0.339036611,5.553368394,4.018778392,7.673949025,6.058534386,2.998017358,6.639412543,1.090965691,0.53985566,1.195564938,0.210891919,0.192441113,0.426180301,0.879622597,0.802664952,1.777582687,,,
411,Ple_7_fg,BSM,1,Y,Y,Y,Y,Medium,0.2,0.8,2.6419125,42.2706,3.11156925,0.535016541,105.2801272,421.1205087,5.572915407,0.229072683,0.577443284,0.431671007,0.772441838,9.825862037,7.547475338,12.79203448,1.41846951,1.250242544,1.609332334,0.288721642,0.215835503,0.386220919,4.912931018,3.773737669,6.39601724,3.948335582,2.759909875,5.443595866,0.803661921,0.561764426,1.108013902,0.323603684,0.234715429,0.462948429,1.120815474,0.812947127,1.603442075,,,
1,Ple_7_fg,SPICT,1,N,N,N,N,Medium,0.2,0.8,2.6419125,42.2706,3.11156925,0.535016541,105.2801272,421.1205087,5.572915407,0.229072683,0.199026505,-0.097004594,0.495057605,62.19801202,-313.1675737,437.5635977,4.3169371,0.01844343,1010.438103,0.19388018,0.02269167,1.65653379,22.26681232,0.04070277,12181.25807,57.47042071,0.0660334,50017.85909,2.58099004,0.65899692,10.10855947,0.01923984,0.0000223,16.59971527,0.0992357,0.00019016,51.7864952,Convergence: 0  MSG: relative convergence (4),,
11,Ple_7_fg,SPICT,1,Y,N,N,N,Medium,0.2,0.8,2.6419125,42.2706,3.11156925,0.535016541,105.2801272,421.1205087,5.572915407,0.229072683,0.246927337,-0.072578818,0.566433492,95.07478454,-602.0381863,792.1877554,5.1704495,0.00799051,3345.663536,0.11659836,0.03061802,0.44402538,44.52166753,0.0300858,65884.19503,89.42752245,0.03683437,217114.6403,2.00862922,1.09072589,3.6989966,0.01236928,0.00000513,29.82699428,0.10608449,0.00009917,113.4810833,Convergence: 0  MSG: relative convergence (4),,
12,Ple_7_fg,SPICT,1,Y,Y,N,N,Medium,0.2,0.8,2.6419125,42.2706,3.11156925,0.535016541,105.2801272,421.1205087,5.572915407,0.229072683,0.397643067,0.111674689,0.683611444,24.03136584,-25.41126831,73.47399999,2.1531744,0.42284856,10.96411449,0.1900924,0.09129601,0.39580178,11.3572249,1.47105042,87.68330152,20.0632396,1.63107412,246.7904912,1.7665618,0.9873212,3.16081594,0.05481762,0.00449017,0.66923269,0.28837356,0.0347323,2.39429298,Convergence: 0  MSG: relative convergence (4),,
13,Ple_7_fg,SPICT,1,Y,Y,Y,N,Medium,0.2,0.8,2.6419125,42.2706,3.11156925,0.535016541,105.2801272,421.1205087,5.572915407,0.229072683,0.402843852,0.171642774,0.634044931,22.79532355,1.89874035,43.69190675,2.07088062,0.88306682,4.8564236,0.19266241,0.1078185,0.34427117,10.77697309,4.33103519,26.81648704,18.82116337,5.75997741,61.49957983,1.7464239,1.12094247,2.72092146,0.05842218,0.0179227,0.19043733,0.303236,0.09374031,0.98092346,Convergence: 0  MSG: relative convergence (4),,
14,Ple_7_fg,SPICT,1,Y,Y,N,Y,Medium,0.2,0.8,2.6419125,42.2706,3.11156925,0.535016541,105.2801272,421.1205087,5.572915407,0.229072683,0.760570999,0.450680551,1.070461446,8.636558577,2.473918508,14.79919865,1.56812777,0.95255642,2.58150031,0.37372547,0.24774269,0.56377335,4.19804577,2.04388365,8.62259858,2.26866121,1.37069435,3.75490254,0.54040888,0.24032369,1.21520171,0.49820193,0.30071793,0.82537534,1.33306925,0.88345021,2.01151533,Convergence: 0  MSG: relative convergence (4),,
15,Ple_7_fg,SPICT,1,Y,Y,Y,Y,Medium,0.2,0.8,2.6419125,42.2706,3.11156925,0.535016541,105.2801272,421.1205087,5.572915407,0.229072683,0.657482639,0.408838902,0.906126375,15.02215517,-1.021420855,31.0657312,2.35989619,0.89484471,6.22354916,0.32289761,0.21979065,0.47437354,7.31209878,2.51322602,21.27416641,2.27207497,1.36793978,3.77379529,0.31072816,0.09148347,1.05540366,0.50308646,0.3047788,0.83042517,1.55803711,1.10168102,2.20343237,Convergence: 0  MSG: both X-convergence and relative convergence (5),,
16,Ple_7_fg,SPICT,1,N,Y,N,N,Medium,0.2,0.8,2.6419125,42.2706,3.11156925,0.535016541,105.2801272,421.1205087,5.572915407,0.229072683,0.392860438,0.090606574,0.695114302,22.85504176,-28.88732937,74.59741289,2.13528466,0.4461539,10.21943465,0.20316164,0.03924127,1.05181741,10.53223033,0.79198844,140.0624937,19.00648045,1.25871014,286.9972103,1.80460167,0.84389166,3.859011,0.05784067,0.00387588,0.86317057,0.28470269,0.03601844,2.25039257,Convergence: 0  MSG: relative convergence (4),,
17,Ple_7_fg,SPICT,1,N,Y,Y,N,Medium,0.2,0.8,2.6419125,42.2706,3.11156925,0.535016541,105.2801272,421.1205087,5.572915407,0.229072683,0.393591697,0.108994054,0.67818934,22.52755772,1.181039567,43.87407587,2.1167768,0.82760953,5.41407977,0.20467839,0.05815876,0.72032563,10.36312441,3.18266493,33.74352933,18.68386336,5.62382551,62.07282743,1.80291798,0.85399283,3.80625355,0.05883455,0.01776694,0.19482841,0.28744876,0.06189356,1.33498196,Convergence: 0  MSG: relative convergence (4),,
18,Ple_7_fg,SPICT,1,N,Y,N,Y,Medium,0.2,0.8,2.6419125,42.2706,3.11156925,0.535016541,105.2801272,421.1205087,5.572915407,0.229072683,0.492657959,0.071707045,0.913608874,11.19369427,-0.523055679,22.91044423,1.63814451,0.84970231,3.15818542,0.35026532,0.21736101,0.56443333,4.67805173,1.74112683,12.5689683,2.07474691,1.22455985,3.51520161,0.44350662,0.13962555,1.40875447,0.54160492,0.31966738,0.91762847,1.54627044,0.84647566,2.8245966,Convergence: 0  MSG: relative convergence (4),,
19,Ple_7_fg,SPICT,1,N,Y,Y,Y,Medium,0.2,0.8,2.6419125,42.2706,3.11156925,0.535016541,105.2801272,421.1205087,5.572915407,0.229072683,0.40218361,0.110524931,0.693842289,17.4205326,1.31669552,33.52436968,2.15194329,0.99916271,4.63474052,0.30319421,0.20407583,0.45045379,7.09906283,2.81416133,17.90824586,1.99946073,1.17813924,3.39335378,0.28165136,0.09231957,0.85927056,0.56717282,0.33621525,0.9567829,1.87065846,1.14513882,3.0558418,Convergence: 0  MSG: both X-convergence and relative convergence (5),,
110,Ple_7_fg,SPICT,All,N,N,N,N,Medium,0.2,0.8,2.6419125,42.2706,3.11156925,0.535016541,105.2801272,421.1205087,5.572915407,0.229072683,0.51685281,0.467444202,0.566261419,6.807699493,6.221288676,7.394110311,1.55224467,1.52865124,1.57620224,0.79832687,0.76210024,0.83627554,1.94422677,1.83016471,2.06539757,0.52894417,0.37951717,0.73720493,0.27205888,0.19267114,0.38415735,2.06648265,1.50823083,2.83136403,2.58851696,1.8712773,3.58066655,Convergence: 1  MSG: false convergence (8),,
111,Ple_7_fg,SPICT,All,Y,N,N,N,Medium,0.2,0.8,2.6419125,42.2706,3.11156925,0.535016541,105.2801272,421.1205087,5.572915407,0.229072683,0.15014765,-0.399851886,0.700147185,48.29810232,-181.6282483,278.224453,1.32536583,0.44845152,3.91702228,0.06537204,0.00102961,4.15061555,20.77494707,0.28598669,1509.155634,18.87032315,0.04751917,7493.587635,0.90832112,0.13506015,6.10873937,0.05822045,0.00014836,22.84719152,0.89060166,0.09450856,8.3925873,Convergence: 0  MSG: relative convergence (4),,
112,Ple_7_fg,SPICT,All,Y,Y,N,N,Medium,0.2,0.8,2.6419125,42.2706,3.11156925,0.535016541,105.2801272,421.1205087,5.572915407,0.229072683,0.423323968,0.092758433,0.753889502,15.42333802,1.838670515,29.00800553,1.43269903,0.99830482,2.05611201,0.20025419,0.08848424,0.45320771,7.18443701,3.06715204,16.82868488,4.76306179,1.62948221,13.92267888,0.66296939,0.35658357,1.23260982,0.22908117,0.07808528,0.67206242,1.14395195,0.64723191,2.02188124,Convergence: 0  MSG: relative convergence (4),,
113,Ple_7_fg,SPICT,All,Y,Y,Y,N,Medium,0.2,0.8,2.6419125,42.2706,3.11156925,0.535016541,105.2801272,421.1205087,5.572915407,0.229072683,0.372723416,0.135901529,0.609545302,18.15874044,5.263603596,31.05387728,1.46461833,0.99155549,2.16337549,0.17512418,0.08983026,0.34140479,8.40649066,4.24550102,16.64564087,5.60984159,2.10960977,14.9176038,0.66732265,0.33810782,1.31709319,0.19460317,0.07268736,0.5210038,1.11122954,0.58835274,2.09879381,Convergence: 0  MSG: relative convergence (4),,
114,Ple_7_fg,SPICT,All,Y,Y,N,Y,Medium,0.2,0.8,2.6419125,42.2706,3.11156925,0.535016541,105.2801272,421.1205087,5.572915407,0.229072683,2.140569588,1.112373521,3.168765655,4.991819888,0.223850809,9.759788967,2.58157953,1.06501641,6.25769974,1.07301845,0.65041313,1.77021118,2.40567545,0.90098756,6.42325671,0.64180458,0.3633238,1.13373558,0.26678768,0.09089902,0.7830191,1.79643656,1.03458084,3.11931573,1.67418981,1.34099943,2.09016607,Convergence: 0  MSG: relative convergence (4),,
115,Ple_7_fg,SPICT,All,Y,Y,Y,Y,Medium,0.2,0.8,2.6419125,42.2706,3.11156925,0.535016541,105.2801272,421.1205087,5.572915407,0.229072683,1.921527096,0.970662998,2.872391194,16.14224047,-2.318721325,34.60320227,7.53919027,2.25355357,25.22211612,0.95977336,0.57796485,1.59380782,7.85540394,2.49882961,24.69450932,0.64409245,0.36887083,1.12466224,0.08199355,0.02288566,0.29376225,1.80318957,1.05659961,3.07731767,1.87876602,1.70386581,2.07161958,Convergence: 0  MSG: relative convergence (4),,
116,Ple_7_fg,SPICT,All,N,Y,N,N,Medium,0.2,0.8,2.6419125,42.2706,3.11156925,0.535016541,105.2801272,421.1205087,5.572915407,0.229072683,0.510113622,NA,NA,6.803058439,NA,NA,1.54754124,NA,NA,0.80779752,NA,NA,1.91560818,NA,NA,0.59657395,0.38911731,0.91463543,0.31142796,0.19745341,0.49119117,1.92185178,1.337712,2.76106835,2.37912564,1.59749812,3.54318965,Convergence: 1  MSG: false convergence (8),,
117,Ple_7_fg,SPICT,All,N,Y,Y,N,Medium,0.2,0.8,2.6419125,42.2706,3.11156925,0.535016541,105.2801272,421.1205087,5.572915407,0.229072683,0.380841959,0.061054537,0.700629381,18.85119296,-3.503143544,41.20552946,1.4727382,0.9622979,2.25393594,0.16630526,0.03839482,0.72034307,8.91171635,1.77014334,44.86568203,5.97510438,0.96159103,37.12791752,0.6704774,0.34282098,1.31129647,0.18273986,0.02941462,1.13528103,1.09882185,0.55608957,2.17124997,Convergence: 0  MSG: relative convergence (4),,
118,Ple_7_fg,SPICT,All,N,Y,N,Y,Medium,0.2,0.8,2.6419125,42.2706,3.11156925,0.535016541,105.2801272,421.1205087,5.572915407,0.229072683,0.510093513,0.055512547,0.964674479,19.90043125,-15.96860319,55.76946568,4.9935213,1.57408737,15.84108697,1.04663126,0.46230551,2.36950885,4.77139108,0.76597765,29.7217193,0.0795725,0.04111102,0.15401666,0.016677,0.00204142,0.13623967,15.91954116,9.71573769,26.08466789,15.21026719,5.67334034,40.77883827,Convergence: 0  MSG: relative convergence (4),,
119,Ple_7_fg,SPICT,All,N,Y,Y,Y,Medium,0.2,0.8,2.6419125,42.2706,3.11156925,0.535016541,105.2801272,421.1205087,5.572915407,0.229072683,0.492853463,0.166931989,0.818774938,21.7943732,1.900987299,41.68775909,5.27024388,2.56731717,10.81886993,1.00744703,0.61778142,1.64289422,5.23135083,2.03542733,13.44534934,0.0789349,0.04152399,0.15005102,0.01508882,0.00443625,0.05132089,16.03597924,9.97975347,25.76743313,15.91744154,8.75356078,28.94421498,Convergence: 0  MSG: relative convergence (4),,
