,Stock,Method,Index,FixN2,Use.r,Use.k,Use.q,Resilience,Prior.r.low,Prior.r.hi,Prior.k.low,Prior.k.hi,Prior.log.k,Prior.log.k.sd,Prior.q.low,Prior.q.hi,Prior.log.q,Prior.log.q.sd,r,r.low,r.high,k,k.low,k.high,msy,msy.low,msy.high,fmsy,fmsy.low,fmsy.high,bmsy,bmsy.low,bmsy.high,b.end,b.end.low,b.end.high,bbmsy,bbmsy.low,bbmsy.high,f.end,f.end.low,f.end.high,ffmsy,ffmsy.low,ffmsy.high,Converge,Prior.Warn,Fit.Warn
48,Sol_7_a,CMSY,1,Y,Y,Y,Y,Medium,0.2,0.8,2.834166667,45.34666667,3.181814113,0.535016541,3.906087874,15.6243515,2.278827061,0.229072683,0.358796465,0.296710014,0.433874481,16.16281215,12.43872261,21.00187493,1.449789967,1.259226098,1.669192652,0.179398233,0.148355007,0.216937241,8.081406074,6.219361305,10.50093747,0.605466389,0.189463512,1.454976505,0.074920921,0.023444375,0.180040019,0.056155058,0.023368075,0.179454079,2.088996017,0.869303986,6.675780801,,,
481,Sol_7_a,BSM,1,Y,Y,Y,Y,Medium,0.2,0.8,2.834166667,45.34666667,3.181814113,0.535016541,3.906087874,15.6243515,2.278827061,0.229072683,0.7338277,0.532856764,1.010596336,8.461660655,6.256745141,11.44360197,1.552350245,1.415638455,1.702264638,0.36691385,0.266428382,0.505298168,4.230830327,3.12837257,5.721800986,0.836555644,0.535975121,1.045855927,0.197728479,0.126683199,0.24719874,0.040642843,0.032509258,0.06343578,0.280104933,0.224049371,0.437190745,,,
1,Sol_7_a,SPICT,1,N,N,N,N,Medium,0.2,0.8,2.834166667,45.34666667,3.181814113,0.535016541,3.906087874,15.6243515,2.278827061,0.229072683,0.649165016,-1.187169198,2.48549923,14.02209223,-1.159085465,29.20326992,1.31331475,0.86208746,2.00072001,0.14407601,0.04747496,0.43723879,9.11544317,4.37600228,18.9879481,2.1387711,1.32045329,3.46422086,0.23463161,0.14669247,0.37528847,0.01484961,0.0086758,0.0254168,0.10306791,0.04301074,0.24698464,Convergence: 0  MSG: relative convergence (4),,
11,Sol_7_a,SPICT,1,Y,N,N,N,Medium,0.2,0.8,2.834166667,45.34666667,3.181814113,0.535016541,3.906087874,15.6243515,2.278827061,0.229072683,0.191774412,0.01754875,0.366000073,20.345038,11.49536451,29.19471149,0.97127998,0.58027531,1.62575384,0.09569402,0.03850391,0.23782899,10.14989562,6.58412594,15.64678166,2.45217617,1.51045297,3.98103622,0.2415962,0.17034676,0.3426465,0.01298007,0.00754816,0.02232095,0.13564137,0.06745285,0.27276213,Convergence: 0  MSG: relative convergence (4),,
12,Sol_7_a,SPICT,1,Y,Y,N,N,Medium,0.2,0.8,2.834166667,45.34666667,3.181814113,0.535016541,3.906087874,15.6243515,2.278827061,0.229072683,0.278585856,0.139694012,0.417477701,16.65521657,11.38142997,21.92900317,1.15636441,0.93447356,1.43094326,0.13909148,0.08443824,0.22911941,8.31371673,6.06143408,11.40289326,2.11415692,1.47229994,3.03583486,0.25429744,0.18107609,0.35712717,0.0149169,0.00951237,0.02339206,0.10724524,0.063623,0.18077647,Convergence: 0  MSG: relative convergence (4),,
13,Sol_7_a,SPICT,1,Y,Y,Y,N,Medium,0.2,0.8,2.834166667,45.34666667,3.181814113,0.535016541,3.906087874,15.6243515,2.278827061,0.229072683,0.26581408,0.136599996,0.395028163,17.17916855,11.94436085,22.41397626,1.13786163,0.91371704,1.4169913,0.13270333,0.08156515,0.21590317,8.57449985,6.32799623,11.61853533,2.15213469,1.50081626,3.08610978,0.25099245,0.17866178,0.35260597,0.01467122,0.00936894,0.02297429,0.11055652,0.06597865,0.18525303,Convergence: 0  MSG: relative convergence (4),,
14,Sol_7_a,SPICT,1,Y,Y,N,Y,Medium,0.2,0.8,2.834166667,45.34666667,3.181814113,0.535016541,3.906087874,15.6243515,2.278827061,0.229072683,0.800675262,NA,NA,8.848514908,NA,NA,1.71290856,NA,NA,0.39559015,NA,NA,4.33116963,NA,NA,1.14492742,0.80375384,1.63092075,0.26434601,0.20029175,0.34888514,0.02773807,0.01692739,0.04545301,0.07011821,0.04291261,0.11457152,Convergence: 1  MSG: false convergence (8),,
15,Sol_7_a,SPICT,1,Y,Y,Y,Y,Medium,0.2,0.8,2.834166667,45.34666667,3.181814113,0.535016541,3.906087874,15.6243515,2.278827061,0.229072683,0.815997541,NA,NA,8.566065556,NA,NA,1.69407584,NA,NA,0.40338235,NA,NA,4.20062468,NA,NA,1.1572772,0.78904936,1.69734694,0.27550122,0.18957176,0.40038094,0.02682734,0.01595969,0.04509524,0.06650598,0.03961136,0.11166105,Convergence: 1  MSG: false convergence (8),,
16,Sol_7_a,SPICT,1,N,Y,N,N,Medium,0.2,0.8,2.834166667,45.34666667,3.181814113,0.535016541,3.906087874,15.6243515,2.278827061,0.229072683,0.514289397,0.082617327,0.945961468,15.28120022,8.209786687,22.35261375,1.26476423,1.04745908,1.52715136,0.13277259,0.06640667,0.2654637,9.52580791,5.55314249,16.34048046,2.18940335,1.43729443,3.33507658,0.22983912,0.15513449,0.34051759,0.01452248,0.00890761,0.02367667,0.10937864,0.0605989,0.19742416,Convergence: 0  MSG: relative convergence (4),,
17,Sol_7_a,SPICT,1,N,Y,Y,N,Medium,0.2,0.8,2.834166667,45.34666667,3.181814113,0.535016541,3.906087874,15.6243515,2.278827061,0.229072683,0.470804591,0.088937146,0.852672036,16.51870239,9.135166962,23.90223783,1.22643623,1.00400166,1.49815074,0.11816506,0.05700357,0.24494927,10.37902863,5.86309652,18.37326658,2.29581076,1.47773605,3.56677164,0.22119707,0.1483485,0.32981894,0.01389247,0.00839494,0.02299013,0.11756835,0.06451021,0.21426558,Convergence: 0  MSG: relative convergence (4),,
18,Sol_7_a,SPICT,1,N,Y,N,Y,Medium,0.2,0.8,2.834166667,45.34666667,3.181814113,0.535016541,3.906087874,15.6243515,2.278827061,0.229072683,1.020587955,0.549294144,1.491881765,7.22962055,7.017448729,7.441792372,1.50603367,NA,NA,0.37403149,0.29074418,0.48117748,4.02653519,3.13506095,5.17150573,1.27747979,0.85033589,1.9191882,0.31726527,0.1921333,0.52389282,0.02431868,0.01461809,0.04045661,0.06501774,0.03592294,0.11767709,Convergence: 1  MSG: false convergence (8),,
19,Sol_7_a,SPICT,1,N,Y,Y,Y,Medium,0.2,0.8,2.834166667,45.34666667,3.181814113,0.535016541,3.906087874,15.6243515,2.278827061,0.229072683,0.755506284,0.162028277,1.348984291,8.669434613,5.113316517,12.22555271,1.46889001,1.32451405,1.62900338,0.31866453,0.21604858,0.47001966,4.6095274,3.40744255,6.23568632,1.37344776,0.9131089,2.06586393,0.29795848,0.19574631,0.4535424,0.02240622,0.01358512,0.03695505,0.07031288,0.040318,0.12262267,Convergence: 0  MSG: relative convergence (4),,
