,Stock,Method,Index,FixN2,Use.r,Use.k,Use.q,Resilience,Prior.r.low,Prior.r.hi,Prior.k.low,Prior.k.hi,Prior.log.k,Prior.log.k.sd,Prior.q.low,Prior.q.hi,Prior.log.q,Prior.log.q.sd,r,r.low,r.high,k,k.low,k.high,msy,msy.low,msy.high,fmsy,fmsy.low,fmsy.high,bmsy,bmsy.low,bmsy.high,b.end,b.end.low,b.end.high,bbmsy,bbmsy.low,bbmsy.high,f.end,f.end.low,f.end.high,ffmsy,ffmsy.low,ffmsy.high,Converge,Prior.Warn,Fit.Warn
47,Sol_7_fg,CMSY,1,Y,Y,Y,Y,Medium,0.2,0.8,2.32625,37.22,2.984323692,0.535016541,1.940195071,7.760780282,1.579079252,0.229072683,0.49782832,0.346542435,0.715159274,9.393991932,6.740288931,13.09247798,1.169148806,1.071301855,1.275932571,0.24891416,0.173271218,0.357579637,4.696995966,3.370144466,6.546238991,2.865298424,0.272902599,3.713382436,0.610027866,0.058101519,0.790586678,0.270826938,0.208973897,2.843505348,1.088033475,0.839542022,11.42363836,,,
471,Sol_7_fg,BSM,1,Y,Y,Y,Y,Medium,0.2,0.8,2.32625,37.22,2.984323692,0.535016541,1.940195071,7.760780282,1.579079252,0.229072683,0.541412402,0.400287982,0.732291257,9.092787018,6.617878705,12.49324435,1.230736916,1.106045968,1.369484994,0.270706201,0.200143991,0.366145629,4.546393509,3.308939352,6.246622177,3.509158052,2.339530835,4.403202761,0.771855328,0.514590484,0.968504541,0.221135665,0.176235355,0.331690435,0.816884372,0.651020752,1.225278303,,,
1,Sol_7_fg,SPICT,1,N,N,N,N,Medium,0.2,0.8,2.32625,37.22,2.984323692,0.535016541,1.940195071,7.760780282,1.579079252,0.229072683,0.511930098,NA,NA,5.646775718,NA,NA,1.13403682,NA,NA,0.5872645,NA,NA,1.93104819,NA,NA,1.90213857,NA,NA,0.98502905,NA,NA,0.42095898,NA,NA,0.71681326,NA,NA,Convergence: 1  MSG: false convergence (8),,
11,Sol_7_fg,SPICT,1,Y,N,N,N,Medium,0.2,0.8,2.32625,37.22,2.984323692,0.535016541,1.940195071,7.760780282,1.579079252,0.229072683,1.075229631,0.422386828,1.728072433,4.282342963,1.881449408,6.683236517,1.14922663,1.07420908,1.22948304,0.53733506,0.29281659,0.98604035,2.13875362,1.21943343,3.75114124,2.40112487,1.16606495,4.94432202,1.12267484,0.65698773,1.91845103,0.33468031,0.15909983,0.70402912,0.62285218,0.35773907,1.08443519,Convergence: 0  MSG: relative convergence (4),,
12,Sol_7_fg,SPICT,1,Y,Y,N,N,Medium,0.2,0.8,2.32625,37.22,2.984323692,0.535016541,1.940195071,7.760780282,1.579079252,0.229072683,0.803653638,0.283368567,1.323938709,5.596380724,2.253127712,8.939633736,1.12283943,1.0517303,1.19875637,0.40162069,0.21017008,0.76746975,2.79577212,1.53812322,5.08173965,3.16667785,1.17021274,8.56925262,1.13266666,0.58787146,2.18233721,0.25360554,0.0922892,0.69689377,0.63145536,0.32669728,1.22050563,Convergence: 1  MSG: false convergence (8),,
13,Sol_7_fg,SPICT,1,Y,Y,Y,N,Medium,0.2,0.8,2.32625,37.22,2.984323692,0.535016541,1.940195071,7.760780282,1.579079252,0.229072683,0.585271783,0.267939918,0.902603647,7.558563457,3.717747507,11.39937941,1.10461193,1.03972682,1.17354624,0.29248923,0.17006951,0.50302931,3.77659149,2.27178896,6.27815503,4.52338084,2.52619501,8.09952288,1.19774163,0.77710807,1.846056,0.17751725,0.09680485,0.32552475,0.60691894,0.36618407,1.00591651,Convergence: 0  MSG: both X-convergence and relative convergence (5),,
14,Sol_7_fg,SPICT,1,Y,Y,N,Y,Medium,0.2,0.8,2.32625,37.22,2.984323692,0.535016541,1.940195071,7.760780282,1.579079252,0.229072683,0.948615158,0.612958895,1.28427142,4.814893472,3.216506489,6.413280455,1.14046911,1.08780771,1.19567988,0.47410879,0.3328814,0.67525293,2.40550171,1.72469769,3.35504507,2.54399669,1.53896005,4.20538477,1.05757426,0.63526791,1.76061673,0.31566961,0.18550803,0.53715896,0.66581682,0.38838769,1.14141628,Convergence: 1  MSG: false convergence (8),,
15,Sol_7_fg,SPICT,1,Y,Y,Y,Y,Medium,0.2,0.8,2.32625,37.22,2.984323692,0.535016541,1.940195071,7.760780282,1.579079252,0.229072683,0.828234888,0.546118462,1.110351315,5.468498797,3.742520681,7.194476914,1.13114366,1.0802633,1.18442047,0.4139629,0.29446125,0.58196209,2.73247656,1.99252114,3.74722657,2.7163162,1.62568124,4.53863496,0.99408582,0.6002656,1.64628227,0.29550644,0.17189584,0.50800565,0.71384764,0.41693369,1.22220502,Convergence: 0  MSG: relative convergence (4),,
16,Sol_7_fg,SPICT,1,N,Y,N,N,Medium,0.2,0.8,2.32625,37.22,2.984323692,0.535016541,1.940195071,7.760780282,1.579079252,0.229072683,0.499419842,NA,NA,5.540767569,NA,NA,1.14303684,NA,NA,0.64036462,NA,NA,1.78497525,NA,NA,1.98085671,NA,NA,1.10973903,NA,NA,0.40424032,NA,NA,0.63126586,0.56934132,0.69992563,Convergence: 1  MSG: false convergence (8),,
17,Sol_7_fg,SPICT,1,N,Y,Y,N,Medium,0.2,0.8,2.32625,37.22,2.984323692,0.535016541,1.940195071,7.760780282,1.579079252,0.229072683,0.448964741,NA,NA,7.679326499,NA,NA,1.14678315,1.13361527,1.16010399,0.37981213,NA,NA,3.01942041,NA,NA,3.93609409,3.1096757,4.98213904,1.3035926,0.96906949,1.75359319,0.20602394,0.15887792,0.26716024,0.54243643,0.39549657,0.74396925,Convergence: 1  MSG: false convergence (8),,
