,Stock,Method,Index,FixN2,Use.r,Use.k,Use.q,Resilience,Prior.r.low,Prior.r.hi,Prior.k.low,Prior.k.hi,Prior.log.k,Prior.log.k.sd,Prior.q.low,Prior.q.hi,Prior.log.q,Prior.log.q.sd,r,r.low,r.high,k,k.low,k.high,msy,msy.low,msy.high,fmsy,fmsy.low,fmsy.high,bmsy,bmsy.low,bmsy.high,b.end,b.end.low,b.end.high,bbmsy,bbmsy.low,bbmsy.high,f.end,f.end.low,f.end.high,ffmsy,ffmsy.low,ffmsy.high,Converge,Prior.Warn,Fit.Warn
37,Whg_6_a,CMSY,1,Y,Y,Y,Y,Medium,0.2,0.8,25.87425854,413.9881366,5.393314759,0.535016541,1047.897853,4191.591414,7.870832124,0.229072683,0.398519041,0.308664609,0.514530729,169.6462568,105.4397126,272.9507862,16.90181589,10.21188201,27.97441062,0.199259521,0.154332304,0.257265364,84.82312839,52.71985629,136.4753931,12.17588689,2.27965005,31.51326285,0.143544421,0.026875336,0.371517338,0.113616141,0.043898256,0.606837562,1.986116126,0.767382464,10.60808666,,,
371,Whg_6_a,BSM,1,Y,Y,Y,Y,Medium,0.2,0.8,25.87425854,413.9881366,5.393314759,0.535016541,1047.897853,4191.591414,7.870832124,0.229072683,0.369912844,0.195151145,0.70117709,138.8976684,94.52111976,204.1084823,12.84500789,6.352538531,25.97295977,0.184956422,0.097575573,0.350588545,69.44883422,47.26055988,102.0542411,2.460219657,1.543518116,7.21909913,0.035424924,0.022225256,0.103948457,0.562298278,0.191627411,0.89624946,42.90999053,14.62343158,68.39440437,,,
1,Whg_6_a,SPICT,1,N,N,N,N,Medium,0.2,0.8,25.87425854,413.9881366,5.393314759,0.535016541,1047.897853,4191.591414,7.870832124,0.229072683,0.343539591,-0.326503824,1.013583005,892.0397593,-5235.787191,7019.86671,34.2705807,0.03114736,37706.97887,0.11365168,0.01279698,1.00935536,344.4583782,0.41875009,283346.9799,753.1001724,0.59734626,949465.8435,2.18633141,0.78560211,6.08456236,0.00171762,0.00000137,2.16128557,0.015113,0.00001069,21.35856779,Convergence: 0  MSG: relative convergence (4),,
11,Whg_6_a,SPICT,1,Y,N,N,N,Medium,0.2,0.8,25.87425854,413.9881366,5.393314759,0.535016541,1047.897853,4191.591414,7.870832124,0.229072683,0.314421569,-0.070940657,0.699783795,970.1393287,-5789.740977,7730.019635,41.24929854,0.06039253,28174.09074,0.1242029,0.03111862,0.49572763,364.2270476,0.3653199,363137.4618,830.3087938,0.61902649,1113704.669,2.27964617,1.0800339,4.81168847,0.00155837,0.00000116,2.08940045,0.01254695,0.00001332,11.81595183,Convergence: 0  MSG: relative convergence (4),,
12,Whg_6_a,SPICT,1,Y,Y,N,N,Medium,0.2,0.8,25.87425854,413.9881366,5.393314759,0.535016541,1047.897853,4191.591414,7.870832124,0.229072683,0.419062066,0.129336312,0.708787821,543.6921457,-2173.358835,3260.743126,32.66021547,0.27513725,3876.936605,0.17006691,0.07966801,0.363041,207.0737395,1.45264956,29518.15408,472.0857082,2.43094554,91678.2842,2.27979516,1.14074053,4.55622099,0.00274928,0.00001424,0.53065422,0.01616585,0.00009849,2.65345279,Convergence: 0  MSG: relative convergence (4),,
13,Whg_6_a,SPICT,1,Y,Y,Y,N,Medium,0.2,0.8,25.87425854,413.9881366,5.393314759,0.535016541,1047.897853,4191.591414,7.870832124,0.229072683,0.443523324,0.15363016,0.733416488,246.1902275,21.65237443,470.7280805,16.05278457,5.23690547,49.20690163,0.18178166,0.08980136,0.3679741,94.57957255,37.60482814,237.8762512,203.6598428,64.25619354,645.4993566,2.15331744,1.12030177,4.13886339,0.0063587,0.00196471,0.02057963,0.03497985,0.00926885,0.13201099,Convergence: 0  MSG: relative convergence (4),,
14,Whg_6_a,SPICT,1,Y,Y,N,Y,Medium,0.2,0.8,25.87425854,413.9881366,5.393314759,0.535016541,1047.897853,4191.591414,7.870832124,0.229072683,1.195531956,0.557709831,1.83335408,520.2520405,-3650.956707,4691.460788,152.6948572,0.05869304,397248.4543,0.59468254,0.34707361,1.0189404,256.7843583,0.0846674,778790.9917,1.25495147,0.57860377,2.72190274,0.00488718,0.00000184,13.00054391,1.05446287,0.54175333,2.05239522,1.77315257,1.35728456,2.31644131,Convergence: 0  MSG: relative convergence (4),,
15,Whg_6_a,SPICT,1,Y,Y,Y,Y,Medium,0.2,0.8,25.87425854,413.9881366,5.393314759,0.535016541,1047.897853,4191.591414,7.870832124,0.229072683,1.229197988,0.612875396,1.84552058,226.5595448,-3.331927524,456.4510171,68.39421498,23.03146394,203.1034004,0.61158837,0.36873124,1.01439827,111.837578,40.51373652,308.726001,1.22082366,0.57601458,2.58745258,0.01091604,0.00321492,0.03706472,1.08402953,0.57253866,2.05247279,1.77248225,1.35857841,2.31248583,Convergence: 0  MSG: relative convergence (4),,
16,Whg_6_a,SPICT,1,N,Y,N,N,Medium,0.2,0.8,25.87425854,413.9881366,5.393314759,0.535016541,1047.897853,4191.591414,7.870832124,0.229072683,0.469509773,0.081948568,0.857070979,575.6170686,-2187.510968,3338.745105,19.30279623,0.12086095,3082.86458,0.10494624,0.00799314,1.37789576,236.8496635,2.01442056,27848.08905,470.4287981,3.21439567,68847.54602,1.98619154,0.85272474,4.62629572,0.00274873,0.00001883,0.40129437,0.02619179,0.00017981,3.81516735,Convergence: 0  MSG: relative convergence (4),,
17,Whg_6_a,SPICT,1,N,Y,Y,N,Medium,0.2,0.8,25.87425854,413.9881366,5.393314759,0.535016541,1047.897853,4191.591414,7.870832124,0.229072683,0.49429249,0.098695801,0.889889179,250.0305435,23.77775204,476.2833349,11.54479581,1.24922735,106.691797,0.13141159,0.02242426,0.77010386,103.1866193,38.70518452,275.0917877,198.6972342,64.95870215,607.7798599,1.92561047,0.87670003,4.22946909,0.00649862,0.00207623,0.02034074,0.04945239,0.00617589,0.39598145,Convergence: 0  MSG: relative convergence (4),,
18,Whg_6_a,SPICT,1,N,Y,N,Y,Medium,0.2,0.8,25.87425854,413.9881366,5.393314759,0.535016541,1047.897853,4191.591414,7.870832124,0.229072683,0.54972921,0.070365575,1.029092846,13006.86918,-92713.22434,118726.9627,2273.609133,0.93690819,5517401.341,0.42647099,0.21686773,0.83865638,5331.373988,1.62672119,17472907.3,0.79121679,0.34302745,1.82499681,0.00014841,0.00000004,0.50998667,1.68184086,0.80610494,3.50895838,3.94362311,1.65354996,9.40531798,Convergence: 0  MSG: relative convergence (4),,
19,Whg_6_a,SPICT,1,N,Y,Y,Y,Medium,0.2,0.8,25.87425854,413.9881366,5.393314759,0.535016541,1047.897853,4191.591414,7.870832124,0.229072683,0.840653393,0.282860442,1.398446344,272.1340268,5.453292151,538.8147614,67.7324854,25.41820042,180.4883707,0.57204926,0.34440802,0.95015313,118.4067235,45.61981382,307.3259399,0.85468219,0.37276939,1.95960736,0.00721819,0.00206294,0.02525626,1.55368997,0.75162688,3.21163675,2.71600728,1.5061256,4.89779575,Convergence: 0  MSG: relative convergence (4),,
110,Whg_6_a,SPICT,All,N,N,N,N,Medium,0.2,0.8,25.87425854,413.9881366,5.393314759,0.535016541,1047.897853,4191.591414,7.870832124,0.229072683,0.669095548,-0.569098896,1.907289991,397.9640322,-1301.310814,2097.238879,12.58848581,0.04535237,3494.19408,0.10633132,0.00764493,1.47893491,173.8702799,2.83990594,10645.0266,353.6188544,4.0734783,30697.67038,2.03380851,0.95830961,4.31632637,0.00328597,0.00003824,0.28234126,0.03090315,0.00032645,2.92541775,Convergence: 0  MSG: relative convergence (4),,
