,Stock,Method,Index,FixN2,Use.r,Use.k,Use.q,Resilience,Prior.r.low,Prior.r.hi,Prior.k.low,Prior.k.hi,Prior.log.k,Prior.log.k.sd,Prior.q.low,Prior.q.hi,Prior.log.q,Prior.log.q.sd,r,r.low,r.high,k,k.low,k.high,msy,msy.low,msy.high,fmsy,fmsy.low,fmsy.high,bmsy,bmsy.low,bmsy.high,b.end,b.end.low,b.end.high,bbmsy,bbmsy.low,bbmsy.high,f.end,f.end.low,f.end.high,ffmsy,ffmsy.low,ffmsy.high,Converge,Prior.Warn,Fit.Warn
37,BluWhg_Wide,CMSY,1,Y,Y,Y,Y,Medium,0.2,0.8,2826.857599,45229.72158,10.08698715,0.535016541,5.008325903,20.03330361,2.52739244,0.229072683,0.561299864,0.405402451,0.777147589,9659.377064,6443.684019,14479.84802,1355.451757,1159.983159,1583.858742,0.280649932,0.202701225,0.388573794,4829.688532,3221.84201,7239.924008,4980.025943,2325.450344,5770.451289,1.031127765,0.481490748,1.194787459,0.313138063,0.270245012,0.67059513,1.115760339,0.962925628,2.389436285,,,
40,BluWhg_Wide,BSM,1,Y,Y,Y,Y,Medium,0.2,0.8,2826.857599,45229.72158,10.08698715,0.535016541,5.008325903,20.03330361,2.52739244,0.229072683,0.648715428,0.479589608,0.877482955,1093.427212,812.2904624,1471.866436,177.3307755,146.291695,214.9554965,0.324357714,0.239794804,0.438741477,546.7136061,406.1452312,735.9332182,138.7021132,68.54962003,231.5626459,0.253701594,0.12538488,0.423553838,0.211573705,0.126729075,0.428094568,0.652285103,0.390707758,1.319822374,,,
1,BluWhg_Wide,SPICT,1,N,N,N,N,Medium,0.2,0.8,2826.857599,45229.72158,10.08698715,0.535016541,5.008325903,20.03330361,2.52739244,0.229072683,0.174627066,0.159341442,0.189912691,18385.18487,NA,NA,970.6981029,NA,NA,0.1328282,0.1178561,0.14970231,7312.329861,6694.238131,7987.491175,5770.04116,4195.550514,7935.400818,0.78908382,0.57321065,1.08625559,0.23808666,0.142477,0.39785547,1.7924406,1.05800378,3.03670303,Convergence: 1  MSG: false convergence (8),,
11,BluWhg_Wide,SPICT,1,Y,N,N,N,Medium,0.2,0.8,2826.857599,45229.72158,10.08698715,0.535016541,5.008325903,20.03330361,2.52739244,0.229072683,0.691520879,0.373043165,1.009998593,8271.940072,5181.547118,11362.33303,1424.25216,1198.712063,1692.228081,0.34520467,0.21768364,0.54742866,4125.835843,2839.601524,5994.686669,2683.4937,1571.896059,4581.179778,0.65041214,0.42722195,0.9902018,0.49838004,0.24986851,0.9940535,1.44372335,0.78019328,2.67156509,Convergence: 0  MSG: both X-convergence and relative convergence (5),,
12,BluWhg_Wide,SPICT,1,Y,Y,N,N,Medium,0.2,0.8,2826.857599,45229.72158,10.08698715,0.535016541,5.008325903,20.03330361,2.52739244,0.229072683,0.645088469,0.371322688,0.918854249,8715.851082,5739.806057,11691.89611,1399.608718,1179.158003,1661.274027,0.32198639,0.21039432,0.49276634,4346.813825,3092.11253,6110.641269,2819.432237,1688.363625,4708.22637,0.64862043,0.42798991,0.98298685,0.47402842,0.2414403,0.93067703,1.47220016,0.79599968,2.72283185,Convergence: 0  MSG: relative convergence (4),,
13,BluWhg_Wide,SPICT,1,Y,Y,Y,N,Medium,0.2,0.8,2826.857599,45229.72158,10.08698715,0.535016541,5.008325903,20.03330361,2.52739244,0.229072683,0.569976148,0.304329253,0.835623044,9690.403733,6125.333053,13255.47441,1372.630413,1134.117496,1661.304282,0.28428281,0.17763761,0.45495272,4828.439097,3361.75847,6935.008662,3108.654159,1796.938493,5377.886175,0.64382176,0.42253485,0.98099947,0.43030239,0.21354908,0.86706133,1.51364197,0.81069244,2.82611742,Convergence: 0  MSG: both X-convergence and relative convergence (5),,
14,BluWhg_Wide,SPICT,1,Y,Y,N,Y,Medium,0.2,0.8,2826.857599,45229.72158,10.08698715,0.535016541,5.008325903,20.03330361,2.52739244,0.229072683,0.68979076,0.467039893,0.912541626,8276.797805,6009.482995,10544.11262,1421.533805,1215.994673,1661.815141,0.34434209,0.24918698,0.47583334,4128.276653,3139.101865,5429.154217,2619.622806,1710.318957,4012.364839,0.63455602,0.42106506,0.95629245,0.50954888,0.2765185,0.93896092,1.4797752,0.80315009,2.72643266,Convergence: 0  MSG: relative convergence (4),,
15,BluWhg_Wide,SPICT,1,Y,Y,Y,Y,Medium,0.2,0.8,2826.857599,45229.72158,10.08698715,0.535016541,5.008325903,20.03330361,2.52739244,0.229072683,0.348947043,NA,NA,11871.70995,NA,NA,855.9572633,707.4737127,1035.604325,0.16078428,NA,NA,5371.67348,5296.14531,5448.278755,4359.173184,3043.615761,6243.36064,0.8115112,0.56685775,1.16175606,0.31436849,0.19331929,0.51121411,1.95521912,1.20737566,3.16627372,Convergence: 1  MSG: false convergence (8),,
16,BluWhg_Wide,SPICT,1,N,Y,N,N,Medium,0.2,0.8,2826.857599,45229.72158,10.08698715,0.535016541,5.008325903,20.03330361,2.52739244,0.229072683,0.936605528,NA,NA,8264.962948,NA,NA,1434.577688,NA,NA,0.30632786,NA,NA,4684.923885,NA,NA,3362.357566,2517.287375,4491.123465,0.71769737,0.46624614,1.10475879,0.40313753,0.24390624,0.66632107,1.31603287,0.72513896,2.38842845,Convergence: 1  MSG: false convergence (8),,
17,BluWhg_Wide,SPICT,1,N,Y,Y,N,Medium,0.2,0.8,2826.857599,45229.72158,10.08698715,0.535016541,5.008325903,20.03330361,2.52739244,0.229072683,0.829239749,0.611009815,1.047469683,9273.502466,6810.514649,11736.49028,1430.03623,1316.797281,1553.013245,0.2681688,0.19886027,0.36163335,5333.249195,4087.093963,6959.357244,3676.984624,2217.023954,6098.362584,0.68944549,0.43830934,1.08447402,0.36668316,0.1919523,0.70046849,1.36735951,0.74653668,2.50446106,Convergence: 1  MSG: false convergence (8),,
