"","Stock","Method","Index","FixN2","Use.r","Use.k","Use.q","Resilience","Prior.r.low","Prior.r.hi","Prior.k.low","Prior.k.hi","Prior.log.k","Prior.log.k.sd","Prior.q.low","Prior.q.hi","Prior.log.q","Prior.log.q.sd","r","r.low","r.high","k","k.low","k.high","msy","msy.low","msy.high","fmsy","fmsy.low","fmsy.high","bmsy","bmsy.low","bmsy.high","b.end","b.end.low","b.end.high","bbmsy","bbmsy.low","bbmsy.high","f.end","f.end.low","f.end.high","ffmsy","ffmsy.low","ffmsy.high","Converge","Prior.Warn","Fit.Warn"
"37","Mac_Wide","CMSY","1","Y","Y","Y","Y","Medium","0.2","0.8","3092.07884416667","74209.89226","10.5623275530975","0.631432161077064","-0.0000133511669182222","-0.0000534046676728886","NaN","NaN",0.565525438699537,0.407485471376748,0.784859938038403,8084.44670547085,4394.31497078225,14873.3713828355,1142.99006743861,657.810821583922,1986.02128666356,0.282762719349769,0.203742735688374,0.392429969019201,4042.22335273542,2197.15748539112,7436.68569141776,5660.61182515085,3465.95731582483,6446.97893282042,1.40037086800764,0.857438348496843,1.59490913050553,0.193701694069224,0.170075024507691,0.31635418445396,0.685032646859011,0.60147612421747,1.11879736190625,"","",""
"47","Mac_Wide","BSM","1","Y","Y","Y","Y","Medium","0.2","0.8","3092.07884416667","74209.89226","10.5623275530975","0.631432161077064","-0.0000133511669182222","-0.0000534046676728886","NaN","NaN",0.405647354829415,0.283657254344845,0.580100716479672,93.2684150377091,70.5132465188707,123.366851947716,9.45852146229467,8.222367698539,10.8805190345094,0.202823677414707,0.141828627172423,0.290050358239836,46.6342075188545,35.2566232594354,61.6834259738582,7.83578563240726,2.590680339699,18.1474838308455,0.168026563531485,0.0555532189252186,0.389145324781349,0.285485094276726,0.123267777552596,0.863479745347473,1.40755309200416,0.607758320546346,4.25729262162002,"","",""
"1","Mac_Wide","SPICT","1","N","N","N","N","Medium","0.2","0.8","3092.07884416667","74209.89226","10.5623275530975","0.631432161077064","-0.0000133511669182222","-0.0000534046676728886","NaN","NaN",0.239440468194081,0.219101602497903,0.259779333890259,9715.58988458243,9164.7275756614,10266.4521935035,854.42290701,845.02100793,863.92941379,0.24399889,0.2063864,0.288466,3501.74222505,3022.88024425,4056.4619237,5090.67989283,1458.64663884,17766.48372622,1.45375632,0.41840687,5.0510821,0.2231839,0.06409501,0.77714397,0.91469227,0.26377077,3.17192829,"Convergence: 1  MSG: false convergence (8)","",""
"11","Mac_Wide","SPICT","1","Y","N","N","N","Medium","0.2","0.8","3092.07884416667","74209.89226","10.5623275530975","0.631432161077064","-0.0000133511669182222","-0.0000534046676728886","NaN","NaN",0.591849705869242,NA,NA,5402.10555821496,NA,NA,772.89375841,NA,NA,0.29185925,NA,NA,2648.89517739,NA,NA,3404.04004295,2677.1515872,4328.29006375,1.28507918,0.89576252,1.84360079,0.33368189,0.26661345,0.41762185,1.14329729,0.83185885,1.57133471,"Convergence: 1  MSG: false convergence (8)","",""
"12","Mac_Wide","SPICT","1","Y","Y","N","N","Medium","0.2","0.8","3092.07884416667","74209.89226","10.5623275530975","0.631432161077064","-0.0000133511669182222","-0.0000534046676728886","NaN","NaN",0.38532584487368,0.109078208370267,0.661573481377093,8765.62079145585,1536.21785915589,15995.0237237558,832.99880822,560.01563993,1239.04934973,0.1915004,0.09326697,0.39319818,4350.05290429,1892.32182227,9999.8636846,5036.00916653,1555.97157455,16299.39051596,1.15768918,0.59463336,2.25390016,0.22585249,0.06936,0.73542891,1.17938388,0.54767767,2.5397171,"Convergence: 0  MSG: both X-convergence and relative convergence (5)","",""
"13","Mac_Wide","SPICT","1","Y","Y","Y","N","Medium","0.2","0.8","3092.07884416667","74209.89226","10.5623275530975","0.631432161077064","-0.0000133511669182222","-0.0000534046676728886","NaN","NaN",0.28087056029567,NA,NA,13964.5785459437,NA,NA,945.8369486,NA,NA,0.13815442,NA,NA,6848.45544364,NA,NA,10329.7169396,9118.85774625,11701.36162023,1.50832798,1.03006819,2.20864338,0.1090928,0.09586682,0.12414345,0.78964391,0.5605829,1.11230204,"Convergence: 1  MSG: false convergence (8)","",""
"14","Mac_Wide","SPICT","1","N","Y","Y","N","Medium","0.2","0.8","3092.07884416667","74209.89226","10.5623275530975","0.631432161077064","-0.0000133511669182222","-0.0000534046676728886","NaN","NaN",0.312604486789141,0.262395406223465,0.362813567354816,9586.96432255043,8773.76425738591,10400.1643877149,840.39653021,826.13477167,854.90449284,0.19613053,0.15026615,0.25599366,4285.47471102,3339.12890265,5500.02531625,6144.49312948,3657.19103458,10323.44098551,1.43379521,0.89569531,2.29516521,0.18473282,0.1098615,0.31062943,0.94188715,0.58729495,1.51057214,"Convergence: 1  MSG: false convergence (8)","",""
"15","Mac_Wide","SPICT","All","Y","N","N","N","Medium","0.2","0.8","3092.07884416667","74209.89226","10.5623275530975","0.631432161077064","-0.0000133511669182222","-0.0000534046676728886","NaN","NaN",0.486020032091665,0.439192561503038,0.532847502680292,6971.69980954703,5853.39959054131,8090.00002855274,836.27331934,785.05407494,890.83425839,0.241708,0.21917854,0.26655327,3459.99256083,2953.09750986,4053.89543727,4238.20346085,3286.14448051,5466.09215819,1.22491693,1.04001466,1.44269263,0.26874403,0.20174992,0.35798455,1.11185411,0.88088909,1.40337709,"Convergence: 1  MSG: function evaluation limit reached without convergence (9)","",""
"16","Mac_Wide","SPICT","All","Y","Y","N","N","Medium","0.2","0.8","3092.07884416667","74209.89226","10.5623275530975","0.631432161077064","-0.0000133511669182222","-0.0000534046676728886","NaN","NaN",0.468753108078338,0.434940774292276,0.502565441864399,7464.98835756276,6510.55392920499,8419.42278592052,862.8570445,817.73941461,910.46397659,0.23300885,0.21659074,0.25067149,3703.28248087,3262.82126781,4203.20330396,4640.35406433,3571.52207632,6029.05018706,1.25303811,1.01210042,1.55133272,0.24373826,0.18284947,0.324903,1.04604725,0.80615497,1.35732569,"Convergence: 1  MSG: false convergence (8)","",""
"17","Mac_Wide","SPICT","All","Y","Y","Y","N","Medium","0.2","0.8","3092.07884416667","74209.89226","10.5623275530975","0.631432161077064","-0.0000133511669182222","-0.0000534046676728886","NaN","NaN",0.448491152358719,0.0455555967704397,0.851426707946999,37466.2679761992,-9305.74942486407,84238.2853772625,4146.47726084,849.48491195,20239.64573463,0.22297825,0.09057485,0.54893052,18596.65766981,5334.17924618,64833.90612262,35748.52280866,9385.80201387,136158.51699331,1.92230902,1.63578237,2.25902422,0.0317072,0.00829012,0.12127045,0.14219862,0.02668095,0.75786073,"Convergence: 0  MSG: relative convergence (4)","",""
"18","Mac_Wide","SPICT","All","N","Y","N","N","Medium","0.2","0.8","3092.07884416667","74209.89226","10.5623275530975","0.631432161077064","-0.0000133511669182222","-0.0000534046676728886","NaN","NaN",0.422973279890176,NA,NA,9823.96646282649,4930.48668353923,14717.4462421137,808.02462646,NA,NA,0.15110563,0.06823267,0.33463313,5351.81596107,2528.24518185,11328.78024916,7426.24125571,1076.58972968,51225.6969093,1.38761148,0.22772369,8.45527128,0.15285403,0.02241519,1.04234495,1.01157074,0.1678914,6.09486473,"Convergence: 1  MSG: false convergence (8)","",""
"19","Mac_Wide","SPICT","All","N","Y","Y","N","Medium","0.2","0.8","3092.07884416667","74209.89226","10.5623275530975","0.631432161077064","-0.0000133511669182222","-0.0000534046676728886","NaN","NaN",0.448818532904245,0.0472479049132902,0.850389160895201,37653.5774811697,-9182.45807118945,84489.6130335288,4851.25193585,324.92574108,72430.84302012,0.2865376,0.00664167,12.36191437,16930.84481266,2493.0620967,114980.49184149,35992.67843964,9502.48020175,136329.97635938,2.12586429,0.45033,10.03552722,0.03148717,0.00827788,0.11976993,0.10988842,0.00183052,6.5967318,"Convergence: 0  MSG: both X-convergence and relative convergence (5)","",""
