"","Stock","Method","Index","FixN2","Use.r","Use.k","Use.q","Resilience","Prior.r.low","Prior.r.hi","Prior.k.low","Prior.k.hi","Prior.log.k","Prior.log.k.sd","Prior.q.low","Prior.q.hi","Prior.log.q","Prior.log.q.sd","r","r.low","r.high","k","k.low","k.high","msy","msy.low","msy.high","fmsy","fmsy.low","fmsy.high","bmsy","bmsy.low","bmsy.high","b.end","b.end.low","b.end.high","bbmsy","bbmsy.low","bbmsy.high","f.end","f.end.low","f.end.high","ffmsy","ffmsy.low","ffmsy.high","Converge","Prior.Warn","Fit.Warn"
"34","Sol_2024","CMSY","1","Y","Y","Y","Y","Medium","0.2","0.8","1.68298666666667","26.9277866666667","2.66063615631269","0.535016540874068","57.7551952709877","231.020781083951","4.97250403863216","0.229072682968539",0.465333930974313,0.312547131618141,0.692809645044392,7.36180582547526,5.27820689915161,10.2679159888016,0.856424510959498,0.751444449208329,0.976070744477443,0.232666965487157,0.15627356580907,0.346404822522196,3.68090291273763,2.63910344957581,5.13395799440078,1.58939361874509,0.142918811526504,2.88493527024863,0.431794496194141,0.0388271070752609,0.783757501526436,0.326066490948406,0.179639385792991,3.62617065216703,1.40143010962338,0.772088059071313,15.5852406660936,"","",""
"47","Sol_2024","BSM","1","Y","Y","Y","Y","Medium","0.2","0.8","1.68298666666667","26.9277866666667","2.66063615631269","0.535016540874068","57.7551952709877","231.020781083951","4.97250403863216","0.229072682968539",0.405647354829415,0.283657254344845,0.580100716479672,93.2684150377091,70.5132465188707,123.366851947716,9.45852146229467,8.222367698539,10.8805190345094,0.202823677414707,0.141828627172423,0.290050358239836,46.6342075188545,35.2566232594354,61.6834259738582,7.83578563240726,2.590680339699,18.1474838308455,0.168026563531485,0.0555532189252186,0.389145324781349,0.285485094276726,0.123267777552596,0.863479745347473,1.40755309200416,0.607758320546346,4.25729262162002,"","",""
"1","Sol_2024","SPICT","1","N","N","N","N","Medium","0.2","0.8","1.68298666666667","26.9277866666667","2.66063615631269","0.535016540874068","57.7551952709877","231.020781083951","4.97250403863216","0.229072682968539",0.359301737552332,-0.116739225326447,0.835342700431111,23.4183698038962,-66.8184893645516,113.655228972344,2.58632267,0.09568819,69.90481043,0.2648296,0.08278138,0.84722815,9.7668015,0.17208383,554.32523478,21.64438591,0.34253786,1367.67201664,2.21611813,1.13204432,4.338328,0.01917718,0.00030095,1.22199722,0.07241326,0.00211284,2.48181288,"Convergence: 0  MSG: both X-convergence and relative convergence (5)","",""
"11","Sol_2024","SPICT","1","Y","N","N","N","Medium","0.2","0.8","1.68298666666667","26.9277866666667","2.66063615631269","0.535016540874068","57.7551952709877","231.020781083951","4.97250403863216","0.229072682968539",0.44260262942224,-0.00225671632714475,0.887461975171626,35.3070806028685,-162.084509039226,232.698670244963,3.74801306,0.02878398,488.03539824,0.21736485,0.07896573,0.59832892,17.2502617,0.06455618,4609.49733741,33.97871356,0.10425173,11074.66509025,1.96975061,1.48683164,2.60952039,0.01222539,0.00003722,4.015182,0.05624362,0.00034847,9.07773597,"Convergence: 0  MSG: relative convergence (4)","",""
"12","Sol_2024","SPICT","1","Y","Y","N","N","Medium","0.2","0.8","1.68298666666667","26.9277866666667","2.66063615631269","0.535016540874068","57.7551952709877","231.020781083951","4.97250403863216","0.229072682968539",0.473887246486506,0.154437905055629,0.793336587917382,26.9860714037622,-74.6023221937611,128.574465001285,3.06904398,0.10711026,87.93770594,0.23283654,0.11811957,0.45896593,13.18651644,0.30604466,568.16615228,25.78404457,0.49791509,1335.20145461,1.95533405,1.49739053,2.55332938,0.01611279,0.00030789,0.84323799,0.06920216,0.00197318,2.42701263,"Convergence: 0  MSG: relative convergence (4)","",""
"13","Sol_2024","SPICT","1","Y","Y","Y","N","Medium","0.2","0.8","1.68298666666667","26.9277866666667","2.66063615631269","0.535016540874068","57.7551952709877","231.020781083951","4.97250403863216","0.229072682968539",0.521377953701198,0.24791366102432,0.794842246378076,15.7795797243918,1.48942564169363,30.06973380709,1.975775,0.86494422,4.51322382,0.256325,0.15123921,0.43442773,7.71112719,3.11570511,19.08443851,14.62364271,5.45016793,39.23749303,1.89643386,1.52979101,2.35094948,0.02842778,0.01031123,0.07837459,0.1109052,0.04219461,0.29150553,"Convergence: 0  MSG: relative convergence (4)","",""
"14","Sol_2024","SPICT","1","Y","Y","N","Y","Medium","0.2","0.8","1.68298666666667","26.9277866666667","2.66063615631269","0.535016540874068","57.7551952709877","231.020781083951","4.97250403863216","0.229072682968539",0.469293285947815,0.283425304738512,0.655161267157117,8.40030525767018,3.07344645480237,13.727164060538,0.97958007,0.6189286,1.55038419,0.23403006,0.15799933,0.34664747,4.18573985,2.21378033,7.91425323,1.59466239,1.09157304,2.32961795,0.38097504,0.20320422,0.71426657,0.25968922,0.16646071,0.40513158,1.10964044,0.77777016,1.58311797,"Convergence: 0  MSG: relative convergence (4)","",""
"15","Sol_2024","SPICT","1","Y","Y","Y","Y","Medium","0.2","0.8","1.68298666666667","26.9277866666667","2.66063615631269","0.535016540874068","57.7551952709877","231.020781083951","4.97250403863216","0.229072682968539",0.43798430275943,0.277896413154962,0.598072192363897,10.7857769902463,0.484402563338604,21.0871514171541,1.17488645,0.50177379,2.75095708,0.218495,0.15194793,0.31418701,5.37721342,2.06660044,13.99129876,1.62340449,1.12076372,2.3514699,0.30190442,0.10918696,0.83477256,0.25401975,0.16417416,0.39303403,1.1625884,0.81791178,1.65251538,"Convergence: 0  MSG: relative convergence (4)","",""
"16","Sol_2024","SPICT","1","N","Y","N","N","Medium","0.2","0.8","1.68298666666667","26.9277866666667","2.66063615631269","0.535016540874068","57.7551952709877","231.020781083951","4.97250403863216","0.229072682968539",0.449959724889747,0.116517474134259,0.783401975645236,18.2914396520724,-39.1398144771922,75.722693781337,2.25418052,0.1649671,30.80208086,0.27264592,0.09452129,0.78644502,8.26934738,0.27586948,247.87847592,16.99302397,0.56597234,510.20666802,2.05494136,1.34299132,3.1443122,0.02444422,0.00080519,0.74208268,0.08965555,0.00597055,1.34629499,"Convergence: 0  MSG: relative convergence (4)","",""
"17","Sol_2024","SPICT","1","N","Y","Y","N","Medium","0.2","0.8","1.68298666666667","26.9277866666667","2.66063615631269","0.535016540874068","57.7551952709877","231.020781083951","4.97250403863216","0.229072682968539",0.455442160972508,0.0685584316456215,0.842325890299395,9.80088106702255,3.54605583944929,16.0557062945958,0.87227691,0.52043149,1.46199263,0.15571141,0.09246799,0.26221014,5.60189405,3.1882271,9.8428424,2.58748276,1.48276416,4.51526089,0.46189427,0.23790343,0.89677698,0.15992358,0.08777218,0.29138562,1.02705114,0.69747391,1.51236345,"Convergence: 0  MSG: relative convergence (4)","",""
