,Stock,Method,Index,FixN2,Use.r,Use.k,Use.q,Resilience,Prior.r.low,Prior.r.hi,Prior.k.low,Prior.k.hi,Prior.log.k,Prior.log.k.sd,Prior.q.low,Prior.q.hi,Prior.log.q,Prior.log.q.sd,r,r.low,r.high,k,k.low,k.high,msy,msy.low,msy.high,fmsy,fmsy.low,fmsy.high,bmsy,bmsy.low,bmsy.high,b.end,b.end.low,b.end.high,bbmsy,bbmsy.low,bbmsy.high,f.end,f.end.low,f.end.high,ffmsy,ffmsy.low,ffmsy.high,Converge,Prior.Warn,Fit.Warn
40,Whg_NS,CMSY,1,Y,Y,Y,Y,Medium,0.2,0.8,274.6312864,4394.100583,7.755495585,0.535016541,0.050170957,0.20068383,-2.076028224,0.229072683,0.337901786,0.237224104,0.48130698,2018.218532,1355.051824,3005.941155,170.4899116,108.1706562,268.7125231,0.168950893,0.118612052,0.24065349,1009.109266,677.5259119,1502.970578,150.6727216,27.61809151,377.0267097,0.149312593,0.027368782,0.373623276,0.194764651,0.077834592,1.062554232,1.152788526,0.46069358,6.289130606,,,
401,Whg_NS,BSM,1,Y,Y,Y,Y,Medium,0.2,0.8,274.6312864,4394.100583,7.755495585,0.535016541,0.050170957,0.20068383,-2.076028224,0.229072683,0.648715428,0.479589608,0.877482955,1093.427212,812.2904624,1471.866436,177.3307755,146.291695,214.9554965,0.324357714,0.239794804,0.438741477,546.7136061,406.1452312,735.9332182,138.7021132,68.54962003,231.5626459,0.253701594,0.12538488,0.423553838,0.211573705,0.126729075,0.428094568,0.652285103,0.390707758,1.319822374,,,
1,Whg_NS,SPICT,1,N,N,N,N,Medium,0.2,0.8,274.6312864,4394.100583,7.755495585,0.535016541,0.050170957,0.20068383,-2.076028224,0.229072683,0.165361019,-0.053592545,0.384314583,20659.98134,-140878.9723,182198.935,1083.286388,0.51089928,2296948.604,0.15679961,0.01098956,2.23722486,6913.128027,2.46782992,19365734.56,15181.17016,5.09295599,45252291.2,2.19599147,0.50865513,9.48064463,0.00215914,0.00000072,6.46082205,0.01377004,0.00000401,47.23026846,Convergence: 0  MSG: relative convergence (4),,
11,Whg_NS,SPICT,1,Y,N,N,N,Medium,0.2,0.8,274.6312864,4394.100583,7.755495585,0.535016541,0.050170957,0.20068383,-2.076028224,0.229072683,0.199432578,-0.02756838,0.426433535,25290.82999,-177251.8499,227833.5099,833.0942118,0.39299234,1766054.688,0.08368648,0.02292535,0.30548837,10387.44918,3.63446563,29687748.21,17073.84874,4.91156505,59353038.74,1.64369986,0.91437156,2.95476079,0.00191639,0.00000055,6.67749716,0.02289968,0.00000889,59.01162985,Convergence: 0  MSG: relative convergence (4),,
12,Whg_NS,SPICT,1,Y,Y,N,N,Medium,0.2,0.8,274.6312864,4394.100583,7.755495585,0.535016541,0.050170957,0.20068383,-2.076028224,0.229072683,0.324460127,0.126550477,0.522369777,6193.988498,-18039.99508,30427.97208,371.0924935,9.65716329,14259.84366,0.14289842,0.07396978,0.27605811,2656.489571,54.52946503,129415.1123,4154.077228,67.04831846,257371.9672,1.56374686,0.96900689,2.52351585,0.00792845,0.00012769,0.49228336,0.05548309,0.00112507,2.73616477,Convergence: 0  MSG: relative convergence (4),,
13,Whg_NS,SPICT,1,Y,Y,Y,N,Medium,0.2,0.8,274.6312864,4394.100583,7.755495585,0.535016541,0.050170957,0.20068383,-2.076028224,0.229072683,0.353292818,0.157747481,0.548838156,2775.690036,362.4938667,5188.886206,184.4662469,72.14832605,471.6366701,0.15689928,0.08695358,0.28310947,1199.414126,505.5686057,2845.497582,1768.377644,633.4990724,4936.328449,1.47436787,0.94851793,2.29174435,0.01862265,0.00656447,0.05283034,0.11869174,0.03942138,0.35736267,Convergence: 0  MSG: both X-convergence and relative convergence (5),,
14,Whg_NS,SPICT,1,Y,Y,N,Y,Medium,0.2,0.8,274.6312864,4394.100583,7.755495585,0.535016541,0.050170957,0.20068383,-2.076028224,0.229072683,0.611623592,0.330845899,0.892401285,15194.94703,-109529.4256,139919.3197,2259.838011,0.66224918,7711399.229,0.30238431,0.18992763,0.48142691,7474.787786,2.0343819,27464092.37,54.13569525,31.36200952,93.44661088,0.00724244,0.00000208,25.26426089,0.59676551,0.35866521,0.99292899,1.97353332,1.64745275,2.36415507,Convergence: 0  MSG: relative convergence (4),,
15,Whg_NS,SPICT,1,Y,Y,Y,Y,Medium,0.2,0.8,274.6312864,4394.100583,7.755495585,0.535016541,0.050170957,0.20068383,-2.076028224,0.229072683,0.642465838,0.35741996,0.927511715,2724.192375,234.4427132,5213.942037,424.9836407,160.7580183,1123.496649,0.31750271,0.20251053,0.49779126,1338.793491,535.6450258,3346.186232,52.18301242,30.50421076,89.26855398,0.03897764,0.0138936,0.10934939,0.61920236,0.37601243,1.01967792,1.950227,1.63840783,2.3213911,Convergence: 0  MSG: relative convergence (4),,
16,Whg_NS,SPICT,1,N,Y,N,N,Medium,0.2,0.8,274.6312864,4394.100583,7.755495585,0.535016541,0.050170957,0.20068383,-2.076028224,0.229072683,0.452620545,0.055274758,0.849966332,31048.58031,-225621.205,287718.3657,NA,NA,NA,0.00278535,0,3.60028E+31,15840.59111,4.16615275,60229267.17,16716.46541,4.41175841,63339872.69,1.05529303,0.59679851,1.86602909,0.00196254,0.00000052,7.43576117,0.704591,0,6.75079E+32,Convergence: 0  MSG: relative convergence (4),,
17,Whg_NS,SPICT,1,N,Y,Y,N,Medium,0.2,0.8,274.6312864,4394.100583,7.755495585,0.535016541,0.050170957,0.20068383,-2.076028224,0.229072683,0.39799642,0.021826081,0.774166759,2888.71868,265.2233816,5512.213978,142.3419522,18.03132573,1123.668424,0.11093843,0.01120681,1.09820107,1361.302743,440.9369769,4202.743829,1701.757155,623.3071378,4646.148325,1.25009456,0.4728641,3.30483202,0.01928748,0.00696389,0.05341942,0.17385748,0.01374453,2.19915967,Convergence: 0  MSG: relative convergence (4),,
